
リグル＝ナイトバグ
キック(命中),                             スーパーキック
リターンイナニメトネス(命中),             光球 赤 BeamCoat.wav
#
### リリー
#
丸弾放射(攻撃),                           ベアリング GunPod.wav
丸弾放射(命中),                           ベアリング GunPod.wav
複合針楔弾(攻撃),                         ８ＷＡＹ射出 MultipleRocketLauncher.wav
複合針楔弾(命中),                         小ビーム 赤 Beamvalcan.wav;小ビーム 青 Beamvalcan.wav
春の訪れ(攻撃),                           拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
春の訪れ(命中),                           拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
#
### ルナサ＝プリズムリバー
#
グァルネリ・デル・ジェス(攻撃),           文字発射 ♪ 赤 LaserGun.wav 遅 残像;文字発射 ♪ 青 LaserGun.wav 遅 残像
グァルネリ・デル・ジェス(命中),           重機関砲 Beamvalcan.wav;ベアリング Beamvalcan.wav
ストラディバリウス(解説),                 $(ユニット)はストラディヴァリウスで攻撃をかけた。
ストラディバリウス(攻撃),                 文字発射 ♪ 赤 LaserGun.wav 遅 残像;文字発射 ♪ 青 LaserGun.wav 遅 残像
ストラディバリウス(命中),                 拡散ビーム 赤 Beamvalcan.wav;拡散ビーム 青 Beamvalcan.wav
スードストラディバリウス(解説),           $(ユニット)はスードストラディヴァリウスで攻撃をかけた。
スードストラディバリウス(攻撃),           文字発射 ♪ 赤 LaserGun.wav 遅 残像;文字発射 ♪ 青 LaserGun.wav 遅 残像;魔法放射 青 大 LaserGun.wav 対象ユニットＩＤ
スードストラディバリウス(命中),           拡散ビーム 赤 ランダム方向 Beamvalcan.wav;拡散ビーム 青 ランダム方向 Beamvalcan.wav;_
                                          拡散ビーム 赤 ランダム方向 Beamvalcan.wav
チューニング(攻撃),                       文字発射 ♪ 黄 Beam.wav 遅 残像
チューニング(命中),                       光球 黄 Sharara.wav
スローサウンド(攻撃),                     回転発射 Common\EFFECT_Shine(Yellow)04.bmp 32 Cannon.wav 発光 遅
スローサウンド(命中),                     ホーミングレーザー 黄 MicroMissile.wav
ノイズメランコリー(攻撃),                 ２ＷＡＹ射出;文字ビーム ♪ 黄 Beam.wav - 3
ノイズメランコリー(命中),                 拡散ビーム 黄 Sharara.wav;拡散ビーム 赤 Sharara.wav
ルナサ・ソロライブ(攻撃),                 ベアリング GunPod.wav;ホーミングレーザー 黄 MicroMissile.wav
ルナサ・ソロライブ(命中),                 魔法放射 黄 Sharara.wav;ホーミングレーザー 黄 Sharara.wav
#
### メルラン＝プリズムリバー
#
ヒノファンタズム(攻撃),                   ８ＷＡＹ射出
ヒノファンタズム(命中),                   ホーミングレーザー 白 Whiz.wav;拡散ビーム 赤 ランダム方向 Beamvalcan.wav
ゴーストクリフォード(攻撃),               ８ＷＡＹ射出
ゴーストクリフォード(命中),               ホーミングレーザー 白 Whiz.wav;拡散ビーム 赤 ランダム方向 Beamvalcan.wav;拡散ビーム 赤 ランダム方向 Beamvalcan.wav
リバーサイドソング(攻撃),                 文字発射 ♪ 青 Beam.wav 遅 残像
リバーサイドソング(命中),                 光球 青 Sharara.wav
トランペットソウル(攻撃),                 文字ビーム ♪ 青 Beam.wav - 3
トランペットソウル(命中),                 光球 青 Sharara.wav;光球 青 Sharara.wav
ソウルゴーハッピー(攻撃),                 持続ビーム 青 Laser.wav;持続ビーム 青 Laser.wav
ソウルゴーハッピー(命中),                 小ビーム 青 BeamShot.wav
メルラン・ハッピーライブ(攻撃),           持続ビーム 青 Laser.wav;全拡散ビーム 青 Whiz.wav
メルラン・ハッピーライブ(命中),           ホーミングレーザー 青 MicroMissile.wav;拡散ビーム 青 Sharara.wav
#
### リリカ＝プリズムリバー
#
ファツィオーリ冥奏(攻撃),                 多触手 赤 MicroMissile.wav;多触手 青 MicroMissile.wav
ファツィオーリ冥奏(命中),                 多触手 赤 MicroMissile.wav;多触手 青 MicroMissile.wav
ベーゼンドルファー神奏(攻撃),             多触手 赤 MicroMissile.wav;多触手 青 MicroMissile.wav;多触手 黄 MicroMissile.wav
ベーゼンドルファー神奏(命中),             多触手 赤 MicroMissile.wav;多触手 青 MicroMissile.wav;多触手 黄 MicroMissile.wav 
キーボード霊(攻撃),                       文字発射 ♪ 赤 Beam.wav 遅 残像
キーボード霊(命中),                       光球 赤 Sharara.wav
ファントムノイズ(攻撃),                   回転発射 Common\EFFECT_Shine(Red)04.bmp 32 Cannon.wav 発光 遅
ファントムノイズ(命中),                   魔法放射 赤 Sharara.wav
ソウルノイズフロー(攻撃),                 ホーミングレーザー 赤 MicroMissile.wav;ホーミングレーザー 青 MicroMissile.wav
ソウルノイズフロー(命中),                 ホーミングレーザー 赤 MicroMissile.wav;ホーミングレーザー 青 MicroMissile.wav
リリカ・ソロライブ(攻撃),                 全拡散ビーム 赤 Whiz.wav;ホーミングレーザー 赤 MicroMissile.wav
リリカ・ソロライブ(命中),                 拡散ビーム 赤 Sharara.wav;ホーミングレーザー 赤 MicroMissile.wav
#
### プリズムリバー三姉妹
#
ファントムディニング(攻撃),               周囲回転 Anime\Common\EFFECT_MusicalNote01.bmp 32 Interference.wav 発光 3;_
                                          粒子噴射 黄 Breath.wav;小ビーム 赤 AntiAirMissile.wav;小ビーム 青 AntiAirMissile.wav
ファントムディニング(命中),               ベアリング;連続爆発
ライブポルターガイスト(攻撃),             周囲回転 Anime\Common\EFFECT_MusicalNote01.bmp 32 Interference.wav 発光 3;粒子噴射 黄 Breath.wav;_
                                          小ビーム 赤 AntiAirMissile.wav;小ビーム 青 AntiAirMissile.wav;拡散ビーム 緑 MultipleRocketLauncher.wav
ライブポルターガイスト(命中),             ベアリング;連続爆発
プリズムコンチェルト(攻撃),               対象指定発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Blue)08.bmp 96 Slash.wav;_
                                          対象指定発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Green)07.bmp 96 Slash.wav;_
                                          斬撃 Swing.wav;斬撃 Swing.wav 二刀流;拡散ビーム 青 Glass.wav
プリズムコンチェルト(命中),               光球 黄;光球 青;光球 緑
スティジャンリバーサイド(攻撃),           対象指定発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Blue)08.bmp 96 Slash.wav;_
                                          対象指定発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Green)07.bmp 96 Slash.wav;_
                                          斬撃 Swing.wav;斬撃 Swing.wav 二刀流;@東方ホワイトイン 50 MicroMissile.wav
スティジャンリバーサイド(命中),           小ビーム 紫 ランダム方向 Beam2.wav;小ビーム 紫 ランダム方向 Beam2.wav;大ビーム 青
霊車コンチェルトグロッソ(攻撃),           周囲回転 Anime\Common\EFFECT_MusicalNote01.bmp 32 Interference.wav 発光 3 対象ユニットＩＤ;_
                                          対象指定回転発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Blue)08.bmp 96 Storm.wav;_
                                          対象指定回転発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Green)07.bmp 96 -.wav;_
                                          対象指定回転発射 対象ユニットＩＤ 対象ユニットＩＤ Anime\MapBeam\EFFECT_360Beam(Yellow)06.bmp 96 MicroMissile.wav
霊車コンチェルトグロッソ(命中),           オールレンジ
#
### 魂魄妖夢
#
阻止(断迷剣),                             切り払い Saber.wav
白楼剣,                                   脇差
六道怪奇,                                 気斬 残像
楼観剣,                                   日本刀
現世斬(攻撃),                             透明化 対象ユニットＩＤ;タックル Storm.wav
現世斬(命中),                             @現世斬
現世斬(とどめ),                           縦分割 Explode(Nuclear).wav
業風神閃斬(攻撃),                         透明化 対象ユニットＩＤ;タックル Storm.wav
業風神閃斬(命中),                         @業風神閃斬
業風神閃斬(とどめ),                       横分割 Explode(Nuclear).wav
一念無量劫(準備),                         日本刀突撃 二刀流 Reload(4).wav
一念無量劫(攻撃),                         ６ＷＡＹ射出 MachineGun.wav;８ＷＡＹ射出 MachineGun.wav;ＭＡＰ発光 白 slash(4).wav
一念無量劫(命中),                         光球 白 Glass.wav;光球 白 Glass.wav;光球 白 Glass.wav
修羅の血(準備),                           日本刀突撃 二刀流
修羅の血(攻撃),                           日本刀突撃 二刀流
修羅の血(命中),                           日本刀突撃 二刀流;3;ベアリング GunPod.wav
未来永劫斬(攻撃),                         透明化 対象ユニットＩＤ;タックル Storm.wav
未来永劫斬(命中),                         @未来永劫斬
未来永劫斬(とどめ),                       縦分割 Explode(Nuclear).wav
待宵反射衛星斬(準備),                     透明化
待宵反射衛星斬(攻撃),                     スーパータックル
待宵反射衛星斬(命中),                     シュートカッター Slash(4).wav;3;超斬撃 inori.wav
#
### 西行寺幽々子
#
対岸の誘い(攻撃),                         @蝶弾攻撃 2 Purple GunPod.wav
対岸の誘い(命中),                         光球 桃 Chaff.wav
生者必滅の理(攻撃),                       @蝶弾攻撃 4 Blue;@蝶弾攻撃 4 Purple;光球 青 Whiz.wav
生者必滅の理(命中),                       光球 青 Chaff.wav;光球 桃 Chaff.wav;光球 青 Chaff.wav
ゴーストバタフライ(攻撃),                 @蝶弾攻撃 2 Blue Cannon.wav;_
                                          回転発射 Common\EFFECT_LargeElectric(White)01.bmp 64 BeamSaber.wav 発光 遅
ゴーストバタフライ(命中),                 発光 白 BeamCoat.wav
亡我郷(攻撃),                             多触手 黄 Beamvalcan.wav;多触手 青 Beamvalcan.wav;持続ビーム 赤
亡我郷(命中),                             ビームショットキャノン 桃
死出の誘蛾灯(準備),                       扇子
死出の誘蛾灯(攻撃),                       交差ビーム 青 緑 Laser.wav;2;光球 赤 BeamShot.wav
死出の誘蛾灯(命中),                       交差ビーム 青 緑 Laser.wav
ギャストリドリーム(攻撃),                 オーラ上昇 桃 -.wav 対象ユニットＩＤ;4;@蝶弾攻撃 2 Purple;@蝶弾攻撃 2 Purple
ギャストリドリーム(命中),                 光球 桃 Chaff.wav
完全なる墨染の桜(準備),                   扇子
完全なる墨染の桜(攻撃),                   @ＭＡＰ蝶弾攻撃 Purple;@ＭＡＰ蝶弾攻撃 Purple;ＭＡＰ光球 青 Cannon.wav
完全なる墨染の桜(命中),                   光球 桃 Chaff.wav;光球 青 Chaff.wav;光球 桃 Chaff.wav
酔人の生、死の夢幻(準備),                 扇子
酔人の生、死の夢幻(攻撃),                 @ＭＡＰ蝶弾攻撃 Blue;@ＭＡＰ蝶弾攻撃 Purple
酔人の生、死の夢幻(命中),                 光球 青 Laser.wav
リポジトリオブヒロカワ(準備),             扇子
リポジトリオブヒロカワ(攻撃),             @蝶弾攻撃 4 Purple;拡散ビーム 黄 Laser.wav;持続ビーム 青 Laser.wav
リポジトリオブヒロカワ(命中),             光球 桃 Chaff.wav;光球 青 Chaff.wav
鳳蝶紋の死槍(準備),                       扇子
鳳蝶紋の死槍(攻撃),                       @戦闘アニメ_振る武器準備 Laser\EFFECT_EnergyBlade(Blue)03.bmp 48 Beamsaber.wav 対象ユニットＩＤ 二刀流;_
                                          斬撃 BeamCoat.wav 二刀流;ベアリング Beamvalcan.wav
鳳蝶紋の死槍(命中),                       中ビーム 青 ランダム方向 Beam.wav;ベアリング Beamvalcan.wav
華胥の永眠(準備),                         扇子
華胥の永眠(攻撃),                         オーラ上昇 桃 -.wav 対象ユニットＩＤ;4;@蝶弾攻撃 2 Purple;@蝶弾攻撃 2 Purple;@蝶弾攻撃 2 Purple
華胥の永眠(命中),                         光球 桃 Chaff.wav;光球 桃 Chaff.wav;光球 桃 Chaff.wav
西行寺無余涅槃(準備),                     扇子
西行寺無余涅槃(攻撃),                     @ＭＡＰ蝶弾攻撃 Purple;持続ビーム 青 Laser.wav;@東方ホワイトイン 50 MicroMissile.wav
西行寺無余涅槃(命中),                     光球 桃 Chaff.wav;小ビーム 青 Laser.wav;拡散ビーム 赤 MicroMissile.wav
反魂蝶-一分咲-(攻撃),                     @蝶弾攻撃 4 Purple;@蝶弾攻撃 4 Purple;持続ビーム 青 Laser.wav
反魂蝶-一分咲-(命中),                     光球 桃 Chaff.wav;小ビーム 青 Laser.wav;拡散ビーム 赤 MicroMissile.wav
反魂蝶-参分咲-(攻撃),                     @ＭＡＰ蝶弾攻撃 Purple;ＭＡＰ持続ビーム 青 Laser.wav;@東方ホワイトイン 50 MicroMissile.wav
反魂蝶-参分咲-(命中),                     光球 桃 Chaff.wav;小ビーム 青 Laser.wav;拡散ビーム 赤 MicroMissile.wav
反魂蝶-伍分咲-(攻撃),                     @ＭＡＰ蝶弾攻撃 Purple;ＭＡＰ持続ビーム 青 Laser.wav;@東方ホワイトイン 50 MicroMissile.wav
反魂蝶-伍分咲-(命中),                     光球 桃 Chaff.wav;小ビーム 青 Laser.wav;拡散ビーム 赤 MicroMissile.wav
反魂蝶-八分咲-(攻撃),                     @ＭＡＰ蝶弾攻撃 Purple;ＭＡＰ持続ビーム 青 Laser.wav;@東方ホワイトイン 50 MicroMissile.wav
反魂蝶-八分咲-(命中),                     光球 桃 Chaff.wav;小ビーム 青 Laser.wav;拡散ビーム 赤 MicroMissile.wav
#
### 八雲藍
#
仙狐思念(攻撃),                           ４ＷＡＹ射出;魔法集中 大 緑 Storm.wav 相手ユニットＩＤ
仙狐思念(命中),                           光球 黄 Shock(Low).wav
十二神将の宴(攻撃),                       ６ＷＡＹ射出;ベアリング Beamvalcan.wav
十二神将の宴(命中),                       ベアリング Beamvalcan.wav;連続爆発
狐狸妖怪レーザー(攻撃),                   大ビーム 青 LaserGun.wav
狐狸妖怪レーザー(命中),                   大ビーム 青
狐狸妖怪レーザー(命中),                   ニードルレーザー 青 ランダム方向 Beam2.wav;_
                                          ニードルレーザー 青 ランダム方向 Beam2.wav;ニードルレーザー 青 ランダム方向 Beam2.wav
狐狸妖怪レーザー(命中),                   ベアリング GunPod.wav;連続爆発
四面楚歌チャーミング(攻撃),               拡散ビーム 緑 GunPod.wav;光球 黄;光球 黄
四面楚歌チャーミング(命中),               拡散ビーム 黄 GunPod.wav;連続爆発
アルティメットブディスト(攻撃),           @アルティメットブディスト
アルティメットブディスト(命中),           中ビーム 赤
憑依荼吉尼天(攻撃),                       透明化 対象ユニットＩＤ;スーパータックル 黄 Storm.wav
憑依荼吉尼天(命中),                       透明化 対象ユニットＩＤ;大ビーム 黄 FlyBy(High).wav;4;拡散ビーム 黄 MultipleRocketLauncher.wav;連続大爆発
ユーニラタルコンタクト(攻撃),             拡散ビーム 赤 Whiz.wav;拡散ビーム 青 Whiz.wav
ユーニラタルコンタクト(命中),             光球 赤 Glass.wav;光球 赤 Glass.wav
ユーニラタルコンタクト(命中),             光球 青 Glass.wav;光球 青 Glass.wav
ユーニラタルコンタクト(命中),             光球 青 Glass.wav;光球 赤 Glass.wav
ユーニラタルコンタクト(命中),             光球 赤 Glass.wav;光球 青 Glass.wav
式神『橙』(攻撃),                         拡散ビーム 赤 Whiz.wav;拡散ビーム 青 Whiz.wav;_
                                          回転発射 EPS_Chen(Suimusou)(A)U.bmp 32 発光 Whiz.wav 速
式神『橙』(命中),                         拡散ビーム 青 Whiz.wav ランダム方向;拡散ビーム 青 Whiz.wav ランダム方向;拡散ビーム 赤 ランダム方向 Beamvalcan.wav
狐狗狸さんの契約(攻撃),                   透明化;五芒星 白 Hittyuu.wav;_
                                          粒子集中 青 MultipleRocketLauncher.wav;粒子集中 青 MultipleRocketLauncher.wav;透明化 解除
狐狗狸さんの契約(命中),                   拡散ビーム 青 ランダム方向;拡散ビーム 青 ランダム方向
飯綱権現降臨(攻撃),                       ベアリング gunpod.wav;光球 赤;光球 青;拡散ビーム 紫 MicroMissile.wav
飯綱権現降臨(命中),                       拡散ビーム 青 ランダム方向;拡散ビーム 赤 ランダム方向;拡散ビーム 紫 ランダム方向
狐狸の化かしあい(攻撃),                   多触手 桃 Beamvalcan.wav
狐狸の化かしあい(命中),                   拡散ビーム 桃 Beamvalcan.wav
前鬼後鬼の守護(攻撃),                     @戦闘アニメ_左右別武器準備 Map\EFFECT_MapHole(Yellow)01.bmp 64 発光 Map\EFFECT_MapHole(Green)01.bmp 64 発光 BeamSaber.wav;_
                                          光球 黄;光球 緑
前鬼後鬼の守護(命中),                     光球 黄;光球 緑;連続爆発
御大師様の秘鍵(攻撃),                     発光 白 Glass.wav 対象ユニットＩＤ
御大師様の秘鍵(命中),                     触手 桃 ランダム方向 Beamvalcan.wav;触手 桃 ランダム方向 Beamvalcan.wav
八千万枚護摩(攻撃),                       音波 Chaff.wav 対象ユニットＩＤ;火炎弾
八千万枚護摩(命中),                       ホーミングレーザー 桃 Beamvalcan.wav;連続爆発
飛翔役小角(攻撃),                         透明化 対象ユニットＩＤ;回転発射 EPS_YakumoRan(Suimusou)(A)U.bmp 32 発光 Whiz.wav 速
飛翔役小角(命中),                         強打 Crash.wav;小ビーム 黄 ランダム方向;小ビーム 青 ランダム方向;小ビーム 緑 ランダム方向
#
### 八雲紫
#
テレポート(スキマ移動),                   テレポート１ 紫
攻撃無効化(四重結界),                     @永夜四重結界 Interference.wav
攻撃無効化(永夜四重結界),                 @永夜四重結界 Interference.wav
自動反撃(神隠しの主犯),                   緊急テレポート -.wav 神隠しの主犯
分身(幻想の境界),                         緊急テレポート -.wav 幻想の境界
召喚八雲式(準備),                         召喚 EPS_YakumoRan(Suimusou)(A)U.bmp 32 発光 -.wav
召喚八雲式(攻撃),                         回転発射 EPS_YakumoRan(Suimusou)(A)U.bmp 32 発光 Whiz.wav 速
召喚八雲式(命中),                         オールレンジ
妖回針(攻撃),                             ニードルレーザー連射 赤 Bow.wav
妖回針(命中),                             ニードルレーザー連射 赤
深弾幕結界-夢幻泡影-(攻撃),               ＭＡＰビーム 桃 MicroMissile.wav
深弾幕結界-夢幻泡影-(命中),               拡散ビーム 桃 MicroMissile.wav
色と空の境界(攻撃),                       全拡散ビーム 青 LaserGun.wav
色と空の境界(命中),                       全拡散ビーム 青
波と粒の境界(攻撃),                       連続描画 Bullet\EFFECT_BeamRingCutter(Pink)[01-04].bmp 64 1 10 前面 Beamvalcan.wav 左右反転;_
                                          振り回し Common\EFFECT_Particle(Pink)01.bmp 64 Beamvalcan.wav
波と粒の境界(命中),                       点打 桃 Explode.wav
夢と現の呪(攻撃),                         拡散ビーム 緑 Whiz.wav;光子魚雷 緑 Whiz.wav
夢と現の呪(命中),                         ニードルレーザー連射 青 Gunpod.wav;連続爆発
動と静の均衡(攻撃),                       回転発射 Magic\EFFECT_MagicEmblem(Red)01.bmp 32 -.wav 発光 遅;光球 青 Glass.wav;光球 青 Glass.wav
動と静の均衡(命中),                       ベアリング Beamvalcan.wav;光球 青 Glass.wav
八雲紫の神隠し(攻撃),                     持続ビーム 桃 Laser.wav
八雲紫の神隠し(命中),                     小ビーム 桃 Laser.wav
光と闇の網目(攻撃),                       小ビーム 赤 LaserGun.wav;小ビーム 青 LaserGun.wav
光と闇の網目(命中),                       小ビーム 赤 ランダム方向;小ビーム 青 ランダム方向;小ビーム 赤 ランダム方向;小ビーム 青 ランダム方向
禅寺に棲む妖蝶(攻撃),                     @アルティメットブディスト;@蝶弾攻撃 Blue 1;@蝶弾攻撃 Purple 1
禅寺に棲む妖蝶(命中),                     小ビーム 赤 ランダム方向;小ビーム 青 ランダム方向;_
                                          小ビーム 赤 ランダム方向;拡散ビーム 桃 ランダム方向 Whiz.wav
ストレートとカーブの夢郷(攻撃),           拡散ビーム 桃 GunPod.wav;光球 赤;光球 赤;透明化 解除
ストレートとカーブの夢郷(命中),           拡散ビーム 赤 GunPod.wav;連続爆発
二重黒死蝶(攻撃),                         拡散ビーム 赤 Whiz.wav;拡散ビーム 青 Whiz.wav
二重黒死蝶(命中),                         光球 赤 Glass.wav;光球 赤 Glass.wav
二重黒死蝶(命中),                         光球 青 Glass.wav;光球 青 Glass.wav
二重黒死蝶(命中),                         光球 青 Glass.wav;光球 赤 Glass.wav
二重黒死蝶(命中),                         光球 赤 Glass.wav;光球 青 Glass.wav
式神『八雲藍』(攻撃),                     拡散ビーム 赤 Whiz.wav;拡散ビーム 青 Whiz.wav;_
                                          回転発射 EPS_YakumoRan(Suimusou)(A)U.bmp 32 発光 Whiz.wav 速
式神『八雲藍』(命中),                     拡散ビーム 赤 Whiz.wav ランダム方向;拡散ビーム 青 Whiz.wav ランダム方向;強風
人間と妖怪の境界(攻撃),                   透明化;五芒星 白 Hittyuu.wav;粒子集中 青 MultipleRocketLauncher.wav;粒子集中 青 MultipleRocketLauncher.wav;6;透明化 解除
人間と妖怪の境界(命中),                   拡散ビーム 青 ランダム方向;拡散ビーム 青 ランダム方向
生と死の境界(攻撃),                       ベアリング gunpod.wav;光球 赤;光球 青;拡散ビーム 紫 MicroMissile.wav
生と死の境界(命中),                       拡散ビーム 青 ランダム方向 gunpod.wav;拡散ビーム 赤 ランダム方向 gunpod.wav;拡散ビーム 紫 ランダム方向 gunpod.wav
弾幕結界(攻撃),                           透明化;拡散ビーム 桃 MicroMissile.wav
弾幕結界(命中),                           拡散ビーム 桃 MicroMissile.wav
#
### 伊吹萃香
#
妖鬼-疎-(攻撃),                           実弾発射 EPS_IbukiSuikaU.bmp 16 MultipleRocketLauncher(Light).wav - 速;_
                                          実弾発射 EPS_IbukiSuikaU.bmp 16 -.wav - 速;実弾発射 EPS_IbukiSuikaU.bmp 16 -.wav - 速;_
                                          実弾発射 EPS_IbukiSuikaU.bmp 16 -.wav - 速;実弾発射 EPS_IbukiSuikaU.bmp 16 -.wav - 速;_
                                          実弾発射 EPS_IbukiSuikaU.bmp 16 -.wav - 速
妖鬼-疎-(命中),                           乱打
妖鬼-密-(攻撃),                           打撃突撃 Swing.wav
妖鬼-密-(命中),                           超打 Bazooka.wav
地霊-疎-(攻撃),                           地面衝撃 Shock(Low).wav;実弾発射 Anime\Common\EFFECT_Particle(Purple)01.bmp Whiz.wav
地霊-疎-(命中),                           飛沫 紫 Inori.wav
地霊-密-(攻撃),                           スーパーパンチ 紫
地霊-密-(命中),                           スーパーダイブ 紫 Crash.wav
坤軸の大鬼(攻撃),                         浮上アップ EPS_IbukiSuikaU(2).bmp 青 Charge(2).wav 残像 遅
坤軸の大鬼(命中),                         本体落下 Shock(Low).wav
超高密度燐禍術(攻撃),                     Shock(Low).wav;15;@戦闘アニメ_ＭＡＰ発光攻撃 橙 MultipleRocketLauncher(Light).wav
超高密度燐禍術(命中),                     連続爆発
投擲の天岩戸(攻撃),                       振り回し Weapon\EFFECT_Rock01.bmp;岩
投擲の天岩戸(命中),                       岩
追儺返しブラックホール(攻撃),             重力弾
追儺返しブラックホール(命中),             重力圧縮
六里霧中(攻撃),                           透明化 対象ユニットＩＤ;煙 - - 対象ユニットＩＤ;_
                                          ８ＷＡＹ射出 AntiAirMissile.wav;ベアリング GunPod.wav
六里霧中(命中),                           透明化 対象ユニットＩＤ;光球 青 Glass.wav;ベアリング GunPod.wav;透明化 解除 対象ユニットＩＤ
百万鬼夜行(準備),                         オーラ上昇 白 Charge(high).wav 対象ユニットＩＤ
百万鬼夜行(攻撃),                         ベアリング MultipleRocketLauncher(Light).wav;_
                                          ４ＷＡＹ射出 AntiAirMissile.wav;ベアリング MultipleRocketLauncher(Light).wav;_
                                          ４ＷＡＹ射出 AntiAirMissile.wav;光球 青
百万鬼夜行(命中),                         ベアリング MultipleRocketLauncher(Light).wav;拡散ビーム 青 ランダム方向 MicroMissile.wav;_
                                          光球 青 Glass.wav;光球 青 Glass.wav
濛々迷霧(攻撃),                           煙 - - 対象ユニットＩＤ;_
                                          ＭＡＰ移動変形タックル Anime\Bullet\EFFECT_GroundCutter(White)01.bmp 白 Beamvalcan.wav;瞬間変形
濛々迷霧(命中),                           煙 白 -.wav;強打;ベアリング Beamvalcan.wav
#
### リグル＝ナイトバグ
#
リトルバグストーム(攻撃),                 旋風 MicroMissile.wav
リトルバグストーム(命中),                 ベアリング gunpod.wav
地上の流星(攻撃),                         ８ＷＡＹ射出
地上の流星(命中),                         ホーミングレーザー 青;ベアリング gunpod.wav
ナイトバグトルネード(攻撃),               竜巻 MicroMissile.wav
ナイトバグトルネード(命中),               ベアリング gunpod.wav
Ｆフライフェノメノン(解説),               $(ユニット)はファイアフライフェノメノンで攻撃をかけた。
Ｆフライフェノメノン(攻撃),               粒子噴射 赤 Storm.wav;４ＷＡＹ射出;８ＷＡＹ射出
Ｆフライフェノメノン(命中),               ベアリング gunpod.wav;連続爆発
永夜蟄居(攻撃),                           旋風 MicroMissile.wav
永夜蟄居(命中),                           ベアリング gunpod.wav;連続爆発
季節外れのＢ・ストーム(解説),             $(ユニット)は季節外れのバタフライストームで攻撃をかけた。
季節外れのＢ・ストーム(攻撃),             ８ＷＡＹ射出;拡散ビーム 青 MicroMissile.wav;拡散ビーム 赤 MicroMissile.wav
季節外れのＢ・ストーム(命中),             オールレンジ
地上の恒星(攻撃),                         ３ＷＡＹ射出;光球 黄 Beam.wav
地上の恒星(命中),                         発光 黄 BeamShot.wav
バタフライストーム(攻撃),                 ６ＷＡＹ射出;ホーミングレーザー 赤 MicroMissile.wav;ホーミングレーザー 青 MicroMissile.wav
バタフライストーム(命中),                 ホーミングレーザー 赤 MicroMissile.wav;ホーミングレーザー 青 MicroMissile.wav
#
### ミスティア＝ローレライ
#
梟の夜鳴声(攻撃),                         ４ＷＡＹ射出
梟の夜鳴声(命中),                         ベアリング GunPod.wav
天蛾の蠱道(攻撃),                         ８ＷＡＹ射出
天蛾の蠱道(命中),                         ベアリング gunpod.wav
木菟咆哮(攻撃),                           ４ＷＡＹ射出;４ＷＡＹ射出
木菟咆哮(命中),                           ベアリング gunpod.wav
イルスタードダイブ(攻撃),                 @周囲暗闇化 35;@イルスタードダイブ攻撃 35
イルスタードダイブ(命中),                 @暗闇命中 35
夜雀の歌(攻撃),                           @周囲暗闇化 40;@夜雀の歌攻撃 40
夜雀の歌(命中),                           @暗闇命中 40
真夜中のコーラスマスター(攻撃),           @周囲暗闇化 45;@真夜中のコーラスマスター攻撃 45
真夜中のコーラスマスター(命中),           @暗闇命中 45
ブラインドナイトバード(攻撃),             @周囲暗闇化 45;@夜雀の歌攻撃 45;_
                                          @暗闇拡散ビーム発射 45 青 MicroMissile.wav;@暗闇拡散ビーム発射 45 赤 MicroMissile.wav
ブラインドナイトバード(命中),             @暗闇命中 45;@暗闇オールレンジ 45
ヒューマンケージ(攻撃),                   気斬;ホーミングレーザー 赤 GunPod.wav
ヒューマンケージ(命中),                   ホーミングレーザー 赤 GunPod.wav
#
### 上白沢慧音
#
ファーストピラミッド(攻撃),               ８ＷＡＹ射出;拡散ビーム 青 MultipleRocketLauncher.wav
ファーストピラミッド(命中),               拡散ビーム 青 MicroMissile.wav
エフェメラリティ１３７(攻撃),             重機関砲 Beamvalcan.wav;ベアリング GunPod.wav
エフェメラリティ１３７(命中),             重機関砲 Beamvalcan.wav;ベアリング GunPod.wav;連続爆発
将門クライシス(攻撃),                     ４ＷＡＹ射出;６ＷＡＹ射出
将門クライシス(命中),                     ホーミングレーザー 白 MicroMissile.wav
三種の神器(攻撃),                         連突
三種の神器(命中),                         連突 青
幻想天皇(攻撃),                           ４ＷＡＹ射出;６ＷＡＹ射出;８ＷＡＹ射出
幻想天皇(命中),                           拡散ビーム 青 MicroMissile.wav
幻想郷伝説(攻撃),                         ４ＷＡＹ射出;６ＷＡＹ射出;８ＷＡＹ射出
幻想郷伝説(命中),                         拡散ビーム 赤 MicroMissile.wav
高天原(攻撃),                             @高天原 Interference.wav
高天原(命中),                             交差ビーム 青 青
日出づる国の天子(攻撃),                   @日出づる国の天子 Interference.wav
日出づる国の天子(命中),                   交差ビーム 赤 青
旧秘境史(攻撃),                           ４ＷＡＹ射出;拡散ビーム 青;ニードルレーザー連射 MachineCannon.wav
