紅拳
発進(レッドバロン), うぉぉぉーーーっ！;レッドバロン！: ファイヤァー！！！
射程外, 届かぬとは……
攻撃, ぐぉぉぉ～！！
攻撃, うぉぉ～！！
攻撃, きゅるるる～ 貴様を取り込んでやるぞ！
攻撃, 我が糧となれぇ～
攻撃, お前の脳を奪う、奪ってやるぞ！
攻撃, 奪う！ お前の脳を奪う……
攻撃, 欲しい……お前の力が欲しい……
攻撃, 我は神となるのだ！
攻撃, 死ねぇ～死になさい！！
攻撃, シグマ……私の名はシグマ……神となるもの！
口部ドリル, 解剖する……お前を解剖するのだぁ！！
