
人間
オルフェノク化, Fold.wav
ビーストフット(命中), 3;Crash.wav;3;Crash.wav;Crash.wav
捕食(命中), 4;Stab.wav;3;Stab.wav;2;Stab.wav;5;Stab.wav;Crash.wav
ショルダースパイク(命中), Crash.wav
魔の槍(命中), Stab.wav
高熱火炎, Fire.wav
顎(命中), Crash.wav
クチバシ(命中), Crash.wav
突進(命中), Crash.wav
クラブ(命中), Crash.wav
触腕, Saber.wav
触腕(命中), Whip.wav
毒針, Bow.wav
毒針(命中), Stab.wav
草矢, 1;Bow.wav;1;Bow.wav;1;Bow.wav
草矢(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
舌, Saber.wav
舌(命中), Whip.wav
ツタ(命中), Whip.wav
