
# 以下、レギュラーキャラや秘密道具用の汎用アニメ。

汎用
阻止(秘密道具), バリア Flair.wav 秘密道具
神像の幻影(攻撃), 瞬間変形 ..\Unit\DORA03_GodDogU.bmp; @DORA03_KyosinZou.bmp; 巨神像「<B><Big>バオーン</B></Big>」; 打撃突撃
神像の幻影(攻撃), @DORA03_KyosinZou.bmp; 巨神像「<B><Big>バオーン</B></Big>」
神像の幻影(命中), 落雷
ラッシュ(攻撃), 乱突
ラッシュ(命中), 連斬撃
#
サーベル, サーベル
連続攻撃(攻撃), 連斬撃
連続攻撃(命中), 大斬撃
爆薬投下(攻撃), 実弾投下 Weapon\EFFECT_Bomb01.bmp Swing.wav; 実弾投下 Weapon\EFFECT_Bomb01.bmp Swing.wav; 実弾投下 Weapon\EFFECT_Bomb01.bmp Swing.wav
爆薬投下(命中), 連続爆発
白兵戦(攻撃), 乱突
白兵戦(命中), 連突
大型ドリル, ドリル突撃
#
飛び込み斬り(準備), 剣
飛び込み斬り(攻撃), 剣突撃
飛び込み斬り(命中), 横大斬撃
#
一閃(準備), -
一閃(準備), -
一閃(準備), サーベル
一閃(攻撃), 横大斬撃
一閃(命中), クリティカル斬撃
陰謀, 光球 ブラック EvilEye.wav
ナイフ, ナイフ
一蓮托生, ナイフ突撃
杖, 杖
火炎放射・集中, 火炎放射, 火炎放射, 超火炎放射
遠吠え砲, ＭＡＰビーム 白
#

バウワンコの神像(等身大基準)
稲妻, 落雷
格闘(攻撃), 打撃突撃
格闘(攻撃), 打撃突撃
格闘(攻撃), アッパー
格闘(攻撃), タックル
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), 超打
格闘(命中), 打撃突撃
格闘(命中), 打撃突撃
格闘(命中), 超アッパー

バウワンコの神像(等身大基準)(2014)
湧き立つ雲(準備), 大気吸収
湧き立つ雲(攻撃), ＭＡＰ竜巻
いなづま, 落雷
格闘(攻撃), 打撃突撃
格闘(攻撃), 打撃突撃
格闘(攻撃), アッパー
格闘(攻撃), タックル
格闘(攻撃), キック
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), 超打
格闘(命中), 打撃突撃
格闘(命中), 打撃突撃
格闘(命中), 超アッパー
粉砕(準備), 大気吸収
粉砕(準備), 落雷, 大放電
粉砕(準備), -
粉砕(準備), -
粉砕(攻撃), スーパータックル 白
粉砕(命中), スーパータックル 白, 装甲破壊


水中バギー
体当たり(バギー), タックル
暴走(バギー)(攻撃), スピンキック レッド Engine.wav
暴走(バギー)(命中), 連打 レッド
突撃(バギー)(攻撃), スーパータックル レッド Engine.wav
突撃(バギー)(命中), スーパータックル レッド; 連続爆発
#

海底人
ショック光線(準備), -
ショック光線(準備), -
ショック光線(準備), ソード
ショック光線(攻撃), ショックビーム イエロー
ショック光線(命中), ショックビーム イエロー
剣, ソード
電磁剣(準備), ソード
電磁剣(攻撃), ソード突撃
電磁剣(命中), 雷斬撃
熱光線, ２連光弾 イエロー


特大ダイオウイカ(ドラえもん)
体当たり, 飛びかかり
触腕(攻撃), 触手 ホワイト
触腕(命中), 触手 ホワイト; 連打
触腕(命中), 触手 ホワイト; 立ち固め
捕食(攻撃), スーパータックル オレンジ
捕食(命中), スーパータックル オレンジ; 噛み付き 連続

海底鬼岩城
鉄騎隊(攻撃), ８ＷＡＹ射出
鉄騎隊(命中), 連斬撃

バトルフィッシュ
熱光線, ２連小ビーム グリーン
体当たり, スーパータックル ブラック

鉄騎兵
熱光線, 小ビーム グリーン

鉄騎隊
熱光線, 拡散ビーム グリーン

自動報復システムポセイドン
破壊光線, メガショックビーム グリーン
鉄騎隊, ６ＷＡＹ射出


魔法世界の住人
攻撃無効化(念動力), バリア Whiz.wav 念動力
念動力, 波動放射 ホワイト Whiz.wav
剣, 銀剣
火炎の術(攻撃), 粒子集中 赤
火炎の術(命中), 炎
火柱の術(攻撃), 魔法集中 赤
火柱の術(命中), 炎の壁
火柱の術, 火柱
水柱の術, 津波
姿隠しの結界(使用), 魔方陣 背面
姿隠しの結界(発動), 分身 Charge(Silent).wav ステルスLv2
稲妻, 小ビーム グリーン
イカヅチの術, 大キャノン砲 Fire.wav
高笑い, 旋風
石化の魔法, 特殊光線 ブラック
巨大な尾(攻撃), 白兵回転
巨大な尾(命中), 強打
丸呑み(攻撃), タックル
丸呑み(命中), 噛み付き 

大魔王デマオン
格闘, 打突

宇宙小戦争
催眠音波, 音波
#ショックピストル, 小ビーム ブルー
ビーム光線, ２連小ビーム ブルー
熱線, ２連小ビーム グリーン
熱線銃, ２連小ビーム オレンジ
蹂躙(攻撃), タックル
蹂躙(命中), 強打
ビームガン, 小ビーム グリーン
格闘, 打突
#愛犬ロコロコ(準備), しもべ ..\Unit\DORA06_RocoRocoU.bmp _GetEFBS(..\Unit\DORA06_RocoRocoU.bmp) UnitOn(2).wav
#愛犬ロコロコ(準備), -
#愛犬ロコロコ(準備), -
#愛犬ロコロコ(攻撃), しもべ ..\Unit\DORA06_RocoRocoU.bmp _GetEFBS(..\Unit\DORA06_RocoRocoU.bmp) Dog.wav
#愛犬ロコロコ(命中), 周囲回転 ..\Unit\DORA06_RocoRocoU.bmp _GetEFBS(..\Unit\DORA06_RocoRocoU.bmp) Dog.wav
#　※ユニットアイコンないので、↓光球＋旋回光弾で代用。
愛犬ロコロコ(攻撃), 光球 オレンジ Dog.wav
愛犬ロコロコ(命中), 旋回光弾 オレンジ Dog.wav
蹴り, キック
体当たり, 飛びかかり
監視球(攻撃), 	８ＷＡＹ射出
監視球(命中), 	発光 紫
自爆(攻撃), スーパータックル オレンジ
自爆(命中), 連続爆発 オレンジ
キャタピラ(攻撃), タックル FastGun.wav
キャタピラ(命中), 強打


鉄人兵団
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), 連打
格闘(命中), 打撃
格闘(命中), 連打
格闘(命中), 立ち固め
熱光線, 小ビーム オレンジ
熱光線・フルパワー, 中ビーム オレンジ
熱光線(集団), ニードルレーザー連射 オレンジ
ビームガン, ビームランチャー オレンジ
ビームガン(集団), 拡散ビーム オレンジ
拘束(攻撃), 連突
拘束(命中), 立ち固め
墜落攻撃(攻撃), 連斬撃
墜落攻撃(命中), 投げ飛ばし
リルルの熱光線(攻撃), 変形 ..\Unit\DORA07_LiruruU.bmp Swing(3).wav; 小ビーム オレンジ; 変形
リルルの熱光線(命中), 小ビーム オレンジ
レーザー光線砲, ２連中ビーム オレンジ

地底世界の住人
シールド防御, ミドルシールド
剣, ソード
砲撃, ビームランチャー(２) オレンジ
小剣, ショートソード
突撃, 打撃突撃
ランス, ランス ホワイト
ラジコン飛行機(攻撃), １ＷＡＹ射出 Helicopter.wav
ラジコン飛行機(命中), 小ビーム Missile.wav ランダム方向
槍, スピア
対空砲, 拡散ビーム オレンジ
竜騎士団, ８ＷＡＹ射出
熱線銃, ビームライフル Weapon\EFFECT_ShortMusket01.bmp _GetWPBS(Weapon\EFFECT_ShortMusket01.bmp)
#
石器ナイフ(準備), 振る武器 DGoods\EFFECT_Scoop01.bmp _GetWPBS(DGoods\EFFECT_Scoop01.bmp)
石器ナイフ(攻撃), 連突
石器ナイフ(命中), 打撃
毒矢, 弓矢
石ヤリ, 石槍
手槍, スピア

パラレル西遊記
阻止(妖術), バリア whiz.wav 妖術
酒になれ！(攻撃), 重力弾
酒になれ！(命中), 重力圧縮; 泡
ヒョウタン, 光投射
青龍刀, 青龍刀
大刀,  青龍偃月刀(２)
七星剣, 大斬撃武器 Weapon\EFFECT_GiantSword02.bmp _GetWPBS(Weapon\EFFECT_GiantSword02.bmp) 発光 紫
爪(攻撃), 連斬撃 紫
爪(命中), 爪撃 紫 連続
芭蕉扇(攻撃), 竜巻
芭蕉扇(命中), 竜巻
妖術,  光球 桃
重ねの風(攻撃), 連斬撃; 旋風
重ねの風(命中), 旋風
格闘(攻撃), 格闘
格闘(攻撃), 格闘
格闘(攻撃), タックル
格闘(攻撃), 連打
格闘(命中), 打撃
格闘(命中), 打撃
格闘(命中), 連打
格闘(命中), 立ち固め

妖怪コウモリの群れ(ドラえもん)
牙(攻撃), 連突
牙(命中), 噛み付き 連続

牛魔王(ドラえもん)
格闘(攻撃), 格闘
格闘(攻撃), 格闘
格闘(攻撃), タックル
格闘(攻撃), ヘッドバット
格闘(命中), 強打
格闘(命中), 強打
格闘(命中), 打撃突撃
格闘(命中), 投げ飛ばし
炎(攻撃), 光球集中 レッド
炎(命中), 火柱
巨大刀(準備), 巨大剣
巨大刀(攻撃), 大斬撃 ブラック
巨大刀(攻撃), 振り上げ大斬撃 ブラック
巨大刀(攻撃), 横大斬撃 ブラック
巨大刀(攻撃), 横大斬撃 ブラック
巨大刀(命中), 大斬撃 ブラック


日本誕生
素手, 連打
素手, キック
素手, タックル
ヤリ投げ, 投擲武器 Weapon\EFFECT_StoneSpear01.bmp _GetWPBS(Weapon\EFFECT_StoneSpear01.bmp)
石ヤリ, 打突武器 Weapon\EFFECT_StoneSpear01.bmp _GetWPBS(Weapon\EFFECT_StoneSpear01.bmp)
#
暴力(攻撃), 打突
暴力(攻撃), 打突
暴力(攻撃), タックル
暴力(攻撃), タックル
暴力(攻撃), キック
暴力(命中), 打撃
暴力(命中), 打撃
暴力(命中), 打撃
暴力(命中), 打撃突撃
暴力(解説), $(ユニット)は暴力をふるった
ムチ, 鞭
オノ投げ, 回転投擲武器 Weapon\EFFECT_StoneAx01.bmp _GetWPBS(Weapon\EFFECT_StoneAx01.bmp)
石オノ, 殴打武器 Weapon\EFFECT_StoneAx01.bmp _GetWPBS(Weapon\EFFECT_StoneAx01.bmp)
#
ペガの蹄,   浴びせ蹴り
ドラコの牙(攻撃), 打撃突撃
ドラコの牙(命中), 爪撃; 噛み付き
グリの爪(攻撃), 連斬撃
グリの爪(命中), 爪撃 連続
コンビネーション, スーパーパンチ乱舞 白
蹄,   浴びせ蹴り
爪と牙(攻撃), 打撃突撃
爪と牙(命中), 爪撃; 噛み付き
爪(攻撃), 連斬撃
爪(命中), 爪撃 連続
#
体当たり, ヘッドバット
衝撃波, 波動放射 ブラック 残像
広域衝撃波, ＭＡＰ波動放射 ブラック 残像
#
トラップ(攻撃), ロックオン 相手ユニットＩＤ
トラップ(命中), 落雷
トラップ(命中), 放電
トラップ(命中), 石柱
トラップ(命中), 氷柱
トラップ(命中), 炎
トラップ(命中), 煙 黒
トラップ(命中), 津波
トラップ(命中), 竜巻
トラップ(命中), 重力弾
範囲トラップ(攻撃), ＭＡＰフラッシュ
範囲トラップ(攻撃), ＭＡＰダークネス
範囲トラップ(攻撃), ＭＡＰ球電
範囲トラップ(攻撃), ＭＡＰ大爆発
範囲トラップ(攻撃), ＭＡＰブラックホール
範囲トラップ(攻撃), ＭＡＰ地震
範囲トラップ(命中), 煙 黒


アニマル惑星
パンチ, 打突
打ち上げ花火(攻撃), 画像投射 武器画像=破裂球(赤) Cannon.wav
打ち上げ花火(命中), 連続爆発 2 レッド; 爆発 ブルー; 爆発 パープル
打ち上げ花火(命中), 連続爆発 2 レッド; 爆発 イエロー; 爆発 ピンク
打ち上げ花火(命中), 連続爆発 2 ピンク; 爆発 ブルー; 爆発 グリーン
打ち上げ花火(命中), 連続爆発 2 ピンク; 爆発 イエロー; 爆発 レッド
打ち上げ花火(命中), 連続爆発 2 レッド; 爆発 ピンク; 爆発 パープル
#
麻酔銃, ニューナンブ
捕縛, 立ち固め
警棒, 警棒
つばさ(攻撃), 斬撃 Swing(3).wav
つばさ(命中), なぎ払い Slash(2).wav
怪力(攻撃), 連打
怪力(攻撃), 打撃突撃
怪力(攻撃), アッパー
怪力(命中), 連打
怪力(命中), 強打
怪力(命中), アッパー
怪力(命中), 投げ飛ばし
怪力(命中), 投げ飛ばし
棒, 棒
#
暴力(攻撃), 打突
暴力(攻撃), 打突
暴力(攻撃), タックル
暴力(攻撃), タックル
暴力(攻撃), キック
暴力(命中), 打撃
暴力(命中), 打撃
暴力(命中), 打撃
暴力(命中), 打撃突撃
暴力(解説), $(ユニット)は暴力をふるった
攻撃無効化(超強化装甲), バリア BeamCoat.wav 超硬化装甲 オレンジ
ビーム, ２連小ビーム オレンジ
破壊光線銃, ビームランチャー オレンジ
爆弾投下(攻撃), 実弾連続投下 Weapon\EFFECT_Bomb01.bmp Swing.wav; 実弾投下 Weapon\EFFECT_Bomb01.bmp Swing.wav; 実弾投下 Weapon\EFFECT_Bomb01.bmp Swing.wav
爆弾投下(命中), 連続爆発
蹂躙(攻撃), タックル Bazooka(4Shot).wav
蹂躙(命中), 強打 Bazooka(4Shot).wav
全方位ビーム砲, ＭＡＰビーム オレンジ
ビーム砲,  大ビーム オレンジ
火炎放射,  超火炎放射
#
攻撃無効化(超硬化装甲), バリア BeamCoat.wav 超硬化装甲 ブルー
阻止(降雨装置), 光柱 Shower.wav
格闘(攻撃), 打突
格闘(攻撃), 打突
格闘(攻撃), タックル
格闘(攻撃), キック
格闘(命中), 連打
格闘(命中), 連打
格闘(命中), フォール
格闘(命中), 打撃突撃
破壊光線銃(連邦警察), ビームランチャー ブルー
降雨装置, ２連水流
ビーム(連邦警察), ２連小ビーム ブルー
#
#

