

侍魂
蹴撃, キック
コンルノンノ(命中), 落下 Crash.wav;凍結 Glass.wav
ルプシトゥム(攻撃), 氷弾
ルプシトゥム(命中), 大刺突
ルプシテクヌム(攻撃), 打突
ルプシテクヌム(命中), 4;「はいっ！」;凍結;4;「はいっ！ ごめん！！」;強打 Crash.wav
ルプシテクヌム(命中), 4;「よっ！」;凍結;4;「よっ！ 決まりぃ！！」;強打 Crash.wav
ルプシカムイエムシ(準備), 発光 青
ルプシカムイエムシ(攻撃), 光球 青 Swing.wav
ルプシカムイエムシ(命中), 凍結 Glass.wav;落下 Crash.wav

花諷院骸羅
地震丸(攻撃), 振り下ろし;振動
喝！(攻撃), 決め文字 喝 赤 Shock(Low).wav
ぶちのめし(攻撃), タックル
ぶちのめし(命中), 叩き潰し
南無阿弥陀仏(攻撃), 斬撃
南無阿弥陀仏(命中), 強打 Crash.wav
かちあげ(攻撃), 格闘
かちあげ(命中), 振り上げ Crash.wav;落下 Crash.wav
みだれうち(攻撃), 斬撃;斬撃;斬撃
みだれうち(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
つかむぞ～(攻撃), 打突
つかむぞ～(命中), 投げ飛ばし Crash.wav
仁王爆震殺(準備), 発光 青
仁王爆震殺(攻撃), @戦闘アニメ_大爆発命中
仁王爆震殺(命中), 落下 Crash.wav, Explode(Far).wav
円心殺(攻撃), 打突
円心殺(命中), ジャイアントスイング Crash.wav;「<BIG>餓鬼道に落ちろ！！</BIG>」
拳舞(準備), 発光 青
拳舞(攻撃), 打突
拳舞(命中), 乱打 Punch.wav;アッパー Crash.wav;大爆発;「<BIG>いっちょ上がりぃっ！！</BIG>」

首斬り破沙羅
影騙し(攻撃), 透明化;実弾発射 SS_KubikiriBasaraU.bmp Saber.wav
影騙し(命中), 透明化 解除
刺し足, キック
罪人殺, 斬撃
空刺し(攻撃), 振り上げ
空刺し(命中), 斬撃
地刺し(攻撃), 振り上げ
地刺し(命中), 斬撃
鵺魂(攻撃), 光玉 黒
鵺魂(命中), 電撃
影出(攻撃), アッパー
影出(命中), 振り上げ;落下 Crash.wav
影縫い(攻撃), 斬撃
影縫い(命中), 振り下ろし
友引(攻撃), 打突
友引(命中), 振り上げ;振り上げ;振り上げ
影舞(準備), 発光 青
影舞(攻撃), 格闘
影舞(命中), 連打 Punch.wav;斬撃乱舞;アッパー Slash.wav

壬無月斬紅郎
疾風斬(攻撃), 斬撃;実弾発射 Bullet\EFFECT_GroundCutter(Green)01.bmp Saber.wav
疾風斬(命中), 飛沫 緑 Slash.wav
無法拳(攻撃), スーパータックル 緑
無法拳(命中), スーパータックル 緑 Crash.wav
紅鋼怨獄丸, 日本刀
不動(攻撃), 斬撃
不動(命中), 大斬撃
天誅(攻撃), 回転振り下ろし
天誅(命中), 唐竹割り
天崩斬(攻撃), タックル
天崩斬(命中), ダメージ Punch.wav;ダメージ Punch.wav;ダメージ Punch.wav;振り上げ;落下 Crash.wav
一刀斬(攻撃), 打突
一刀斬(命中), 強打 Crash.wav;アッパー Crash.wav;唐竹割り
無限砲(準備), 発光 青
無限砲(攻撃), 波動放射 緑
無限砲(命中), 超斬撃
無双震撃斬(準備), 発光 青
無双震撃斬(攻撃), 振動;斬撃
無双震撃斬(命中), 超斬撃

風間火月
朱雀, 斬撃
炎滅(攻撃), 大自爆
炎滅(命中), 炎
炎返し(攻撃), 炎投射 BeamShot.wav
炎返し(命中), 炎
炎返し(災炎２)(攻撃), 炎投射 BeamShot.wav;炎投射 BeamShot.wav
炎返し(災炎２)(命中), Fire.wav
炎返し(災炎最大)(攻撃), 炎投射 BeamShot.wav;炎投射 BeamShot.wav;炎投射 BeamShot.wav
炎返し(災炎最大)(命中), 炎
焦熱魂(攻撃), 火炎弾 Bow.wav
焦熱魂(命中), 炎
焦熱魂(災炎)(攻撃), 火炎弾 Whiz.wav
焦熱魂(災炎)(命中), 爆発
焦熱魂(災炎２)(攻撃), 火炎弾 Bazooka.wav
焦熱魂(災炎２)(命中), 大爆発
焦熱魂(災炎最大)(攻撃), 火炎弾 Warship.wav
焦熱魂(災炎最大)(命中), 超爆発
大爆殺(攻撃), 打突
大爆殺(命中), 爆発;炎
大爆殺(災炎)(攻撃), 打突
大爆殺(災炎)(命中), 爆発;爆発;炎
大爆殺(災炎２)(攻撃), 打突
大爆殺(災炎２)(命中), 爆発;爆発;爆発;大爆発
大爆殺(災炎最大)(攻撃), 打突
大爆殺(災炎最大)(命中), 連続爆発;超爆発
暴爆、火炎撃(準備), 発光 青
暴爆、火炎撃(攻撃), 炎 対象ユニットＩＤ;スーパータックル 赤 Starirs(Run).wav
暴爆、火炎撃(命中), スーパータックル 赤 Crash.wav;超爆発

炎邪(侍魂)
或那の鎖(攻撃), 斬撃
或那の鎖(命中), 強打 Crash.wav
愚連脚(攻撃), 回転振り上げ
愚連脚(命中), 連打;アッパー Crash.wav
炎滅(攻撃), 大自爆
炎滅(命中), 炎
炎邪爆熱(準備), 発光 青
炎邪爆熱(攻撃), 炎 対象ユニットＩＤ;超自爆
炎邪爆熱(命中), 落下 Crash.wav
六道烈火(攻撃), 格闘
六道烈火(命中), 強打 Crash.wav;@戦闘アニメ_斬撃攻撃;強打 Crash.wav;斬撃乱舞;唐竹割り Crash.wav

炎邪火月
拳撃, 連打
肘打炎迅掌(攻撃), 打突
肘打炎迅掌(命中), 連打;爆発
炎熱獄(攻撃), 光噴出 赤 Fire.wav
炎熱獄(命中), 炎
火炎撃(攻撃), 炎 対象ユニットＩＤ;スーパータックル 赤 Starirs(Run).wav
火炎撃(命中), スーパータックル 赤 Crash.wav;大爆発
六道烈火(攻撃), 格闘
六道烈火(命中), 強打 Crash.wav;@戦闘アニメ_斬撃攻撃;強打 Crash.wav;斬撃乱舞;唐竹割り Crash.wav
絶焼騎馬式噴虎(攻撃), 粒子集中 赤 Charge.wav 対象ユニットＩＤ;斬撃
絶焼騎馬式噴虎(命中), 超打 Crash.wav
狂覚醒(準備), 発光 青
狂覚醒(攻撃), 炎 対象ユニットＩＤ;格闘
狂覚醒(命中), 連打;乱打 Punch.wav;超爆発

風間蒼月
浮月(攻撃), 光球 青 Bubble.wav
浮月(命中), 飛沫 青 Splash.wav
青龍, 斬撃
月輪波(攻撃), 粒子噴射 青
月輪波(命中), 飛沫 青 Splash.wav
月光(攻撃), 光噴出 青 Splash.wav
月光(命中), 飛沫 青 Splash.wav
消波・風月斬(準備), 発光 青
消波・風月斬(攻撃), なぎ払い
消波・風月斬(命中), 連続なぎ払い;振り下ろし;唐竹割り;飛沫 青 Splash.wav
月昇・水柱波(準備), 発光 青
月昇・水柱波(攻撃), 光噴出 青 対象ユニットＩＤ Splash.wav;光噴出 青 対象ユニットＩＤ Splash.wav;光噴出 青 対象ユニットＩＤ Splash.wav
月昇・水柱波(命中), 飛沫 青 Splash.wav

水邪(侍魂)
屡堵羅の環(攻撃), 斬撃
屡堵羅の環(命中), 強打 Crash.wav
死月(攻撃), 打突
死月(命中), 簡易回転 対象ユニットＩＤ;投げ飛ばし
月輪波(攻撃), 粒子噴射 青
月輪波(命中), 飛沫 青 Splash.wav
翔月(攻撃), 回転振り下ろし 3
翔月(命中), 振り下ろし
天昇・水柱波(準備), 発光 青
天昇・水柱波(攻撃), 光噴出 青 対象ユニットＩＤ Splash.wav;光噴出 青 対象ユニットＩＤ Splash.wav;光噴出 青 対象ユニットＩＤ Splash.wav
天昇・水柱波(命中), 飛沫 青 Splash.wav

水邪蒼月
破月(攻撃), 光球 青 Bubble.wav
破月(命中), 飛沫 青 Splash.wav
死月(攻撃), 打突
死月(命中), 簡易回転 対象ユニットＩＤ;投げ飛ばし
翔月(攻撃), 回転振り下ろし 3
翔月(命中), 振り下ろし
水月(攻撃), 光噴出 青 Splash.wav
水月(命中), 飛沫 青 Splash.wav
蓮華水舞(攻撃), 格闘
蓮華水舞(命中), 連打;飛沫 青 Splash.wav
天昇蓮華(準備), 発光 青
天昇蓮華(命中), 連打;乱打 Punch.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav;飛沫 青 Splash.wav

徳川慶寅
七本刀(攻撃), 連続なぎ払い
七本刀(命中), 連続なぎ払い
壱の太刀・撫子(準備), -
壱の太刀・撫子(攻撃), 格闘;なぎ払い
壱の太刀・撫子(命中), なぎ払い
弐の太刀・白百合(準備), -
弐の太刀・白百合(攻撃), アッパー
弐の太刀・白百合(命中), 振り上げ;落下 Crash.wav
参の太刀・牡丹(準備), -
参の太刀・牡丹(攻撃), 回転振り下ろし
参の太刀・牡丹(命中), 振り下ろし
四の太刀・椿(準備), -
四の太刀・椿(攻撃), タックル;振り下ろし
四の太刀・椿(命中), 振り下ろし
五の太刀・朝顔(準備), -
五の太刀・朝顔(攻撃), 連続なぎ払い
五の太刀・朝顔(命中), 回転斬撃 Slash.wav
六の太刀・夕顔(準備), -
六の太刀・夕顔(攻撃), 打突
六の太刀・夕顔(命中), 大刺突
七の太刀・遊蝶華(準備), -
七の太刀・遊蝶華(攻撃), 振り下ろし
七の太刀・遊蝶華(命中), 超斬撃
葵(準備), 発光 青
葵(攻撃), キック
葵(命中), 斬撃乱舞;斬撃乱舞;「目を覚ましやがれェッ！！」;超打 Crash.wav

劉雲飛
天哭封羅(攻撃), 打突
天哭封羅(命中), 強打 Bazooka.wav
天閃燕巧, 斬撃
天威太保, 粒子噴射 緑
天猛金翅(攻撃), 格闘
天猛金翅(命中), 大刺突
天威太歳, 旋風 緑
天魁雲裏(準備), 発光 青
天魁雲裏(攻撃), 光噴出 緑 対象ユニットＩＤ Wind.wav
天魁雲裏(命中), スピンアタック 緑

真鏡名ミナ
カジフチ, キック
鎮聖八浄(攻撃), 矢
鎮聖八浄(命中), 矢
シニマブイの嘆き(攻撃), 回転振り下ろし;矢
シニマブイの嘆き(命中), 矢
スンガンの迎え(攻撃), 矢
スンガンの迎え(命中), 矢
天弓心(準備), -
天弓心(攻撃), 矢連射
天弓心(命中), 連突
地弓心(準備), -
地弓心(攻撃), 矢連射
地弓心(命中), 連突
ウチミムンの怒り(準備), 発光 青
ウチミムンの怒り, 急降下

妖怪腐れ外道
泥投げ(攻撃), 石
泥投げ(命中), ダメージ Punch.wav
肉弾攻撃, 格闘
悪霊呼び, 光噴出 赤 Hide.wav
胃液吐き, 光球 桃 -.wav
剥き出しの骨, 斬撃
外道の烙印押し(攻撃), 打突
外道の烙印押し(命中), ドライバー;「どっふぃーん！！」
飛び頭突き(準備), 発光 青
飛び頭突き(攻撃), 格闘
飛び頭突き(命中), 超打 Crash.wav
外道の獲物狩り(準備), 発光 青
外道の獲物狩り(攻撃), 打突
外道の獲物狩り(命中), ドライバー;ドライバー;ドライバー;大斬撃;「いいかおだなぁ！！」

萬三九六
一八！(攻撃), 実弾発射 SS_IppachiU.bmp Saber.wav 遅
一八！(命中), ダメージ Punch.wav
天下逸品(攻撃), 斬撃
天下逸品(命中), 強打 Crash.wav
お二四！(攻撃), 実弾発射 SS_FuyoU.bmp Saber.wav 遅
お二四！(命中), ダメージ Punch.wav
五七！(攻撃),  実弾発射 SS_GoshichiU.bmp Swing.wav 遅
五七！(命中), 叩き潰し
俺の種子島(準備), 発光 青
俺の種子島, ライフル -.bmp

黒河内夢路
自作・無銘(攻撃), なぎ払い
自作・無銘(命中), なぎ払い
細雪・閃(攻撃), 連続なぎ払い
細雪・閃(命中), 連続なぎ払い
陽炎(攻撃), 気斬
陽炎(命中), 斬撃
雪風巻(攻撃), なぎ払い
雪風巻(命中), なぎ払い
御神薙((準備), 発光 青
御神薙(攻撃), 格闘
御神薙(命中), 夢想残光霞
アンヌムツベ(攻撃), 格闘 -.wav;なぎ払い Saber.wav
アンヌムツベ(命中), なぎ払い
四の太刀・椿(準備), -
四の太刀・椿(攻撃), タックル;斬撃
四の太刀・椿(命中), 振り下ろし
弧月斬(攻撃), 振り上げ;アッパー
弧月斬(命中), 振り上げ;振り上げ;落下 Crash.wav
跳尾獅子(攻撃), キック Whiz.wav
跳尾獅子(命中), ダメージ Punch.wav;ダメージ Punch.wav;ダメージ Punch.wav;炎
バイオネットラージュ(準備), -
バイオネットラージュ(攻撃), 刺突
バイオネットラージュ(命中), 大刺突
忍法・もず落とし(攻撃), 打突
忍法・もず落とし(命中), バックドライバー Crash.wav;大爆発
燕返し(攻撃), 回転振り下ろし
燕返し(命中), 振り下ろし;爆発
三連殺(攻撃), なぎ払い
三連殺(命中), なぎ払い;振り上げ;大斬撃;「猪鹿蝶！！」
柳生心眼刀(準備), 発光 白 対象ユニットＩＤ
柳生心眼刀(攻撃), 振り上げ
柳生心眼刀(命中), 振り上げ

兇國日輪守我旺
鬼十字・四法印, 刺突
朧囃子(攻撃), 連突
朧囃子(命中), 連突
兜独楽(攻撃), 振り上げ;回転斬撃
兜独楽(命中), 振り上げ
忌神楽(攻撃), 格闘;刺突
忌神楽(命中), 大刺突
鉄砕(攻撃), 打突
鉄砕(命中), 強打 Bazooka.wav
奈落吼(準備), 発光 青
奈落吼(攻撃), 光噴出 黄 対象ユニットＩＤ Explode(Far).wav
奈落吼(命中), 落下 Crash.wav

闇キ皇
鬼十字・四法印, 刺突
突進(攻撃), 格闘
突進(命中), 刺突;投げ飛ばし Crash.wav
黄泉社(攻撃), 打突
黄泉社(命中), スーパーバックブリーカー;超爆発

色(侍魂)
蓮華舞(攻撃), キック
蓮華舞(命中), ダメージ Punch.wav;刺突;斬撃;振り上げ
陰魔輪・陽神輪, 連斬撃
天咆輪(攻撃), アッパー;回転振り上げ
天咆輪(命中), 振り上げ;なぎ払い;なぎ払い
黄泉落とし(攻撃), 格闘
黄泉落とし(命中), 投げ飛ばし
露祓(攻撃), 格闘 Stairs(Run).wav
露祓(命中), 刺突;@戦闘アニメ_回転振り上げ攻撃;振り上げ;振り上げ
首刀(攻撃), 打突
首刀(命中), なぎ払い
天魔波旬(準備), 発光 青
天魔波旬(攻撃), 格闘 Stairs(Run).wav
天魔波旬(命中), 斬撃乱舞;斬撃乱舞;@戦闘アニメ_アッパー攻撃;@戦闘アニメ_回転振り上げ攻撃;振り上げ;なぎ払い;なぎ払い

半陰となりし色
無明(攻撃), 打突
無明(命中), 飛沫
陰魔輪・陽神輪, 連斬撃
転法輪, 光球 BeamShot.wav
無憂華(攻撃), 斬撃
無憂華(命中), 大斬撃 二刀流
慈悲(攻撃), 魔法放射 桃 BaemSaber.wav
慈悲(命中), 大刺突 対象ユニットＩＤ;大刺突
無常(攻撃), スーパータックル 青
無常(命中), スーパータックル 青 Slash.wav
色咒(準備), 発光 青
色咒(攻撃), 格闘 Stairs(Run).wav
色咒(命中), 連斬撃;吸収

半陰となりし色(浮遊)
陰魔輪・陽神輪, 連斬撃
頗梨(攻撃), 光球 Whiz.wav
頗梨(命中), 爆発
摩尼(攻撃), 光球 Whiz.wav
摩尼(命中), 爆発
閼伽(攻撃), 粒子噴射 白 Whiz.wav
閼伽(命中), 連続爆発
色蘊(準備), 発光 青
色蘊(攻撃), 粒子噴射 白 Whiz.wav
色蘊(命中), 連続大爆発

柳生磐馬
柔道技(攻撃), 打突
柔道技(命中), 投げ飛ばし
破岩丸(準備), -
破岩丸(攻撃), 斬撃
破岩丸(命中), 強打 Crash.wav
鉄砕丸(攻撃), キャノン砲
鉄砕丸(命中), 大爆発
腕打遠心投(攻撃), なぎ払い Swing.wav;なぎ払い Swing.wav;なぎ払い Swing.wav
腕打遠心投(命中), 投げ飛ばし Crash.wav
鉄砕連轟丸(準備), 発光 青
鉄砕連轟丸(攻撃), キャノン砲;キャノン砲;キャノン砲;キャノン砲;キャノン砲;キャノン砲
鉄砕連轟丸(命中), 連続大爆発
天地大洛(準備), 発光 青
天地大洛(攻撃), 打突
天地大洛(命中), 投げ飛ばし Crash.wav;投げ飛ばし Crash.wav;投げ飛ばし Crash.wav;大爆発

カラクリ磐馬
カラクリ起動(準備), 5;Computer.wav
カラクリ起動(攻撃), 斬撃
カラクリ起動(命中), 強打 Crash.wav
弐番起動「蛇威炉」(準備), 5;Computer.wav
弐番起動「蛇威炉」(攻撃), なぎ払い Swing.wav;なぎ払い Swing.wav;なぎ払い Swing.wav
弐番起動「蛇威炉」(命中), 強打 Crash.wav;強打 Crash.wav;強打 Crash.wav
壱番起動「鉄砕丸」(準備), 5;Computer.wav
壱番起動「鉄砕丸」(攻撃), キャノン砲
壱番起動「鉄砕丸」(命中), 大爆発
四番起動「歯止刃」(準備), 5;Computer.wav
四番起動「歯止刃」(命中), 5;Sword.wav;投げ飛ばし Crash.wav
伍番起動「怒裏流」(準備), 5;Computer.wav
伍番起動「怒裏流」, ドリル
九番起動「常沌埒手」(準備), 5;Computer.wav
九番起動「常沌埒手」(攻撃), 格闘
九番起動「常沌埒手」(命中), 連打;強打 Crash.wav
拾七番起動「熱々罵穴」(準備), 5;Computer.wav
拾七番起動「熱々罵穴」(攻撃), 格闘
拾七番起動「熱々罵穴」(命中), 強打 Crash.wav;炎
四拾参番起動「魔神丸」(準備), 5;Computer.wav
四拾参番起動「魔神丸」(攻撃), キャノン砲;キャノン砲;キャノン砲;キャノン砲;キャノン砲;キャノン砲
四拾参番起動「魔神丸」(命中), 連続大爆発

巖陀羅(侍魂)
岩落し(攻撃), 振動
岩落し(命中), 爆発
力任せの攻撃(攻撃), 斬撃
力任せの攻撃(命中), 強打 Crash.wav
瓦礫投げ(準備), -
瓦礫投げ(攻撃), 振動;岩
瓦礫投げ(命中), 超打 Crash.wav

アスラ(侍魂)
レフィシュル, 斬撃
シェドムーサ(攻撃), 矢連射
シェドムーサ(命中), 連突
ナハイベル(攻撃), なぎ払い
ナハイベル(命中), なぎ払い
ロジェレフ(攻撃), 刺突;刺突;刺突
ロジェレフ(命中), 刺突;刺突;刺突
ブベズリーブ(準備), BeamSaber.wav
ブベズリーブ(攻撃), 斬撃
ブベズリーブ(命中), 唐竹割り Crash.wav;大爆発
サナタス(準備), 発光 青
サナタス(攻撃), 魔法放射 黒 相手ユニットＩＤ Hide.wav
サナタス(命中), 連突;超爆発

反面のアスラ
ヴィムクティ, 斬撃
レ＝ウグアル(攻撃), 光球 Whiz.wav
レ＝ウグアル(命中), 爆発
レ＝イルパグ, 中ビーム
レタグ＝ラグ(攻撃), なぎ払い
レタグ＝ラグ(命中), なぎ払い
レイ・マール, 落雷
レアシィマ(攻撃), 魔法放射 黒 相手ユニットＩＤ Whiz.wav
レアシィマ(命中), 大爆発
レイ＝ファ＝ラース(準備), 発光 青
レイ＝ファ＝ラース(攻撃), 格闘
レイ＝ファ＝ラース(命中), 斬撃乱舞

反面のアスラ(浮遊)
ヴィムクティ, 斬撃
レ＝ウグアル(攻撃), 光球 Whiz.wav
レ＝ウグアル(命中), 爆発
ミ＝ブレク(命中), なぎ払い
ミ＝ブレク(命中), なぎ払い
リーン＝エーク(準備), 発光 青
リーン＝エーク(攻撃), 格闘
リーン＝エーク(命中), 斬撃乱舞

八角泰山
神槍端頭具樹, 刺突
封字の法「炎」(攻撃), 振り上げ
封字の法「炎」(命中), 炎;決め文字 炎 赤 Shock(Low).wav
封字の法「斬」(攻撃), なぎ払い
封字の法「斬」(命中), なぎ払い;決め文字 斬 白 Shock(Low).wav
封字の法「風」(攻撃), 竜巻
封字の法「風」(命中), なぎ払い;決め文字 風 青 Shock(Low).wav
封字の法「雷」(攻撃), 斬撃
封字の法「雷」(命中), 放電;決め文字 雷 黄 Shock(Low).wav
封字の法禁じ手「怒髪衝天」(準備), 発光 青
封字の法禁じ手「怒髪衝天」(攻撃), 斬撃
封字の法禁じ手「怒髪衝天」(命中), 決め文字 怒 赤 Shock(Low).wav;決め文字 髪 赤 Shock(Low).wav;決め文字 衝 赤 Shock(Low).wav;決め文字 天 赤 Shock(Low).wav;「怒髪衝天！！」;超爆発

九葵蒼志狼
蒼煌, 斬撃
刀朧(攻撃), 格闘;なぎ払い
刀朧(命中), なぎ払い;振り上げ
空月円(攻撃), 振り上げ Saber.wav
空月円(命中), 振り上げ;落下 Crash.wav
月輪(準備), -
月輪(攻撃), 円月殺法 青 Saber.wav
月輪(命中), 振り下ろし;なぎ払い;振り上げ
鬼連殺(攻撃), 斬撃
鬼連殺(命中), 斬撃乱舞
真月円(準備), 発光 青
真月円(攻撃), 振り上げ Saber.wav
真月円(命中), 振り上げ;振り上げ;大斬撃
流水冽昇覇(準備), 発光 青
流水冽昇覇(攻撃), 格闘
流水冽昇覇(命中), 斬撃乱舞;@戦闘アニメ_円月殺法攻撃 青 Saber.wav;超斬撃

九皇蒼志狼
蒼煌・紅煌(命中), 連斬撃
刀朧(攻撃), 格闘;なぎ払い
刀朧(命中), なぎ払い;なぎ払い;振り上げ;振り上げ
空月円(攻撃), 振り上げ Saber.wav
空月円(命中), 振り上げ;振り上げ;落下 Crash.wav
転昇烈水(準備), -
転昇烈水(攻撃), 円月殺法 青 Saber.wav
転昇烈水(命中), 振り下ろし;なぎ払い;振り上げ
転昇冽水(準備), -
転昇冽水(攻撃), 円月殺法 青 Saber.wav
転昇冽水(命中), 振り下ろし;なぎ払い;振り上げ;振り下ろし
鬼連殺(攻撃), 斬撃
鬼連殺(命中), 斬撃乱舞
真月円(準備), 発光 青
真月円(攻撃), 振り上げ Saber.wav
真月円(命中), 振り上げ;振り上げ;大斬撃
双刃天昇(準備), 発光 青
双刃天昇(攻撃), 円月殺法 青 Saber.wav
双刃天昇(命中), 斬撃乱舞;斬撃乱舞
流水冽昇覇(準備), 発光 青
流水冽昇覇(攻撃), 格闘
流水冽昇覇(命中), 斬撃乱舞;@戦闘アニメ_円月殺法攻撃 青 Saber.wav;超斬撃
真皇天昇覇(準備), 発光 青
真皇天昇覇(攻撃), 円月殺法 青 Saber.wav
真皇天昇覇(命中), 斬撃乱舞;斬撃乱舞;斬撃乱舞

覇王丸(侍魂新章)
銘刀河豚毒, 日本刀
明鏡の型(攻撃), 振り上げ
明鏡の型(命中), 振り上げ;なぎ払い;振り下ろし
旋風裂斬(攻撃), 振り上げ;竜巻
旋風裂斬(命中), 竜巻;落下 Crash.wav
弧月斬(攻撃), 振り上げ;アッパー
弧月斬(命中), 振り上げ;振り上げ;落下 Crash.wav
虚空閃(攻撃), 刺突 Saber.wav
虚空閃(命中), 刺突
斬鉄閃(攻撃), 斬撃
斬鉄閃(命中), 大斬撃
剛覇天煌斬(準備), 発光 青
剛覇天煌斬(攻撃), 格闘
剛覇天煌斬(命中), 強打 Bazooka.wav;@戦闘アニメ_斬撃攻撃;超斬撃
天覇破神拳(準備), 発光 青
天覇破神拳(攻撃), 打突
天覇破神拳(命中), 振り上げ;投げ飛ばし;竜巻;超斬撃

花房迅衛門
雲雀落とし(攻撃), 刺突
雲雀落とし(命中), 刺突;投げ飛ばし
活殺十字槍, 刺突
錐嵐(攻撃), 連突
錐嵐(命中), 連突
閂徹し(攻撃), 刺突
閂徹し(命中), 大刺突
飛電昇り(攻撃), 振り上げ
飛電昇り(命中), 振り上げ;落下 Crash.wav
三矢間颪(攻撃), 刺突;刺突;刺突
三矢間颪(命中), 刺突;刺突;刺突
奥義・轟雷走破(準備), 発光 青
奥義・轟雷走破(攻撃), 刺突
奥義・轟雷走破(命中), 大刺突
奥義・飛電鎧徹し(準備), 発光 青
奥義・飛電鎧徹し(攻撃), 刺突
奥義・飛電鎧徹し(命中), 刺突;連突;大刺突 Crash.wav

服部半蔵(侍魂新章)
影縫い(攻撃), くない
影縫い(命中), 刺突
烈風手裏剣(攻撃), 回転発射 Weapon\EFFECT_Shuriken01.bmp
烈風手裏剣(命中), 刺突
忍者刀(準備), 忍者刀
忍者刀(攻撃), 斬撃
忍者刀(命中), 斬撃
雷(攻撃), 打突
雷(命中), 肩乗り
霞(攻撃), 打突
霞(命中), 投げ飛ばし Crash.wav
忍法・もず落とし(攻撃), 打突
忍法・もず落とし(命中), バックドライバー Crash.wav;大爆発
封じ手・微塵隠れ(準備), 発光 青
封じ手・微塵隠れ(攻撃), 超自爆
封じ手・微塵隠れ(命中), 落下 Crash.wav
忍法・真もず落とし(準備), 発光 青
忍法・真もず落とし(攻撃), 打突
忍法・真もず落とし(命中), 立ち固め;「滅殺天昇！！」;Jet.wav;バックドライバー Crash.wav;大爆発

榊銃士浪
九頭竜, 斬撃
一撃, ライフル -.bmp
十重, マシンガン -.bmp
絡撃(攻撃), 格闘
絡撃(命中), 刺突;マシンガン
針穴通(準備), 発光 青
針穴通, ライフル -.bmp
狂礫(準備), 発光 青
狂礫(攻撃), 格闘
狂礫(命中), 刺突;マシンガン;マシンガン;マシンガン;超爆発

沙耶(侍魂)
水面払い(攻撃), キック
水面払い(命中), ダメージ Whip.wav;アッパー;斬撃
止燕・飛燕, 連斬撃
刃華(攻撃), 斬撃
刃華(命中), 斬撃乱舞
鎌車・鬼火(準備), -
鎌車・鬼火(攻撃), 斬撃
鎌車・鬼火(命中), 斬撃
駆矢倉(攻撃), なぎ払い
駆矢倉(命中), なぎ払い
華纏(攻撃), 斬撃
華纏(命中), 振り下ろし;なぎ払い;振り上げ
鎌車・御魂裂(準備), 発光 青
鎌車・御魂裂(攻撃), 斬撃
鎌車・御魂裂(命中), 大斬撃
百花繚乱(準備), 発光 青
百花繚乱(攻撃), 斬撃
百花繚乱(命中), 振り下ろし;なぎ払い;振り上げ;「さよなら、かわいい人……」;なぎ払い

吉野凛花
闇路乕徹, 日本刀
梅雨舞(攻撃), アッパー;回転振り上げ
梅雨舞(命中), 振り上げ;なぎ払い;なぎ払い
死葵・咲(攻撃), なぎ払い
死葵・咲(命中), なぎ払い
夕雲蝶(攻撃), 円月殺法 桃 Saber.wav
夕雲蝶(命中), 斬撃;斬撃;振り上げ;唐竹割り
関雪(準備), 発光 青
関雪(攻撃), 斬撃
関雪(命中), 斬撃;斬撃;なぎ払い;なぎ払い
散桜(準備), 発光 青
散桜(攻撃), 格闘
散桜(命中), 2;「消えな！」;なぎ払い;なぎ払い;なぎ払い;なぎ払い;2;「散りな！」;なぎ払い;桜吹雪 Wind.wav;「御免……」

七坐灰人
八尾蛇, 斬撃
旋捷刃(攻撃), 振り上げ
旋捷刃(命中), 光噴出 Slash.wav
旋裂刃(攻撃), 連続なぎ払い
旋裂刃(命中), 連続なぎ払い
砕骸刃(攻撃), 斬撃
砕骸刃(命中), 大斬撃 Crash.wav
超力招来(準備), 発光 青
超力招来(攻撃), オーラ上昇 赤 対象ユニットＩＤ;斬撃
超力招来(命中), 斬撃;振り下ろし;振り上げ;大斬撃
天上天下唯我独尊(準備), 発光 青
天上天下唯我独尊(攻撃), 格闘
天上天下唯我独尊(命中), 強打 Crash.wav;連続なぎ払い;連続なぎ払い;強打  Crash.wav

十六薙夜血
絢爛たる幽鬼(攻撃), 煙噴射 黒
絢爛たる幽鬼(命中), 煙 黒;「ひっかかったな！」;斬撃 二刀流
不浄なる恍惚, ニードル
落黄泉, 斬撃
陵辱する魂(攻撃), なぎ払い
陵辱する魂(命中), なぎ払い
仮初の恍惚(攻撃), 打突
仮初の恍惚(命中), なぎ払い
堕落の刻印(準備), 発光 青
堕落の刻印(攻撃), 打突
堕落の刻印(命中), 大斬撃
咽び哭く狂鬼(準備), 発光 青
咽び哭く狂鬼(攻撃), 刺突
咽び哭く狂鬼(命中), 刺突;「すぐに楽にしてやるよぉっ！！」;大斬撃

つむじ風の臥龍
爪楊枝, ニードル
剛脚, キック
硬頭, ヘッドバット
愛刀轟膳, 斬撃
連ね山崩し(攻撃), 斬撃;斬撃;斬撃
連ね山崩し(命中), 連打 Punch.wav
怒涛(攻撃), タックル
怒涛(命中), 連打;振り上げ;投げ飛ばし Crash.wav
猪打ち・犀打ち・臓打ち(攻撃), 斬撃;振り上げ;ヘッドバット
