
有里湊(前期)
グラディウス, 剣
デスバウンド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
デスバウンド(攻撃), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃;実弾発射 Anime\Bullet\EFFECT_GroundCutter(Black)01.bmp Whiz.wav
ゴッドハンド(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ゴッドハンド(攻撃), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;煙 白 対象ユニットＩＤ;打突 AntiAirMissile.wav
チャージ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
チャージ(発動), 瞬間変形 DDS-P3_CastorU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;オーラ上昇 桃 inori.wav


メティス(ペルソナ３)
クロスロッド, ハンマー
オルギアモード(発動), オーラ上昇 黄
マリンカリン(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
マリンカリン(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
ガルーラ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ガルーラ(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ブフーラ(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ブフーラ(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
ポイズンアロー(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ポイズンアロー(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;ニードル連射 LaserGun.wav
烈風波(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
烈風波(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;なぎ払い;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp Whiz.wav
ブレイブザッパー(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ブレイブザッパー(攻撃), 瞬間変形 DDS-P3_PsycheU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;斬撃


榊貴隆也
S&W_M500, リボルバー
メギドラ(準備), @戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
メギドラ(攻撃), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法放射 青
ガルダイン(準備), @戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ガルダイン(攻撃), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
ブフダイン(準備), @戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ブフダイン(攻撃), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
ジオダイン(準備), @戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ジオダイン(攻撃), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
アギダイン(準備), @戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
アギダイン(攻撃), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
コンセントレイト(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
コンセントレイト(発動), 瞬間変形 DDS-P3_HypnosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;オーラ上昇 青 inori.wav


白戸陣
手榴弾, 手榴弾
マハンマ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハンマ(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法集中 白 Whiz.wav 相手ユニットＩＤ
マハムド(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハムド(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
利剣乱舞(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
利剣乱舞(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;斬撃
マハガルーラ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハガルーラ(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
マハブフーラ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハブフーラ(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
マハジオンガ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハジオンガ(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
マハラギオン(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハラギオン(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
ギガンフィスト(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ギガンフィスト(攻撃), 瞬間変形 DDS-P3_MorosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;打突


吉野千鳥
チェーンアクス(準備), -
チェーンアクス(攻撃), チェーン
チェーンアクス(命中), 斬撃
ポイズマ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ポイズマ(攻撃), 瞬間変形 DDS-P3_MediaU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;煙噴射 青
セクシーダンス(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
セクシーダンス(攻撃), 瞬間変形 DDS-P3_MediaU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
アギラオ(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
アギラオ(攻撃), 瞬間変形 DDS-P3_MediaU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
アギダイン(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
アギダイン(攻撃), 瞬間変形 DDS-P3_MediaU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
マハラギダイン(準備), ピストル;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハラギダイン(攻撃), 瞬間変形 DDS-P3_MediaU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ


ラヴァーズ(ペルソナ３)
翼, 光の翼 桃 二刀流


エリザベス(ペルソナ３)
マハラギダイン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハラギダイン(攻撃), 瞬間変形 DDS_SurtU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ
マハブフダイン(準備), トランプ;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハブフダイン(攻撃), 瞬間変形 DDS_Jacko'FrostU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
マハジオダイン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハジオダイン(攻撃), 瞬間変形 DDS_ThorU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;落雷 Thunderbolt.wav
マハガルダイン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハガルダイン(攻撃), 瞬間変形 DDS_CuChulainnU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
マハンマオン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハンマオン(攻撃), 瞬間変形 DDS_MetatronU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法陣 白
マハムドオン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
マハムドオン(攻撃), 瞬間変形 DDS_AliceU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法陣 黒
ポイズンミスト(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ポイズンミスト(攻撃), 瞬間変形 DDS_NebirosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;煙噴射 青
デビルスマイル(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
デビルスマイル(攻撃), 瞬間変形 DDS_NebirosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;@戦闘アニメ_粒子噴射命中 黒
テンタラフー(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
テンタラフー(攻撃), 瞬間変形 DDS_NebirosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;２連光弾 黄 BeamSaber.wav
セクシーダンス(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
セクシーダンス(攻撃), 瞬間変形 DDS_NebirosU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
メギドラオン(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
メギドラオン(攻撃), 瞬間変形 DDS_MasakadoU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ;魔法放射 青
ペルソナ【ピクシー】(準備), トランプ Swing.wav;@戦闘アニメ_飛沫命中 緑 対象ユニットＩＤ
ペルソナ【ピクシー】(使用), 瞬間変形 DDS_PixieU.bmp;光噴出 赤 Whiz.wav 対象ユニットＩＤ


未練(ペルソナ３)
アスカロン, 剣
アカシャアーツ(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
アカシャアーツ(攻撃), 瞬間変形 DDS-P3_AthenaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;なぎ払い;魔法放射 赤 大 Whiz.wav
万物流転(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
万物流転(攻撃), 瞬間変形 DDS-P3_IsisU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法放射 緑 Wind.wav
空間殺法(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
空間殺法(攻撃), 瞬間変形 DDS-P3_TrismegistosU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;白兵連撃
ニブルヘイム(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ニブルヘイム(攻撃), 瞬間変形 DDS-P3_ArtemisiaU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;吹雪 Wind.wav
真理の雷(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
真理の雷(攻撃), 瞬間変形 DDS-P3_CaesarU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法集中 黄 相手ユニットＩＤ
ハマオン(準備), ピストル;@戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ハマオン(攻撃), 瞬間変形 DDS-P3_KalanemiU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;魔法陣 白
ラグナロク(準備), @戦闘アニメ_飛沫命中 白 対象ユニットＩＤ
ラグナロク(攻撃), 瞬間変形 DDS-P3_CerberusU.bmp;光噴出 青 Whiz.wav 対象ユニットＩＤ;粒子集中 赤 相手ユニットＩＤ


ペルソナ３
ナイフ, ナイフ
衝撃波(攻撃), 魔法放射 白
衝撃波(命中), ダメージ Explode.wav
杖, モール
大剣, 大剣
十字架(準備), 十字架
十字架(攻撃), 連打
十字架(命中), 連打
滅亡の予言(攻撃), ＭＡＰ煙 紫 Whiz.wav
滅亡の予言(命中), 煙 紫
ハートブレイカー(攻撃), 決め画像 Common\EFFECT_Heart01.bmp
ハートブレイカー(命中), 飛沫 桃
砲撃(攻撃), キャノン砲
砲撃(命中), 大爆発
ケーブル, 触手 赤
ギガスパーク(準備), 粒子集中 青;3;-.wav;放電 Charge(high).wav
ギガスパーク(攻撃), ＭＡＰ落雷;ＭＡＰフラッシュ Thunderbolt.wav
ギガスパーク(命中), 放電
運命の輪(攻撃), 時間
運命の輪(命中), 煙 白
花(準備), バラ
花(攻撃), 白兵武器
花(命中), 刺突 Explode.wav
氷結の石像(攻撃), 吹雪 Wind.wav
氷結の石像(命中), 氷柱 Ice.wav
電撃の石像(攻撃), 落雷 Thunderbolt.wav
電撃の石像(命中), 電撃
火炎の石像(攻撃), 粒子集中 赤 相手ユニットＩＤ
火炎の石像(命中), 炎
無情の奉仕(攻撃), ＭＡＰ大爆発
無情の奉仕(命中), ダメージ Explode.wav
滅びの剣(準備), 大剣
滅びの剣(攻撃), 振り下ろし;実弾発射 Bullet\EFFECT_GroundCutter(Red)01.bmp Whiz.wav
滅びの剣(命中), 光噴出 赤 Storm.wav
夜の女王(攻撃), ＭＡＰ発光 赤 Bazooka.wav;ＭＡＰ爆発
夜の女王(命中), 飛沫 赤 Explode(Far).wav
ＤＥＡＴＨ(攻撃), @戦闘アニメ_打ち下ろし攻撃 Common\EFFECT_LargeElectric(Red)01.bmp Whiz.wav
ＤＥＡＴＨ(命中), @戦闘アニメ_ＭＡＰダークネス攻撃 Explode(Nuclear).wav 相手ユニットＩＤ
ペルソナ全書(準備), 振る武器 DGoods\EFFECT_Book01.bmp
ペルソナ全書(攻撃), 白兵武器
ペルソナ全書(命中), 大斬撃
ペルソナ全書(命中), 大刺突
ペルソナ全書(命中), 超打
万能衝撃波(攻撃), 振り下ろし;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp Whiz.wav
万能衝撃波(命中), 炎 青 Storm.wav
原初の暗黒(攻撃), ＭＡＰオーラ 黒 Explode(Nuclear).wav
原初の暗黒(命中), 飛沫 黒
闇の抱擁(使用), 光圧縮 黒 Whiz.wav
爪, 爪撃
体当たり, タックル
触手, 触手 黒
刺突, 刺突
翼(攻撃), 格闘
翼(命中), 斬撃
刃, 白兵武器
角(攻撃), 格闘
角(命中), 刺突 Explode.wav
ランス, ランス
弓矢, 弓矢
サーベル, レイピア
突進, タックル
ブレード, 白兵武器
くちばし(攻撃), 格闘
くちばし(命中), 刺突 Explode.wav
斬撃, 白兵武器
刀, 野太刀
# 火炎 ###################################################################
アギ(攻撃), 粒子集中 赤 相手ユニットＩＤ
アギ(命中), 飛沫 赤 Fire.wav
アギラオ(攻撃), 粒子集中 赤 相手ユニットＩＤ
アギラオ(命中), 炎
アギダイン(攻撃), 粒子集中 赤 相手ユニットＩＤ
アギダイン(命中), 超爆発
マハラギ(攻撃), 粒子集中 赤 相手ユニットＩＤ
マハラギ(命中), 飛沫 赤 Fire.wav
マハラギオン(攻撃), 粒子集中 赤 相手ユニットＩＤ
マハラギオン(命中), 炎
マハラギダイン(攻撃), 粒子集中 赤 相手ユニットＩＤ
マハラギダイン(命中), 超爆発
ラグナロク(攻撃), 粒子集中 赤 相手ユニットＩＤ
ラグナロク(命中), 火柱 Explode(Nuclear).wav
# 疾風 ###################################################################
ガル(攻撃), 魔法放射 緑 Wind.wav
ガル(命中), 強風
ガルーラ(攻撃), 魔法放射 緑 Wind.wav
ガルーラ(命中), 竜巻 緑
ガルダイン(攻撃), 魔法放射 緑 Wind.wav
ガルダイン(命中), 旋風 緑
マハガル(攻撃), 魔法放射 緑 Wind.wav
マハガル(命中), 強風
マハガルーラ(攻撃), 魔法放射 緑 Wind.wav
マハガルーラ(命中), 竜巻 緑
マハガルダイン(攻撃), 魔法放射 緑 Wind.wav
マハガルダイン(命中), 旋風 緑
万物流転(攻撃), 魔法放射 緑 Wind.wav
万物流転(命中), 旋風 緑;2;-.wav;飛沫 緑 Swing(2).wav
# 氷結 ###################################################################
ブフ(攻撃), 吹雪 Wind.wav
ブフ(命中), 凍結 Freeze.wav
ブフーラ(攻撃), 吹雪 Wind.wav
ブフーラ(命中), 氷柱 Ice.wav
ブフダイン(攻撃), 吹雪 Wind.wav
ブフダイン(命中), 氷柱 Transform.wav;飛沫 白
マハブフ(攻撃), 吹雪 Wind.wav
マハブフ(命中), 凍結 Freeze.wav
マハブフーラ(攻撃), 吹雪 Wind.wav
マハブフーラ(命中), 氷柱 Ice.wav
マハブフダイン(攻撃), 吹雪 Wind.wav
マハブフダイン(命中), 氷柱 Transform.wav;飛沫 白
ニブルヘイム(攻撃), 吹雪 Wind.wav
ニブルヘイム(命中), 光噴出 白 Whiz.wav;氷柱 Transform.wav
# 電撃 ###################################################################
ジオ(攻撃), 落雷 Thunderbolt.wav
ジオ(命中), 放電
ジオンガ(攻撃), 落雷 Thunderbolt.wav
ジオンガ(命中), 電撃
ジオダイン(攻撃), 落雷 Thunderbolt.wav
ジオダイン(命中), 大電撃
マハジオ(攻撃), 落雷 Thunderbolt.wav
マハジオ(命中), 放電
マハジオンガ(攻撃), 落雷 Thunderbolt.wav
マハジオンガ(命中), 電撃
マハジオダイン(攻撃), 落雷 Thunderbolt.wav
マハジオダイン(命中), 大電撃
真理の雷(攻撃), 魔法集中 黄 相手ユニットＩＤ
真理の雷(命中), 大放電;飛沫 黄 Thunderbolt.wav
# 神聖 ###################################################################
ハマ(攻撃), 魔法集中 白 Whiz.wav 相手ユニットＩＤ
ハマ(命中), 飛沫 白
マハンマ(攻撃), 魔法集中 白 Whiz.wav 相手ユニットＩＤ
マハンマ(命中), 飛沫 白
ハマオン(攻撃), 魔法陣 白
ハマオン(命中), 光噴出 白 Whiz.wav;飛沫 白
マハンマオン(攻撃), 魔法陣 白
マハンマオン(命中), 光噴出 白 Whiz.wav飛沫 白
# 暗黒 ###################################################################
ムド(攻撃), 粒子集中 黒 Storm.wav 相手ユニットＩＤ
ムド(命中), 炎 青 AntiAirMissile.wav
マハムド(攻撃), 粒子集中 黒 Storm.wav 相手ユニットＩＤ
マハムド(命中), 炎 青 AntiAirMissile.wav
ムドオン(攻撃), 魔法陣 黒
ムドオン(命中), 炎 青 AntiAirMissile.wav;飛沫 黒
マハムドオン(攻撃), 魔法陣 黒
マハムドオン(命中), 炎 青 AntiAirMissile.wav;飛沫 黒
# 万能 ###################################################################
吸血, 吸収
吸魔, 吸収
メギド(攻撃), 魔法放射 青
メギド(命中), 魔法集中 青;飛沫 青 Explode.wav
メギドラ(攻撃), 魔法放射 青
メギドラ(命中), 魔法集中 青;飛沫 青 Explode.wav
メギドラオン(攻撃), 魔法放射 青
メギドラオン(命中), 魔法集中 青;飛沫 青 Explode.wav;飛沫 青 Explode(Nuclear).wav
自爆(攻撃), ＭＡＰ大爆発
自爆(命中), ダメージ Explode.wav
# 斬撃 ###################################################################
スラッシュ(攻撃), 斬撃
スラッシュ(命中), 斬撃 Slash(3).wav
残影(攻撃), 斬撃
残影(命中), 魔法集中 黄;1;-.wav;飛沫 黄
月影(攻撃), 斬撃
月影(命中), 魔法集中 黄;1;-.wav;飛沫 黄
剛殺斬(攻撃), 斬撃
剛殺斬(命中), ダメージ 赤 Slash.wav
利剣乱舞(攻撃), 斬撃
利剣乱舞(命中), 斬撃乱舞
デッドエンド(攻撃), 振り下ろし
デッドエンド(命中), 超打 Shock(Low).wav
五月雨斬り(攻撃), 斬撃
五月雨斬り(命中), 斬撃乱舞 Saber.wav
デスバウンド(攻撃), 斬撃;実弾発射 Bullet\EFFECT_GroundCutter(Black)01.bmp Whiz.wav
デスバウンド(命中), 飛沫 黒 Inori.wav
ブレイブザッパー(攻撃), 斬撃
ブレイブザッパー(命中), ダメージ 赤 Slash.wav;大斬撃 Crash.wav
空間殺法(攻撃), 白兵連撃
空間殺法(命中), 連続なぎ払い Saber.wav;連続なぎ払い Saber.wav
天軍の剣(準備), -
天軍の剣(攻撃), 光打ち下ろし 白 Flair.wav
天軍の剣(命中), 唐竹割り Slash(4).wav
# 打撃 ###################################################################
突撃(攻撃), タックル
突撃(命中), 打撃 Explode.wav
電光石火(攻撃), タックル
電光石火(命中), 連打 FightHit(2).wav
ソニックパンチ(攻撃), 打突
ソニックパンチ(命中), 打撃 Explode.wav
アサルトダイブ(攻撃), タックル Whiz.wav
アサルトダイブ(命中), 強打 Explode.wav
キルラッシュ(攻撃), 格闘
キルラッシュ(命中), 連打 FightHit(2).wav
ヒートウェイブ(攻撃), なぎ払い
ヒートウェイブ(命中), 大爆発
烈風波(攻撃), なぎ払い;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp Whiz.wav
烈風波(命中), 飛沫 青 Inori.wav
ギガンフィスト(攻撃), 打突
ギガンフィスト(命中), 強打 Explode.wav
ゴッドハンド(攻撃), 煙 白 対象ユニットＩＤ;打突 AntiAirMissile.wav
ゴッドハンド(命中), 超打 Explode(Far).wav
アカシャアーツ(攻撃), なぎ払い;魔法放射 赤 大 Whiz.wav
アカシャアーツ(命中), 超爆発
# 貫通 ###################################################################
二連牙(攻撃), 刺突
二連牙(命中), 刺突;刺突
エンジェルアロー(攻撃), 光弓矢 桃 Glass(2).wav
エンジェルアロー(命中), 光弓矢 桃
ダブルシュート(攻撃), 刺突
ダブルシュート(命中), 打撃 Explode.wav;打撃 Explode.wav
バスタアタック(攻撃), 斬撃
バスタアタック(命中), 刺突 Slash(3).wav
ミリオンシュート(攻撃), 連突
ミリオンシュート(命中), 連打 Explode.wav
ポイズンアロー(攻撃), ニードル連射 LaserGun.wav
ポイズンアロー(命中), 飛沫 紫 Stab.wav
マッドアサルト(攻撃), 斬撃
マッドアサルト(命中), 大刺突
アローシャワー(攻撃), 矢連射
アローシャワー(命中), 乱突
刹那五月雨撃(攻撃), 乱突 Whiz.wav
刹那五月雨撃(命中), 乱突 Slash.wav
イノセントタック(攻撃), 魔法集中 白 Charge.wav
イノセントタック(命中), 大刺突
プララヤ(攻撃), 魔法放射 青
プララヤ(命中), 大電撃 青 Thunderbolt.wav
# 異常 ###################################################################
タルンダ(攻撃), 粒子集中 橙
タルンダ(命中), -
ラクンダ(攻撃), 粒子集中 青
ラクンダ(命中), -
スクンダ(攻撃), 粒子集中 緑
スクンダ(命中), -
マハタルンダ(攻撃), 粒子集中 橙
マハタルンダ(命中), -
マハラクンダ(攻撃), 粒子集中 青
マハラクンダ(命中), -
マハスクンダ(攻撃), 粒子集中 緑
マハスクンダ(命中), -
火炎ガードキル(攻撃), 粒子集中 赤
火炎ガードキル(命中), -
火炎ガードキル(クリティカル), 弱点属性付加
疾風ガードキル(攻撃), 粒子集中 緑
疾風ガードキル(命中), -
疾風ガードキル(クリティカル), 弱点属性付加
氷結ガードキル(攻撃), 粒子集中 青
氷結ガードキル(命中), -
氷結ガードキル(クリティカル), 弱点属性付加
電撃ガードキル(攻撃), 粒子集中 黄
電撃ガードキル(命中), -
電撃ガードキル(クリティカル), 弱点属性付加
ポイズマ(攻撃), 魔法集中 青 BeamSaber.wav 相手ユニットＩＤ
ポイズマ(命中), 煙 青
ポイズンミスト(攻撃), 煙噴射 青
ポイズンミスト(命中), 煙 青
プリンパ(攻撃), ２連光弾 黄 BeamSaber.wav
プリンパ(命中), ダメージ FightHit(2).wav
プリンパ(クリティカル), 属性使用禁止
テンタラフー(攻撃), ２連光弾 黄 BeamSaber.wav
テンタラフー(命中), ダメージ FightHit(2).wav
テンタラフー(クリティカル), 属性使用禁止
デビルタッチ(攻撃), @戦闘アニメ_粒子噴射命中 黒
デビルタッチ(命中), -
デビルスマイル(攻撃), @戦闘アニメ_粒子噴射命中 黒
デビルスマイル(命中), -
マリンカリン(攻撃), 周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
マリンカリン(命中), -
セクシーダンス(攻撃), 周囲回転 Event\スペシャルパワー\captivation02.bmp Sharara.wav
セクシーダンス(命中), -
バリゾーゴン(攻撃), 魔法集中 赤 BeamSaber.wav 相手ユニットＩＤ
バリゾーゴン(命中), 煙 赤
終末の予言(攻撃), 魔法集中 赤 BeamSaber.wav 相手ユニットＩＤ
終末の予言(命中), 煙 赤
# 回復 ###################################################################
ディアラマ, 回復魔法
ディアラハン, 回復魔法
メディア, 回復魔法
メディラマ, 回復魔法
メパトラ, 回復魔法泡
# 補助 ###################################################################
タルカジャ(発動), オーラ上昇 橙 Inori.wav
ラクカジャ(発動), オーラ上昇 青 Inori.wav
スクカジャ(発動), オーラ上昇 緑 Inori.wav
マハタルカジャ(発動), オーラ上昇 橙 Inori.wav
マハラクカジャ(発動), オーラ上昇 青 Inori.wav
マハスクカジャ(発動), オーラ上昇 緑 Inori.wav
チャージ(発動), オーラ上昇 桃 inori.wav
コンセントレイト(発動), オーラ上昇 青 inori.wav
