#狂科学ハンターＲＥＩ・ｆｏｒ・ＳＲＣデータ
#アニメーションデータ
#----------------------------------------------------------------------------

汎用
ナイフ, ナイフ
ヒエロニムスの閃光(攻撃), 大ビーム ピンク BeamCoat.wav
ヒエロニムスの閃光(命中), 大ビーム ピンク  Explode.wav
螺旋を為す暴風, 旋風 黒 Storm.wav
攻撃無効化(Ｌフィールド), 粒子集中 白 Hittyuu.wav
神の雷, ＭＡＰ落雷
神の拳, スーパーパンチ
割れる大地(攻撃), 地表衝撃波 グリーン 残像 遅 GunPod.wav
割れる大地(命中), 石柱 Shock(Low).wav
寄せ来る波濤, 津波
太陽の槍, 中ビーム レッド
降魔の雷, 落雷
天変地異(準備), オーラ上昇 黒 Charge(2).wav
天変地異(攻撃), 大落雷 Shock(Low).wav
天変地異(命中), 光柱 Explode(Long).wav


ＳＰＥＣＴＲＡＭ
分子振動拳(攻撃), スーパーパンチ ブルー BeamSaber.wav
分子振動拳(命中), 乱打 MultipleRocketLauncher(Light).wav
広域分子振動波(準備), 粒子集中 青 BeamSaber.wav
広域分子振動波(攻撃), ＭＡＰ波動放射 ブルー MultipleRocketLauncher(Light).wav
広域分子振動波(命中), 乱打 MultipleRocketLauncher(Light).wav
分子振動波(準備),  粒子集中 青 BeamSaber.wav
分子振動波(攻撃), 波動放射 ブルー MultipleRocketLauncher.wav
分子振動波(命中), 乱打 MultipleRocketLauncher.wav
阻止(分子振動波), 粒子集中 青 BeamSaber.wav;@戦闘アニメ_波動放射攻撃 ブルー MultipleRocketLauncher.wav
ダウンバースト(攻撃), ＭＡＰ強風
ダウンバースト(命中), 強打 Crash.wav
軍隊格闘技, 格闘
エアエッジ, 強風
トルネード, 竜巻
攻撃無効化(ウィンド), 竜巻
ライトニングナックル(攻撃), 打突
ライトニングナックル(命中), 球電 BreakOff.wav
ライトニング, 電撃
ライトニングダイブ(攻撃), 気斬 イエロー FlyBy.wav
ライトニングダイブ(命中), 落雷 Thunder.wav
プラズマナックル(攻撃), 同時打突
プラズマナックル(命中), 球電
ライトニングプラズマ(攻撃), ＭＡＰ移動タックル 黄 Thunder.wav
ライトニングプラズマ(命中), 落雷
サンダーボルト, 大電撃
ミリオンダイブ(攻撃), 同時スーパータックル イエロー Jet.wav
ミリオンダイブ(命中), 同時スーパータックル イエロー ;大落雷
攻撃無効化(プラズマシールド), 光バリア BeamCoat.wav プラズマシールド
ＰＳＹグラップル(攻撃), 乱打
ＰＳＹグラップル(命中), 強打 Crash.wav

シリウス＝ペア
回避, 画像指定分離回避 　 分離画像=AnneSiriusU.bmp=AnneSiriusU.bmp
