
前原圭一・転校生のバット
転校生のバット(準備),            振る武器 DGoods\EFFECT_MetalButt01.bmp 32
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      タックル
格闘(攻撃),                      バックキック
格闘(命中),                      ダメージ
ガス缶投擲(準備),                煙幕手榴弾
ガス缶投擲(攻撃),                煙幕手榴弾
ガス缶投擲(命中),                煙 紫
ガス缶ランチャー(準備),          -
ガス缶ランチャー(攻撃),          投擲武器 DGoods\EFFECT_SharpPencil01.bmp 40
ガス缶ランチャー(命中),          大爆発 紫
毒ガス散布装置(準備),            -
毒ガス散布装置(攻撃),            回転投擲武器 DGoods\EFFECT_MetalDrum01.bmp 32;ＭＡＰ煙 紫
毒ガス散布装置(命中),            煙 紫

鷹野三四・支援用発信機
格闘(準備),                      -
格闘(攻撃),                      キック
格闘(攻撃),                      スピンキック
格闘(攻撃),                      アッパー
格闘(攻撃),                      タックル
格闘(攻撃),                      バックキック
格闘(命中),                      ダメージ
航空支援「甲」(準備),            -
航空支援「甲」(攻撃),            投擲武器 DGoods\EFFECT_CopperCoin01.bmp 32
航空支援「甲」(命中),            超打
航空支援「乙」(準備),            -
航空支援「乙」(攻撃),            投擲武器 DGoods\EFFECT_CopperCoin01.bmp 32
航空支援「乙」(命中),            爆撃
衛星支援「暁」(準備),            -
衛星支援「暁」(攻撃),            投擲武器 DGoods\EFFECT_CopperCoin01.bmp 32
衛星支援「暁」(命中),            光柱



入江京介・入江特製医療セット
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(命中),                      ダメージ
メディカルショット(準備),        -
メディカルショット(攻撃),        投擲武器 DGoods\EFFECT_SharpPencil01.bmp 32
メディカルショット(命中),        刺突
大容量メディカル砲(準備),        振る武器 DGoods\EFFECT_SharpPencil01.bmp 40
大容量メディカル砲(攻撃),        実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40
大容量メディカル砲(命中),        爆発
ツインメディカルバスター(準備),  振る武器 DGoods\EFFECT_SharpPencil01.bmp 40 二刀流
ツインメディカルバスター(攻撃),  実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40;実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40;乱突
ツインメディカルバスター(命中),  爆発;乱突
メディカルショット(回),          回復魔法
大容量メディカル砲(回),          魔法放射 白
ツインメディカルバスター(回),    回復魔法泡 白
すべすべフィールド・回復,        フラッシュ 白
すべすべフィールド・回復,        「う～ん、すべすべですねぇ」;フラッシュ 白
すべすべフィールド・回復,        「はあ～ん、すべすべなお肌ですねぇ、すべすべ！ すべすべ～！」;フラッシュ 白

入江京介・入江特製入院セット
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(命中),                      ダメージ
メスブーメラン,                  小柄
拡散ノンメディカル砲(準備),      振る武器 DGoods\EFFECT_SharpPencil01.bmp 40
拡散ノンメディカル砲(攻撃),      実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40
拡散ノンメディカル砲(命中),      連続爆発;連続爆発
鎮静剤シュート(準備),            振る武器 DGoods\EFFECT_SharpPencil01.bmp 40 二刀流
鎮静剤シュート(攻撃),            実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40;実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40;実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40;実弾発射 DGoods\EFFECT_SharpPencil01.bmp 40
鎮静剤シュート(命中),            連続大爆発
すべすべフィールド・減少,        ＭＡＰフラッシュ 紫
すべすべフィールド・減少,        「う～ん、すべすべですねぇ」;ＭＡＰフラッシュ 紫
すべすべフィールド・減少,        「はあ～ん、すべすべなお肌ですねぇ、すべすべ！ すべすべ～！」;ＭＡＰフラッシュ 紫

入江京介・入江特製応援セット
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル
格闘(命中),                      ダメージ
体力増強剤,                      発光 橙
筋力増強剤,                      光噴出 橙
複合剤スナイパー,                発光 橙;光噴出 橙
すべすべフィールド・応援,        ＭＡＰフラッシュ 橙
すべすべフィールド・応援,        「う～ん、すべすべですねぇ」;ＭＡＰフラッシュ 橙
すべすべフィールド・応援,        「はあ～ん、すべすべなお肌ですねぇ、すべすべ！ すべすべ～！」;ＭＡＰフラッシュ 橙



知恵留美子・授業用Ｔ字定規
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル;刺突
格闘(攻撃),                      アッパー
格闘(命中),                      ダメージ
鉄鋼定規(準備),                  投剣
鉄鋼定規(攻撃),                  投剣
鉄鋼定規(攻撃),                  投剣;連投剣
鉄鋼定規(攻撃),                  投剣;連投剣;連投剣
鉄鋼定規(命中),                  乱突
ブーメラン定規(準備),            投剣
ブーメラン定規(攻撃),            回転投擲武器 Weapon\EFFECT_ThrowingSword01.bmp 32
ブーメラン定規(命中),            回転斬撃
火葬定規(準備),                  振る武器 BeamWeapon\EFFECT_BeamSword(Red)06.bmp 48 二刀流
火葬定規(攻撃),                  ビームショットキャノン 赤
火葬定規(命中),                  ビームショットキャノン 赤
火葬定規(クリティカル),          炎

知恵留美子・授業用コンパス
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル;刺突
格闘(攻撃),                      アッパー
格闘(命中),                      ダメージ
コンパスランサー(準備),          振る武器 DGoods\EFFECT_Kompas01.bmp 32
コンパスランサー(攻撃),          投擲武器 DGoods\EFFECT_Kompas01.bmp 32
コンパスランサー(攻撃),          斬撃
プロトラクトエッジ(準備),        振る武器 DGoods\EFFECT_Kompas01.bmp 32
プロトラクトエッジ(攻撃),        回転投擲武器 DGoods\EFFECT_Kompas01.bmp 32
プロトラクトエッジ(命中),        回転斬撃
教育指導スパイラル(準備),        振る武器 DGoods\EFFECT_Kompas01.bmp 32
教育指導スパイラル(攻撃),        回転投擲武器 DGoods\EFFECT_Kompas01.bmp 32;旋風
教育指導スパイラル(命中),        連斬撃;連斬撃

知恵留美子・授業用チョーク
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      スピンキック
格闘(攻撃),                      タックル;刺突
格闘(攻撃),                      アッパー
格闘(命中),                      ダメージ
ホワイトスピア,                  投擲武器 DGoods\EFFECT_Chalk01.bmp 32
煙幕黒板消し(準備),              -
煙幕黒板消し(攻撃),              投擲武器 Bullet\EFFECT_Grenade01.bmp 32
煙幕黒板消し(命中),              超打;煙
ホワイトファランクス(準備),      振る武器 DGoods\EFFECT_Chalk01.bmp 32 二刀流
ホワイトファランクス(攻撃),      サマーソルト;マシンキャノン 白
ホワイトファランクス(命中),      乱打



園崎茜・無銘
無銘(準備),                      振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
無銘(攻撃),                      白兵武器
無銘(攻撃),                      振り上げ
無銘(攻撃),                      タックル;白兵武器
無銘(攻撃),                      刺突
無銘(命中),                      斬撃
剣閃(準備),                      振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
剣閃(攻撃),                      なぎ払い;シュートカッター 水色
剣閃(攻撃),                      振り上げ;シュートカッター 水色
剣閃(命中),                      シュートカッター 水色
抜刀二重斬り(準備),              振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
抜刀二重斬り(攻撃),              回転投擲武器 Bullet\EFFECT_ShootingCutter(LightBlue)01.bmp 32;回転投擲武器 Bullet\EFFECT_ShootingCutter(LightBlue)01.bmp 32
抜刀二重斬り(命中),              連斬撃
鬼狩り八咫桜散らし斬り(準備),    振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
鬼狩り八咫桜散らし斬り(攻撃),    白兵回転;旋風
鬼狩り八咫桜散らし斬り(攻撃),    「抜刀！ 鬼狩り八咫桜 散らし切り！」;白兵回転;旋風
鬼狩り八咫桜散らし斬り(命中),    斬撃乱舞

園崎茜・玉弾き
反射(玉弾き),                    切り払い
玉弾き(準備),                    振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
玉弾き(攻撃),                    白兵武器
玉弾き(攻撃),                    振り上げ
玉弾き(攻撃),                    タックル;白兵武器
玉弾き(攻撃),                    刺突
玉弾き(命中),                    斬撃
不動の型(準備),                  振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
不動の型(攻撃),                  振り上げ;気斬 水色
不動の型(命中),                  斬撃
瞬動の型(準備),                  振る武器 Weapon\EFFECT_JapaneseBlade(S)02.bmp 40
瞬動の型(攻撃),                  振る武器突撃 Weapon\EFFECT_JapaneseBlade(S)02.bmp 40 発光
瞬動の型(命中),                  振る武器突撃 Weapon\EFFECT_JapaneseBlade02.bmp 32 発光 斬撃
秘剣・綿流れ(準備),              振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
秘剣・綿流れ(攻撃),              振る武器突撃 Weapon\EFFECT_JapaneseBlade02.bmp 32;回転斬撃
秘剣・綿流れ(命中),              回転斬撃

園崎茜・居合い刀
居合い刀(準備),                  振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
居合い刀(攻撃),                  白兵武器
居合い刀(攻撃),                  振り上げ
居合い刀(攻撃),                  タックル;白兵武器
居合い刀(攻撃),                  刺突
居合い刀(命中),                  斬撃
ツバメ返し(準備),                振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
ツバメ返し(攻撃),                飛びかかり;回転投擲武器 Bullet\EFFECT_ShootingCutter(LightBlue)01.bmp 32
ツバメ返し(攻撃),                「ツバメ返し！」;飛びかかり;回転投擲武器 Bullet\EFFECT_ShootingCutter(LightBlue)01.bmp 32
ツバメ返し(命中),                斬撃
踏み込み一閃(準備),              振る武器 Weapon\EFFECT_JapaneseBlade(S)02.bmp 40
踏み込み一閃(攻撃),              振る武器突撃 Weapon\EFFECT_JapaneseBlade(S)02.bmp 40
踏み込み一閃(命中),              超斬撃
ほんまスラッシャー(準備),        振る武器 Weapon\EFFECT_JapaneseBlade02.bmp 32
ほんまスラッシャー(攻撃),        ジャンプ;振り上げ;地表衝撃波 水色
ほんまスラッシャー(攻撃),        「ほんまスラッシャー！」;ジャンプ;振り上げ;地表衝撃波 水色
ほんまスラッシャー(命中),        大斬撃



葛西辰由・ショットガン
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      スピンキック
格闘(攻撃),                      中心回転武器 Weapon\EFFECT_ShotGun01.bmp 32
格闘(命中),                      ダメージ
バースト,                        ショットガン
ピンポイントショット,            対物ライフル Weapon\EFFECT_ShotGun01.bmp 32
ＬＲピンポイントショット,        グレネードランチャー Weapon\EFFECT_ShotGun01.bmp 32

葛西辰由・マシンガン
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      スピンキック
格闘(攻撃),                      中心回転武器 Weapon\EFFECT_Rifle03.bmp 32
格闘(命中),                      ダメージ
チェインショット,                マシンガン Weapon\EFFECT_Rifle03.bmp 32
ボルケーノ(準備),                バズーカ
ボルケーノ(攻撃),                小型ミサイルランチャー Weapon\EFFECT_Bazooka01.bmp 32
ボルケーノ(命中),                大爆発
インフェルノゲート(準備),        射撃武器 Weapon\EFFECT_Bazooka02.bmp 48
インフェルノゲート(攻撃),        「ハッハァー！ ホント雛見沢は地獄だぜー！」;バスタービームライフル 白 Weapon\EFFECT_Bazooka02.bmp 48;ＭＡＰ超爆発
インフェルノゲート(命中),        超爆発

葛西辰由・スナイパーライフル
格闘(準備),                      -
格闘(攻撃),                      打突
格闘(攻撃),                      刺突
格闘(攻撃),                      キック
格闘(攻撃),                      タックル
格闘(攻撃),                      スピンキック
格闘(攻撃),                      中心回転武器 Weapon\EFFECT_BoltActionRifle01.bmp 32
格闘(命中),                      ダメージ
ダイレクトシュート,              ボルトアクションライフル
スナイピングスタンス(準備),      Reload(5).wav;5;ボルトアクションライフル
スナイピングスタンス(攻撃),      ボルトアクションライフル
スナイピングスタンス(攻撃),      銃弾
ライサンダーアイ(準備),          ボルトアクションライフル
ライサンダーアイ(攻撃),          ロックオン;ボルトアクションライフル
ライサンダーアイ(攻撃),          「報酬は、スイス銀行の口座にいれてもらいましょうか」;ロックオン;ボルトアクションライフル
ライサンダーアイ(命中),          銃弾



公由夏美・おかーさんの包丁
包丁(準備),                      出刃包丁
包丁(攻撃),                      刺突
包丁(攻撃),                      振り上げ
包丁(攻撃),                      白兵武器
包丁(攻撃),                      なぎ払い
包丁(攻撃),                      回転斬撃
包丁(命中),                      斬撃
包丁投げ(準備),                  出刃包丁
包丁投げ(攻撃),                  投擲武器 Weapon\EFFECT_DebaBohchou(T)01.bmp 32
包丁投げ(命中),                  刺突
花瓶(準備),                      -
花瓶(攻撃),                      タックル;白兵武器
花瓶(命中),                      ダメージ Glass.wav
背後からの一撃(準備),            -
背後からの一撃(攻撃),            白兵武器
背後からの一撃(命中),            点打 Glass.wav
現実否定(準備),                  出刃包丁
現実否定(攻撃),                  タックル;乱突
現実否定(命中),                  乱突
滅多刺し(準備),                  出刃包丁
滅多刺し(攻撃),                  連突
滅多刺し(命中),                  連突

公由夏美・おばーちゃんの鋸
鋸(準備),                        大鉈
鋸(攻撃),                        刺突
鋸(攻撃),                        振り上げ
鋸(攻撃),                        白兵武器
鋸(攻撃),                        なぎ払い
鋸(攻撃),                        回転斬撃
鋸(命中),                        斬撃
ノコギリ投げ(準備),              大鉈
ノコギリ投げ(攻撃),              回転投擲武器 Weapon\EFFECT_Hatchet02.bmp 32
ノコギリ投げ(命中),              回転斬撃
ブレードバリア(準備),            -
ブレードバリア(攻撃),            振り回し Weapon\EFFECT_Hatchet02.bmp 32
ブレードバリア(命中),            斬撃
フレッシュスライサー(準備),      -
フレッシュスライサー(攻撃),      振り回し Weapon\EFFECT_Hatchet02.bmp 32;ＭＡＰシュートカッター 黒
フレッシュスライサー(命中),      回転斬撃
滅多刺し(準備),                  大鉈
滅多刺し(攻撃),                  連突
滅多刺し(命中),                  連突



ひぐらしのなく頃に
オヤシロモード発動,              光噴出 赤
タッグモード発動,                光噴出 青
カケラモード発動,                光噴出 黄
突き落とし(準備),                -
突き落とし(攻撃),                タックル
突き落とし(命中),                点打
超級覇王沙都子弾(準備),          -
超級覇王沙都子弾(攻撃),          透明化 partner(1);巨大ビーム 青 Jet.wav
超級覇王沙都子弾(命中),          スーパータックル 青 partner(1)
神龍拳(準備),                    -
神龍拳(攻撃),                    ジャンプ;振り上げ大斬撃
神龍拳(命中),                    超アッパー;超アッパー;超アッパー
Ｌ５発症,                        光噴出 紫
毒ガス散布(準備),                -
毒ガス散布(攻撃),                ＭＡＰ大爆発 紫
毒ガス散布(命中),                煙 紫
牙突(準備),                      振る武器 Weapon\EFFECT_JapaneseBlade(T)02.bmp 40
牙突(攻撃),                      タックル;刺突
牙突(命中),                      大刺突
