
########## ########## ########## ########## ########## ########## ########## ########## ########## ##########
# トゥスクル勢だけ切り売りしやすいようにばらばらにしておきます。

トゥスクル皇ハクオロ
シールド防御(仕込み鉄扇), 鉄扇 Saber.wav
鉤棍(命中), 超打 Crash.wav
鉤棍(命中), 打撃 Bazooka.wav;ディレイ 2;打撃 Bazooka.wav;ディレイ 1;打撃 Bazooka.wav
灼熱の拳(準備), 粒子集中 赤 EvilEye.wav;トンファー 二刀流 Reload(4).wav
灼熱の拳(攻撃), トンファー突撃 二刀流;@戦闘アニメ_フェイスアップ準備 カルラゥアツゥレイ皇デリホウライ Charge(High).wav;Clear;連続なぎ払い
灼熱の拳(命中), 打撃 Bazooka.wav;ディレイ 2;打撃 Bazooka.wav;ディレイ 1;打撃 Bazooka.wav;連打 Bazooka.wav;連打 Bazooka.wav;連打 Bazooka.wav;超打 Crash.wav;ディレイ 10;連続描画 Anime\Explode\EFFECT_SuperExplode[01-12].gif 120 3.6 1 HyperExplode.wav
灼熱の加護(発動), 炎 Fire.wav;ディレイ 5;@戦闘アニメ_光大噴出命中 赤 Explode(Nuclear).wav
大剣(準備), 巨大剣 Reload(5).wav
大剣(攻撃), 巨大剣突撃;斬撃
大剣(命中), 大斬撃
烈火の技(準備), 巨大剣 Reload(5).wav
烈火の技(攻撃), 巨大剣突撃;円弧斬撃 黒 Saber.wav
烈火の技(命中), 超打 Crash.wav
大地を駆ける爆炎(準備), 巨大剣 Reload(5).wav;粒子集中 赤 Fire.wav
大地を駆ける爆炎(攻撃), なぎ払い Swing.wav;@戦闘アニメ_フェイスアップ準備 ノセシェチカ皇カンホルダリ Charge(High).wav;Clear;ＭＡＰ地表衝撃波 赤 MicroMissile.wav
大地を駆ける爆炎(命中), 超爆発 赤 HyperExplode.wav


########## ########## ########## ########## ########## ########## ########## ########## ########## ##########
# 弐連と四連のアニメが同じなのは仕様です。
# 抜き出して使いやすいようにゲンジマルのところにもトウカと同じアニメを入れておきます。


うたわれるもの
巨剣(準備), 巨大剣 Reload(5).wav
巨剣(攻撃), 斬撃 Saber.wav
巨剣(命中), 超打 Crash.wav
光を放つ斬撃(準備), 巨大剣 Reload(5).wav;粒子集中 白 Charge.wav
光を放つ斬撃(攻撃), @戦闘アニメ_フェイスアップ準備 アムルリネウルカ＝クーヤ Charge(High).wav;Clear;ディレイ 2;円弧斬撃 白 Saber.wav;ディレイ 2;超火炎放射 白 MicroMissile.wav
光を放つ斬撃(命中), 超火炎放射 白 MicroMissile.wav
居合抜き(攻撃), タックル Whiz.wav;斬撃
居合抜き(命中), 斬撃 Slash.wav
弐連抜刀術(攻撃), タックル Whiz.wav;なぎ払い;振り上げ;振り下ろし;斬撃
弐連抜刀術(命中), なぎ払い;振り上げ;振り下ろし;斬撃
四連抜刀術(攻撃), タックル Whiz.wav;なぎ払い;振り上げ;振り下ろし;斬撃
四連抜刀術(命中), なぎ払い;振り上げ;振り下ろし;斬撃
滅の波陣(準備), 粒子集中 黒 Charge.wav
滅の波陣(攻撃), @戦闘アニメ_フェイスアップ準備 エヴェンクルガの戦士ゲンジマル Charge(High).wav;Clear
滅の波陣(命中), Black.bmp 480 480 - - BeamShot.wav;ディレイ 10;ディレイ Sword.wav 4;ディレイ Sword.wav 1;ディレイ Sword.wav 1;ディレイ Sword.wav 1;ディレイ 5;Clear;ディレイ 5;地面衝撃 黒 WarShip.wav;超打 -.wav
巨刀(準備), 振る武器 "Weapon\EFFECT_GiantSword02.bmp" 56 Reload(5).wav
巨刀(攻撃), 斬撃 Saber.wav
巨刀(命中), 超打 Sword.wav
会心の技(ヒエン)(準備), 振る武器 "Weapon\EFFECT_GiantSword02.bmp" 56 Reload(5).wav
会心の技(ヒエン)(攻撃), 振る武器突撃 "Weapon\EFFECT_GiantSword02.bmp" 56 Whiz.wav;円弧斬撃 Saber.wav
会心の技(ヒエン)(命中), 大炎斬撃 黒 Sword.wav
会心の技(ヒエン)(命中), 振り上げ大炎斬撃 黒 Sword.wav
会心の技(ヒエン)(命中), 回転大炎斬撃 黒 Sword.wav
会心の技(ヒエン)(命中), なぎ払い大炎斬撃 黒 Sword.wav
砕の波陣(準備), 粒子集中 黒 Charge.wav
砕の波陣(攻撃), @戦闘アニメ_フェイスアップ準備 左大将ヒエン Charge(High).wav;Clear;Black.bmp 480 480 - - BeamShot.wav;ディレイ 10;ディレイ Sword.wav 4;ディレイ Sword.wav 1;ディレイ Sword.wav 1;ディレイ Sword.wav 1;ディレイ 5;Clear;ディレイ 5
砕の波陣(命中), 地面衝撃 黒 WarShip.wav;超打 -.wav
巨爪(攻撃), 円弧斬撃 Saber.wav
巨爪(命中), 大炎斬撃 赤 Crash.wav
巨爪(命中), 振り上げ大炎斬撃 赤 Crash.wav
巨爪(命中), 回転大炎斬撃 赤 Crash.wav
巨爪(命中), なぎ払い大炎斬撃 赤 Crash.wav
朱に輝く巨爪(準備), 粒子集中 赤 Fire.wav
朱に輝く巨爪(攻撃), @戦闘アニメ_フェイスアップ準備 右大将ハウエンクア Charge(High).wav;Clear;ディレイ 2;円弧斬撃 赤 Saber.wav;ディレイ 2;波動放射 赤 MicroMissile.wav
朱に輝く巨爪(命中), 大爆発 Explode(Far).wav
両の巨爪(攻撃), 円弧斬撃 Saber.wav;円弧斬撃 Saber.wav
両の巨爪(命中), 大炎斬撃 赤 Crash.wav;振り上げ大炎斬撃 赤 Crash.wav
両の巨爪(命中), 回転大炎斬撃 赤 Crash.wav;なぎ払い大炎斬撃 赤 Crash.wav
豪腕(攻撃), 斬撃 Saber.wav
豪腕(命中), 強打 Crash.wav


########## ########## ########## ########## ########## ########## ########## ########## ########## ##########
# こちらにもいくつか被りがありますが意図的なものです。


うたわれるもの
巨腕(攻撃), 円弧斬撃 Saber.wav
巨腕(命中), 大炎斬撃 黒 Sword.wav
巨腕(命中), 超打 WarShip.wav
巨腕(とどめ), 縦分割 Inori.wav
巨腕(とどめ), 横分割 Inori.wav
全てを無に帰す光(攻撃), 魔法陣 白 Roar.wav;巨大ビーム 白 Breath.wav
全てを無に帰す光(命中), 巨大ビーム 白 Breath.wav
バリアシールド(蒼光の障壁), バリア BeamCoat.wav 蒼光の障壁
黒き枷(準備), 粒子集中 黒 -.wav
黒き枷(攻撃), -.wav
黒き枷(命中), 光圧縮 黒 -.wav;音再生 WarShip.wav;
長剣(準備), 日本刀 Reload(4).wav
長剣(攻撃), 日本刀突撃
長剣(命中), 斬撃 Slash.wav
剣閃(攻撃), スーパーダイブ
剣閃(命中), 超斬撃 Sword.wav
天より堕ちる閃光(準備), -
天より堕ちる閃光(攻撃), 魔法陣 白 Roar.wav;全拡散ビーム 白 Breath.wav
天より堕ちる閃光(命中), バスタービームランチャー 白 Explode(1).wav
テレポート(空間転移), テレポート Whiz.wav 空間転移
灼熱の炎(準備), 粒子集中 赤 Charge.wav
灼熱の炎(攻撃), 火炎放射 赤 Breath.wav
灼熱の炎(命中), 火炎放射 赤 Explode(1).wav
分子分解(準備), 粒子集中 黒 Charge.wav
分子分解(攻撃), 円弧斬撃 Saber.wav
分子分解(命中), 大炎斬撃 黒 Sword.wav;フラッシュ 白 Charge(High).wav
分子分解(とどめ), @戦闘アニメ_光圧縮命中 Charge(High).wav;音再生 Inori.wav
巨大な爪(攻撃), 円弧斬撃 Saber.wav
巨大な爪(命中), 大炎斬撃 黒 Sword.wav
巨大な爪(とどめ), 縦分割 Inori.wav
巨大な爪(とどめ), 横分割 Inori.wav
朱尾を帯びた飛翔(準備), 光圧縮 黒 Roar.wav
朱尾を帯びた飛翔(攻撃), @戦闘アニメ_オーラ上昇準備 黒 Charge.wav;@戦闘アニメ_フェイスアップ準備 哲学士ディー(黒き神) -.wav;急降下;スーパータックル 赤 MicroMissile.wav
朱尾を帯びた飛翔(命中), バスタービームランチャー 赤 MicroMissile.wav
空間爆砕(準備), 光圧縮 黒 Roar.wav
空間爆砕(攻撃), 粒子集中 黒 Charge(High).wav 対象ユニットＩＤ;@戦闘アニメ_降下アップ準備 LFUM_Dhi(TrueFigure).bmp -.wav;@戦闘アニメ_降下アップ終了準備 LFUM_Dhi(TrueFigure).bmp -.wav;@戦闘アニメ_光圧縮命中 黒 Beam.wav
空間爆砕(命中), 連続描画 Anime\Explode\EFFECT_SuperExplode[01-12].gif 160 3.6 5 HyperExplode.wav
バリアシールド(蒼光の障壁), バリア BeamCoat.wav 蒼光の障壁
光の剣(準備), ビームソード
光の剣(攻撃), ビームソード突撃
光の剣(命中), ビームソード突撃
影の術法(準備), 振る武器 LFUM_MutsumiU.bmp BeamSaber.wav
影の術法(攻撃), 実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav
影の術法(命中), ライトセイバー
分身攻撃(準備), 振る武器 LFUM_MutsumiU.bmp BeamSaber.wav
分身攻撃(攻撃), 実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav;実弾発射 LFUM_MutsumiU.bmp Whiz.wav
分身攻撃(命中), ライトセイバー
闇の術法(準備), 粒子集中 黒 Charge.wav
闇の術法(攻撃), 魔法陣 黒 Roar.wav;超ビーム 黒 電撃 Breath.wav
闇の術法(命中), 超ビーム 黒 Explode(1).wav
薙撃(攻撃), 斬撃
薙撃(攻撃), 振り上げ
薙撃(攻撃), 振り下ろし
薙撃(攻撃), なぎ払い
薙撃(命中), 爪撃 Slash.wav
死者の吐息(攻撃), 火炎放射 黒 Breath.wav
死者の吐息(命中), 火炎放射 黒 Breath.wav
粘体(攻撃), タックル
粘体(命中), 飛沫 赤


########## ########## ########## ########## ########## ########## ########## ########## ########## ##########


うたわれるもの
跳び蹴り(攻撃), タックル
跳び蹴り(命中), 打撃 Punch.wav
引っかき(攻撃), タックル
引っかき(命中), 爪撃 Slash.wav
咆哮(攻撃), フラッシュ Roar.wav
咆哮(命中), 光圧縮 Roar.wav
爪撃(攻撃), タックル Whiz.wav
爪撃(命中), 爪撃 白 連続 Slash.wav
咬み付き(攻撃), タックル Whiz.wav
咬み付き(命中), 噛み付き 連続 Stab.wav
超音波, 音波
ミキュームの雷光(準備), しもべ LFUM_GatyataraU.bmp 32 発光 効果音
ミキュームの雷光(攻撃), 実弾発射 LFUM_GatyataraU.bmp 32 Beam.wav
ミキュームの雷光(命中), 大電撃 青
太刀(準備), 日本刀 Reload(4).wav
太刀(攻撃), 日本刀突撃
太刀(命中), 斬撃 Slash.wav
連続斬り(準備), 日本刀 Reload(4).wav
連続斬り(攻撃), 日本刀突撃
連続斬り(命中), 連斬撃 Slash.wav
みね打ち(準備), 日本刀 Reload(4).wav
みね打ち(攻撃), 日本刀突撃
みね打ち(命中), ダメージ Punch.wav
会心の技(太刀)(準備), 日本刀 Reload(4).wav
会心の技(太刀)(攻撃), 日本刀突撃
会心の技(太刀)(命中), 大斬撃 Saber.wav
会心の技(太刀)(命中), 横大斬撃 Saber.wav
会心の技(太刀)(命中), 唐竹割り Saber.wav
会心の技(太刀)(命中), 振り上げ大斬撃 Saber.wav
突撃(長槍)(準備), 和槍 Reload(4).wav
突撃(長槍)(攻撃), 和槍突撃
突撃(長槍)(命中), 刺突突撃
長槍(準備), 和槍 Reload(4).wav
長槍(攻撃), 和槍突撃
長槍(命中), 刺突 Slash.wav
長槍(命中), 刺突 Stab.wav
長槍(命中), @戦闘アニメ_斬撃攻撃 Swing.wav;ダメージ Shock(Low).wav
貫通の技(長槍)(準備), 和槍 Reload(4).wav
貫通の技(長槍)(攻撃), 和槍突撃
貫通の技(長槍)(命中), 大刺突 Sword.wav
会心の技(長槍)(準備), 和槍 Reload(4).wav
会心の技(長槍)(攻撃), 和槍突撃
会心の技(長槍)(命中), 大刺突 Sword.wav
毒矢(準備), 和弓 Reload(4).wav
毒矢(攻撃), 和弓 Bow.wav
毒矢(命中), 刺突 Stab.wav
和弓(準備), 和弓 Reload(4).wav
和弓(攻撃), 和弓 Bow.wav
和弓(命中), 刺突 Stab.wav
弐連狙撃(準備), 和弓 Reload(4).wav
弐連狙撃(攻撃), 和弓 Bow.wav;和弓 Bow.wav
弐連狙撃(命中), 刺突 Stab.wav;刺突 Stab.wav
魔の術法(攻撃), 魔法陣 黄 Charge.wav 対象ユニットＩＤ
魔の術法(命中), ダメージ BeamCoat.wav
風の術法(攻撃), 魔法陣 緑 Charge(Long).wav 対象ユニットＩＤ
風の術法(命中), 旋風
水の術法(攻撃), 魔法陣 青 Charge(Long).wav 対象ユニットＩＤ
水の術法(命中), 大落雷
土の術法(攻撃), 魔法陣 橙 Charge(Long).wav 対象ユニットＩＤ
土の術法(命中), @戦闘アニメ_隕石攻撃 Beam.wav;爆発
炎の術法(攻撃), 魔法陣 赤 Charge(Long).wav 対象ユニットＩＤ
炎の術法(命中), 大爆発
飛矢(攻撃), 矢
飛矢(命中), 刺突 Stab.wav
闇の波動(攻撃), 魔法陣 黒 Charge(Long).wav 対象ユニットＩＤ;火炎放射 黒 Breath.wav
闇の波動(命中), 火炎放射 黒 Breath.wav
火炎放射(攻撃), 火炎放射 赤 Breath.wav
火炎放射(命中), 火炎放射 赤 Breath.wav
ハイパーモード(ハイパーデグカパ), オーラ上昇 青 Charge.wav
