
#以下のアイコンは丸投げ画像パックに収録されているものを使用しています
#EFFECT_DMD_Aeon'sGun.bmp
#EFFECT_DMD_BowOfSirius.bmp
#EFFECT_DMD_Cthugha.bmp
#EFFECT_DMD_Ithaqua.bmp
#EFFECT_DMD_Liogor&Zhar.bmp
#EFFECT_DMD_LordByakhee'sRifle.bmp
#EFFECT_DMD_ScimitarOfBarzai(Open).bmp
#EFFECT_DMD_ScimitarOfBarzai(Spin).bmp
#EFFECT_DMD_ScimitarOfBarzai.bmp
#EFFECT_DMD_ShiningTrapezohedron.bmp
#EFFECT_DMD_SwordOfGoldCross(Extend).bmp
#EFFECT_DMD_SwordOfGoldCross.bmp

鬼械神
分身(ニトクリスの鏡), ダミー Glass.wav ニトクリスの鏡
乱撃(攻撃), 乱突;打撃突撃 -.wav;刺突
乱撃(命中), 乱突 Stab.wav;大刺突 Crash.wav
金色の十字架(準備), 粒子集中 黄 BeamCoat.wav;決め文字 † 黄 -.wav 前面;振る武器 "Weapon\EFFECT_DMD_SwordOfGoldCross.bmp" 32 Reload(2).wav
金色の十字架(攻撃), 振る武器突撃 "Weapon\EFFECT_DMD_SwordOfGoldCross.bmp" 32 -.wav;斬撃 黄
金色の十字架(命中), 光斬撃 中 黄
罪人の十字架(準備), 粒子集中 黄 BeamCoat.wav;決め文字 † 黄 -.wav 前面;振る武器 "Weapon\EFFECT_DMD_SwordOfGoldCross.bmp" 32 Reload(2).wav;振る武器 "Weapon\EFFECT_DMD_SwordOfGoldCross(Extend).bmp" 64 BeamSaber.wav
罪人の十字架(攻撃), 大斬撃 ピンク Swing(2).wav
罪人の十字架(命中), 光斬撃 大 ピンク
天狼星の弓(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 黄;射撃武器 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48
天狼星の弓(攻撃), ビームライフル 黄 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48
天狼星の弓(命中), 小ビーム 黄 Beam.wav
天狼星の弓(クリティカル), @戦闘アニメ_粒子集中 黄 対象ユニットＩＤ;@戦闘アニメ_手持ち発射攻撃 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 対象ユニットＩＤ "LightWeapon\EFFECT_LightAttack(Yellow)01.bmp" 40 Cannon.wav;1;@戦闘アニメ_大電撃命中 Thunderbolt.wav;@戦闘アニメ_放電命中 -.wav
光の雨(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 黄;射撃武器 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48
光の雨(攻撃), 光打ち上げ 黄 Beam.wav
光の雨(命中), ビームレイン 黄 Beam.wav
黄金の剣(準備), 射撃武器粒子集中召喚 "LightWeapon\EFFECT_LightSword(Yellow)02.bmp" 48 黄
黄金の剣(攻撃), 0.2;実弾乱射 "LightWeapon\EFFECT_LightSword(Yellow)02.bmp" 48 Beam.wav
黄金の剣(命中), 乱突 Stab.wav
重力結界(準備), 粒子集中 ピンク
重力結界(攻撃), オーラ ピンク
重力結界(命中), 地面衝撃 ピンク Crash.wav;1;乱打 ピンク Shock(Low).wav
餓鬼結界(準備), 粒子集中 黒;魔法陣 黒
餓鬼結界(攻撃), ＭＡＰオーラ 黒 Roar.wav
餓鬼結界(命中), 噛み付き Crash.wav;爪撃 FightHit(3).wav;噛み付き Crash.wav
ン・カイの闇(準備), 粒子集中 ピンク;オーラ上昇 ピンク -.wav;射撃武器 "Common\EFFECT_RosePetal(Black)01.bmp" 32 Whiz.wav
ン・カイの闇(攻撃), 実弾発射 "Common\EFFECT_RosePetal(Black)01.bmp" 32 速 AntiAirMissile.wav
ン・カイの闇(命中), 連続着弾 黒 Shock(Low).wav
ＡＢＲＡＨＡＤＡＢＲＡ(準備), -
ＡＢＲＡＨＡＤＡＢＲＡ(攻撃), 打撃突撃 -.wav;打突
ＡＢＲＡＨＡＤＡＢＲＡ(命中), 打撃 FightHit(3).wav;2;粒子集中 ピンク Charge(High).wav;粒子集中 ピンク -.wav;粒子集中 ピンク -.wav;魔法陣 ピンク Flair.wav;2;大爆発 ピンク Thunderbolt.wav;放電 -.wav
メテオ(準備), 魔法陣 ピンク
メテオ(攻撃), @戦闘アニメ_斜め落ち共通 "Bullet\EFFECT_Meteor01.bmp" 48 AntiShipMissile.wav
メテオ(命中), 超大爆発 オレンジ
グランドクロス(準備), 粒子集中 黄 BeamCoat.wav;決め文字 † 黄 -.wav 前面;振る武器 "Weapon\EFFECT_DMD_SwordOfGoldCross.bmp" 32  Reload(2).wav;振る武器 "Weapon\EFFECT_DMD_SwordOfGoldCross(Extend).bmp" 64 BeamSaber.wav;オーラ上昇 ピンク
グランドクロス(攻撃), 振る武器突撃 "Weapon\EFFECT_DMD_SwordOfGoldCross(Extend).bmp" 64
グランドクロス(命中), 唐竹割り ピンク Slash(4).wav;横大斬撃 ピンク Slash(4).wav;2;@戦闘アニメ_粒子集中準備;@戦闘アニメ_突く武器急降下攻撃 "Weapon\EFFECT_DMD_SwordOfGoldCross(Extend).bmp" 64 AntiShipMissile.wav;突く武器急降下 "Weapon\EFFECT_DMD_SwordOfGoldCross(Extend).bmp" 64 -.wav;超斬撃 ピンク Crash.wav
グランドクロス(とどめ), @戦闘アニメ_大爆発命中 ピンク Whiz(2).wav;@戦闘アニメ_光球放出命中 ピンク -.wav
天狼星の弓・セト(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 黄;射撃武器 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48
天狼星の弓・セト(攻撃), 拡散ビームランチャー 黄 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48
天狼星の弓・セト(命中), 魔法陣 黄 BeamSaber.wav;2;@戦闘アニメ_オーラ上昇準備 黒;@戦闘アニメ_射撃武器変形準備 "Weapon\EFFECT_DMD_BowOfSirius.bmp" 48 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 Shock(Low).wav;@戦闘アニメ_火炎放射器攻撃 "Fire\EFFECT_DragonFire_S(Black)01.bmp" 48 オレンジ Breath.wav;火炎放射器 オレンジ -.wav;2;@戦闘アニメ_伸縮武器攻撃 "Fire\EFFECT_DragonFire_S(Black)[01-03].bmp" 48 MicroMissile.wav;超ビーム 黒 -.wav
Ｈ・ゼロドライブ(準備), 大気吸収 白 Interference.wav;粒子集中 白 -.wav;粒子集中 白 -.wav;オーラ上昇 白 -.wav
Ｈ・ゼロドライブ(攻撃), スーパーパンチ 白
Ｈ・ゼロドライブ(命中), スーパーパンチ 白 Glass.wav;2;発光 白 -.wav;超大爆発 白 Explode(Nuclear).wav
Ｈ・ゼロドライブ(解説), $(ユニット)はハイパーボリア・ゼロドライブで攻撃をかけた。
## 超鬼械神リベル・レギス
神槍レムリア・インパクト(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_Houtengeki_thrust01.bmp" 64 赤 Breath.wav;2;魔法陣 緑 背面
神槍レムリア・インパクト(攻撃), 突く武器突撃 "Weapon\EFFECT_Houtengeki_thrust01.bmp" 64 AntiShipMissile.wav
神槍レムリア・インパクト(命中), 大刺突 緑 Charge(High).wav;魔法集中 緑 -.wav;3;旋風 緑 MicroMissile.wav;超大爆発 緑 -.wav
時間停止(準備), -
時間停止(攻撃), 魔法放射 白
時間停止(命中), 決め画像 "Action\EFFECT_Remove01.bmp" 32 前面 EvilEye.wav
百撃必滅Ｈ・ゼロドライブ(準備), 大気吸収 白 Interference.wav;粒子集中 白 -.wav;粒子集中 白 -.wav;光大噴出 白 -.wav
百撃必滅Ｈ・ゼロドライブ(攻撃), スーパーパンチ 白;スーパーパンチ 白;スーパーパンチ 白
百撃必滅Ｈ・ゼロドライブ(命中), センタリング;点乱打 白 Glass.wav;大刺突 白 Glass.wav;2;発光 白 -.wav;球体破裂 白 Explode(Nuclear).wav;フラッシュ 白
百撃必滅Ｈ・ゼロドライブ(解説), $(ユニット)は百撃必滅ハイパーボリア・ゼロドライブで攻撃をかけた。
## 皇餓
鎌居太刀(準備), 野太刀 二刀流 Reload(2).wav;四刀流 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav
鎌居太刀(攻撃), 連続なぎ払い;旋風
鎌居太刀(命中), 旋風;クリティカル斬撃 Slash.wav
秘剣・飛竜(準備), 野太刀 二刀流 Reload(2).wav;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_振り下ろし攻撃;@戦闘アニメ_なぎ払い攻撃;オーラ上昇 黄 Charge(High).wav;粒子集中 黄 -.wav;振る武器 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 BeamSaber(5).wav
秘剣・飛竜(攻撃), 大炎斬撃 黄 Bazooka.wav;2;ＭＡＰ地表衝撃波 黄 速 残像 MultipleRocketLauncher(Light).wav
秘剣・飛竜(命中), 唐竹割り 黄 Crash.wav
二刀流(準備), 野太刀 二刀流 Reload(2).wav
二刀流(攻撃), 連斬撃
二刀流(命中), 連斬撃
四連斬(準備), 四刀流 Transform.wav
四連斬(攻撃), 連斬撃;なぎ払い;振り下ろし
四連斬(命中), 連斬撃;なぎ払い;振り下ろし
紅桜(準備), 野太刀 二刀流 Reload(2).wav;四刀流 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav
紅桜(攻撃), 斬撃乱舞 Swing(2).wav
紅桜(命中), 斬撃乱舞 Slash(4).wav
兜割り(準備), 野太刀 二刀流 Reload(2).wav
兜割り(攻撃), 野太刀突撃 二刀流 -.wav;大炎斬撃 白 AntiAirMissile.wav
兜割り(命中), 唐竹割り Bazooka.wav;地面衝撃 -.wav
必殺剣・羅刹(準備), 発光 白 Slash(4).wav;野太刀 二刀流 Reload(2).wav
必殺剣・羅刹(攻撃), なぎ払い Swing(2).wav
必殺剣・羅刹(命中), なぎ払い Slash(4).wav;@戦闘アニメ_斬撃攻撃 二刀流;唐竹割り Shock(Low).wav;地面衝撃 -.wav;@戦闘アニメ_オーラ上昇準備 黄 Charge(High).wav;@戦闘アニメ_粒子集中準備 黄 -.wav;@戦闘アニメ_振る武器準備 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 BeamSaber(5).wav;@戦闘アニメ_突く武器急降下攻撃 "LightWeapon\EFFECT_LightGiantSword(Yellow)02.bmp" 80 AntiAirMissile.wav;突く武器急降下 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 Glass.wav;超大爆発 黄 Explode(Nuclear).wav
剣舞・阿修羅(準備), 発光 白 Slash(4).wav;野太刀 二刀流 Reload(2).wav
剣舞・阿修羅(攻撃), 突く武器突撃 "Weapon\EFFECT_Nodachi(T)01.bmp" 48 -.wav;刺突 AntiAirMissile.wav
剣舞・阿修羅(命中), 刺突 Slash(4).wav;@戦闘アニメ_四刀流準備 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav;MicroMissile.wav;@戦闘アニメ_斬撃乱舞攻撃 -.wav;@戦闘アニメ_乱突攻撃 -.wav;斬撃乱舞 Slash(4).wav;乱突 Stab.wav;@戦闘アニメ_四刀流突撃攻撃 "Weapon\EFFECT_Nodachi01.bmp" 40 AntiAirMissile.wav;大斬撃 二刀流 -.wav;超斬撃 Crash.wav
## サイクラノーシュ
ガルバ, 噛み付き
オトー, ロケットパンチ
ウィテリウス, 火炎放射
無形落胤(準備), 魔法陣 黒;光噴出 黒 Zapper.wav;泡 黒 -.wav
無形落胤(攻撃), 実弾発射 "Common\EFFECT_Pop(Black)05.bmp" 32 Whiz.wav 遅
無形落胤(命中), 泡 黒 Zapper.wav;@戦闘アニメ_泡球準備 黒 相手ユニットＩＤ -.wav
機械の触手, 多触手 赤
神魂藝術(準備), 射撃武器粒子集中召喚 "Hand\EFFECT_Punch(Red)03.bmp" 48 赤 Fold.wav
神魂藝術(攻撃), 実弾発射 "Hand\EFFECT_Punch(Red)03.bmp" 48 AntiAirMissile.wav
神魂藝術(命中), 超打 Crash.wav
魔力弾(準備), 粒子集中 黒
魔力弾(攻撃), 実弾連射 "Bullet\EFFECT_AuraBall(Black)01.bmp" 32 Whiz.wav
魔力弾(命中), 連続爆発 3 黒 Shock(Low).wav
Ｉ・Ｄ・オドフクロンク(準備), -
Ｉ・Ｄ・オドフクロンク(攻撃), 髑髏弾 白 Roar.wav
Ｉ・Ｄ・オドフクロンク(命中), 超打 Crash.wav
巨人結界(準備), 魔法陣 白;怪ロボット召喚 Shock(Low).wav;怪ロボット召喚 Shock(Low).wav;怪ロボット召喚 Shock(Low).wav
巨人結界(攻撃), 実弾連射 "Creature\EFFECT_SuspectRobot01.bmp" 48  Walk(Robot).wav;急降下;透明化 反映
巨人結界(命中), @戦闘アニメ_結界 発動 青 Glass.wav 　;包囲ビーム 青 Slash(6).wav;包囲ビーム 青 Slash(6).wav;旋風 青 Roar.wav;放電 -.wav 青;球体破裂 青
## レガシー・オブ・ゴールド
フレイザー砲<近距離>(準備), -
フレイザー砲<近距離>(攻撃), ２連小ビーム 黄
フレイザー砲<近距離>(命中), ２連小ビーム 黄;爆発 黄 -.wav
フレイザー砲<収束>, 中ビーム 黄
フレイザー砲<弾幕>, 拡散ビーム 黄
フレイザー砲<全砲門解放>(準備), 光球集中 黄 Charge(high).wav;旋回光弾 黄 -.wav
フレイザー砲<全砲門解放>(攻撃), ＭＡＰビーム 黄 MicroMissile.wav
フレイザー砲<全砲門解放>(命中), 大拡散ビーム 黄
フレイザー砲<最大出力>(準備), 球体圧縮 黄 Interference.wav;粒子集中 黄 -.wav;粒子集中 黄 -.wav;発光 黄 -.wav;放電 -.wav
フレイザー砲<最大出力>(攻撃), 超ビーム 黄 BeamCannon(2).wav
フレイザー砲<最大出力>(命中), MicroMissile.wav;超ビーム 黄 -.wav
## クラーケン
剛腕(準備), -
剛腕(攻撃), 打撃突撃 -.wav;打突 Walk(Snow).wav
剛腕(命中), 打撃 BreakOff.wav;2;@戦闘アニメ_連打攻撃;連打;@戦闘アニメ_タックル攻撃 Shock(Low).wav;2;超打 Crash.wav
アナコンダアーム(準備), ロケットパンチ "Hand\EFFECT_RocketPunch(Blue)03.bmp" 32
アナコンダアーム(攻撃), ロケットパンチ "Hand\EFFECT_RocketPunch(Blue)03.bmp" 32 Bazooka.wav
アナコンダアーム(命中), ダメージ FightHit(3).wav;3;爪撃 二刀流 Crash.wav
氷撃(準備), 光球集中 水色 Wind.wav;粒子集中 水色 -.wav;粒子集中 水色 -.wav;投擲武器 "Ice\EFFECT_FallingIceRock01.bmp" 48 Ice.wav
氷撃(攻撃), 斬撃 二刀流 Walk(Snow).wav;氷塊落下 -.wav;Bazooka.wav
氷撃(命中), 氷塊落下 Shock(Low).wav;大爆発 水色 Glass.wav;飛沫 水色 -.wav
九頭龍撃(準備), 粒子集中 水色 Splash.wav;光噴出 水色 -.wav;ロケットパンチ "Hand\EFFECT_RocketPunch(Blue)03.bmp" 32
九頭龍撃(攻撃), ロケットパンチ "Hand\EFFECT_RocketPunch(Blue)03.bmp" 32 Bazooka.wav
九頭龍撃(命中), 周囲回転 "Hand\EFFECT_RocketPunch(Blue)03.bmp" 32 Whip.wav;ダメージ FightHit(3).wav;3;投げ飛ばし Splash.wav;地面衝撃 水色 -.wav
## ロードビヤーキー
風刃(準備), 強風;ドリル Storm.wav
風刃(攻撃), ドリル突撃 -.wav;刺突 AntiAirMissile.wav
風刃(命中), ドリル Storm.wav
フーン機関加速(準備), オーラ上昇 緑
フーン機関加速(攻撃), スーパータックル 緑 AntiAirMissile.wav
フーン機関加速(命中), スーパータックル 緑 Shock(Low).wav
スペル・ライフル(準備), 射撃武器 "Weapon\EFFECT_DMD_LordByakhee'sRifle.bmp" 48
スペル・ライフル(攻撃), チェーンガン "Weapon\EFFECT_DMD_LordByakhee'sRifle.bmp" 48 緑
スペル・ライフル(命中), Cannon(8Shot).wav;チェーンガン 緑 -.wav;大爆発 緑 -.wav
スクリーミング・バード(準備), 大気吸収;竜巻
スクリーミング・バード(攻撃), スーパータックル 黄 MultipleRocketLauncher(Light).wav
スクリーミング・バード(命中), 透明化 対象ユニットＩＤ 反映;Storm.wav;超ビーム 黄 -.wav;大爆発 Crash.wav
## ベルゼビュート
酸(準備), -
酸(攻撃), 液体噴射 黒
酸(命中), 液体噴射 黒 Acid.wav;煙 黒 -.wav
呪弾(準備), 粒子集中 黒
呪弾(攻撃), 光球 黒
呪弾(命中), 大爆発 黒 Shock(Low).wav
スター・ヴァンパイア(準備), 周囲回転 "Shield\EFFECT_ThrowingShield(Black)01.bmp" 32 BeamSaber(3).wav
スター・ヴァンパイア(攻撃), 実弾連射 "Shield\EFFECT_ThrowingShield(Black)01.bmp" 32 BeamSaber(3).wav
スター・ヴァンパイア(命中), 点連打 黒 FightHit(4).wav;放電;3;連続大爆発 3 Explode(High).wav
暴食大罪(準備), 周囲回転 "Shield\EFFECT_ThrowingShield(Black)01.bmp" 32 BeamSaber(3).wav;オーラ上昇 桃 
暴食大罪(攻撃), 全拡散ビーム 桃 MultipleRocketLauncher(Light).wav
暴食大罪(命中), @戦闘アニメ_落雷準備 桃 Thunderbolt.wav 相手ユニットＩＤ;@戦闘アニメ_落雷準備 Thunderbolt.wav 桃 相手ユニットＩＤ;大放電 桃;2;大爆発 桃 Explode(High).wav
バッド・トリップ・ワイン(準備), 放電
バッド・トリップ・ワイン(攻撃), 打撃突撃 Shock(Low).wav
バッド・トリップ・ワイン(命中), 刺突 Stab.wav;2;立ち固め Thunder.wav 1 遅;放電 -.wav
怨霊呪弾(準備), 大気吸収 黒 Breath.wav;エネルギー集束 "Impact\EFFECT_ImpactBall(Black)02.bmp" 28 黒 Breath.wav
怨霊呪弾(攻撃), 実弾発射 "Impact\EFFECT_ImpactBall(Black)02.bmp" 28 Roar.wav
怨霊呪弾(命中), 重力圧縮 Acid.wav;──死にたくない;1;──熱い;1;──苦しい;1;──冷たい;1;──痛い;1;──寂しい;1;──寒い;1;──暗い;1;──怖い;1;──死にたくない──痛──死にたくない──怖──死にたくない寒死にたくない苦し死にたくない痛い死にたくない痛い痛死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない;1;死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない死にたくない……！;球体破裂 黒 Roar.wav
怨霊呪弾(とどめ), @戦闘アニメ_炎の壁命中 黒 Roar.wav;@戦闘アニメ_吸収命中 黒 -.wav
## ネームレス・ワン
カウンター・スペル(発動), 反射 BeamCoat.wav カウンター・スペル
バインド・スペル(準備), 粒子集中 緑;発光 緑
バインド・スペル(攻撃), 光子魚雷 緑 
バインド・スペル(命中), 発光 緑 Glass.wav;1;魔法陣 桃 BeamSaber(3).wav 前面
ブリット・スペル(準備), 魔法陣 緑
ブリット・スペル(攻撃), 内蔵チェーンガン 緑 Beam(8Shot).wav
ブリット・スペル(命中), 拡散ビーム 緑
ソード・スペル(準備), 魔法陣 黄;ビームソード 黄
ソード・スペル(攻撃), 大斬撃 黄 BeamSaber(5).wav
ソード・スペル(命中), 光斬撃 大 黄 BeamSaber(5).wav
ライトブリンガー・スペル(準備), 魔法陣 緑;ビームソード 緑 二刀流
ライトブリンガー・スペル(攻撃), 大斬撃 緑 BeamSaber(5).wav;横大斬撃 緑 BeamSaber(5).wav
ライトブリンガー・スペル(命中), 光斬撃 大 緑 二刀流 MultipleRocketLauncher(Light).wav
カノン・スペル(準備), 魔法陣 緑
カノン・スペル(攻撃), 光球 緑 BeamGun.wav
カノン・スペル(命中), 球体破裂 緑
Ｓスター・スペル(準備), 多重方陣 黄 BeamCoat.wav
Ｓスター・スペル(攻撃), 光打ち上げ 黄;MultipleRocketLauncher.wav;ＭＡＰ落盤 黄 -.wav 
Ｓスター・スペル(命中), ビームレイン 黄
Ｓスター・スペル(解説), $(ユニット)はシューティングスター・スペルで攻撃をかけた。
ガンスリンガー(準備), 魔法陣 緑
ガンスリンガー(攻撃), Bazooka(8Shot).wav;内蔵チェーンガン 緑 -.wav
ガンスリンガー(命中), 魔法陣 緑 EvilEye.wav;2;点乱打 緑 Warship.wav;超大爆発 緑
ソードダンサー(準備), 魔法陣 青;ビームソード 青
ソードダンサー(攻撃), 横大斬撃 青 BeamSaber(5).wav
ソードダンサー(命中), 発光 青 EvilEye.wav;2;超斬撃 Slash.wav
存在消去(準備), 多重方陣 白 BeamCoat.wav
存在消去(攻撃), @戦闘アニメ_魔法陣準備 白 前面;フラッシュ Charge(high).wav
存在消去(命中), 光圧縮 Whiz.wav;@戦闘アニメ_分身準備 Noise(2).wav 相手ユニットＩＤ
存在消去(とどめ), @戦闘アニメ_分身準備 Noise.wav 相手ユニットＩＤ;透明化 反映;@戦闘アニメ_転移 Slap.wav 相手ユニットＩＤ
## アンブロシウス
賢者の鎌(準備), 大鎌 Reload(2).wav
賢者の鎌(攻撃), 大鎌突撃 -.wav;斬撃
賢者の鎌(命中), 斬撃 Slash(4).wav;@戦闘アニメ_大鎌突撃攻撃 Swing.wav;なぎ払い Slash(4).wav;@戦闘アニメ_スピンアタック攻撃;1;スピンアタック Slash.wav
賢者の鎌(クリティカル), @戦闘アニメ_斬撃乱舞攻撃;五芒星 白 Slash(4).wav;魔法放射 白 Glass.wav
ハスターの爪(準備), 大鎌 Reload(2).wav
ハスターの爪(攻撃), なぎ払い;シュートカッター 白
ハスターの爪(命中), シュートカッター 白 Glass.wav
気象攻撃(準備), 粒子集中 白
気象攻撃(攻撃), 竜巻
気象攻撃(命中), 竜巻;大電撃;飛沫 黄 -.wav
気象攻撃(クリティカル), @戦闘アニメ_大鎌突撃攻撃 Swing(2).wav;@戦闘アニメ_大斬撃命中 Crash.wav
エーテルランチャー(準備), 
エーテルランチャー(攻撃), タックル Whiz.wav;光子魚雷 青 Beam.wav;光子魚雷 青 Beam.wav;タックル Whiz.wav;光子魚雷 青 Beam.wav;光子魚雷 青 Beam.wav
エーテルランチャー(命中), 連続大爆発 青 4 BeamGun.wav
ハスターの翼(準備), 
ハスターの翼(攻撃), スーパータックル 白 AntiAirMissile.wav
ハスターの翼(命中), スーパータックル 白 Slash(4).wav
鏖殺の魔翼(準備), 粒子集中 赤 Charge(high).wav;オーラ上昇 赤 -.wav
鏖殺の魔翼(攻撃), スーパータックル 赤 MultipleRocketLauncher(Light).wav
鏖殺の魔翼(命中), 大刺突 赤 FastGun.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;@戦闘アニメ_変形準備 Info(ユニットデータ,鬼械神アンブロシウス,グラフィック);@戦闘アニメ_エネルギー集束準備 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 ピンク;1;@戦闘アニメ_実弾発射攻撃 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 Bazooka.wav;1;大爆発 ピンク Glass.wav
凶殺の魔爪(準備), @戦闘アニメ_回転斬撃攻撃;大鎌 Reload(2).wav
凶殺の魔爪(攻撃), 大鎌突撃 -.wav;斬撃 AntiAirMissile.wav
凶殺の魔爪(命中), センタリング;大斬撃 Slash(4).wav;2;スーパータックル 青 Slash(4).wav;2;スーパータックル 青 Slash(4).wav;2;スーパータックル乱舞 青 Slash(4).wav;2;@戦闘アニメ_大斬撃攻撃 AntiAirMissile.wav;1;超斬撃 Crash.wav
## デモンベイン・ブラッド
血風を纏う、抱け(準備), 発光 赤
血風を纏う、抱け(攻撃), 粒子集中 赤 Splash.wav
血風を纏う、抱け(命中), @戦闘アニメ_泡球準備 赤 相手ユニットＩＤ Splash.wav;4;大爆発 赤 BeamGun.wav
血刃を放つ、断て(準備), 粒子集中 赤 Splash.wav;ビームソード 赤 -.wav
血刃を放つ、断て(攻撃), 光なぎ払い 赤
血刃を放つ、断て(命中), 光なぎ払い 中 赤 Slash.wav
血刃を放つ、刎ねよ(準備), 粒子集中 赤 Splash.wav;ビームソード 赤 -.wav
血刃を放つ、刎ねよ(攻撃), 光なぎ払い 赤 Swing(2).wav;シュートカッター 赤 AntiAirMissile.wav
血刃を放つ、刎ねよ(命中), シュートカッター 赤 Slash.wav
灼熱の血を孕む、爆ぜよ(準備), 粒子集中 レッド Charge(High).wav;オーラ上昇 レッド -.wav
灼熱の血を孕む、爆ぜよ(攻撃), スーパーキック レッド
灼熱の血を孕む、爆ぜよ(命中), スーパーキック レッド Crash.wav;粒子集中 レッド Charge(High).wav;粒子集中 レッド -.wav;発光 レッド -.wav;大爆発 レッド Explode(High).wav
禁忌の血を解放つ、侵せ(準備), 粒子集中 赤 Splash.wav;粒子集中 赤 Splash.wav;球体圧縮 赤;射撃武器 "Fire\EFFECT_DragonFire_S(Red)01.bmp" 48 -.wav
禁忌の血を解放つ、侵せ(攻撃), 伸縮武器 "Fire\EFFECT_DragonFire_S(Red)[01-03].bmp" 48 AntiShipMissile.wav
禁忌の血を解放つ、侵せ(命中), MicroMissile.wav;超ビーム 赤 -.wav
禁忌の血を解放つ、侵せ(とどめ), @戦闘アニメ_スーパーパンチ攻撃 赤;@戦闘アニメ_スーパーパンチ命中 赤 Slash.wav;@戦闘アニメ_魔法集中命中 赤 -.wav;出血
## クロックワーク・ファントム
マグネットビーム(準備), -
マグネットビーム(攻撃), リングビーム 黄
マグネットビーム(命中), リングビーム 黄;放電
巨腕(準備), ロケットパンチ "Hand\EFFECT_RocketPunch(Yellow)03.bmp" 44
巨腕(攻撃), ロケットパンチ "Hand\EFFECT_RocketPunch(Yellow)03.bmp" 44 AntiShipMissile.wav
巨腕(命中), 超打 Crash.wav;超打 Crash.wav;3;重力圧縮 FightHit(3).wav;投げ飛ばし Bomb.wav
オルフィレウスの歯車(準備), 光球集中 黄;四刀流 "Bullet\EFFECT_BeamRingCutter(Yellow)01.bmp" 32 Reload.wav
オルフィレウスの歯車(攻撃), ４ＷＡＹ射出 Drill.wav
オルフィレウスの歯車(命中), シュートカッター改 "Bullet\EFFECT_BeamRingCutter(Yellow)01.bmp" 32 Crash.wav ランダム方向;シュートカッター改 "Bullet\EFFECT_BeamRingCutter(Yellow)01.bmp" 32 Crash.wav ランダム方向;シュートカッター改 "Bullet\EFFECT_BeamRingCutter(Yellow)01.bmp" 32 Crash.wav ランダム方向;シュートカッター改 "Bullet\EFFECT_BeamRingCutter(Yellow)01.bmp" 32 Crash.wav ランダム方向
鋼の竜巻(準備), ロケットパンチ "Hand\EFFECT_RocketPunch(Yellow)03.bmp" 44;@戦闘アニメ_デフォルト攻撃 Chaff.wav;3;竜巻
鋼の竜巻(攻撃), 竜巻
鋼の竜巻(命中), 竜巻 Crash.wav;超打 -.wav
エレクトリックブラスト(準備)(鬼械神クロックワーク・ファントム), 粒子集中 黄;発光 黄 -.wav
エレクトリックブラスト(攻撃)(鬼械神クロックワーク・ファントム), ２連ショックビーム 黄
エレクトリックブラスト(命中)(鬼械神クロックワーク・ファントム), ２連ショックビーム 黄
火星人襲来(準備), 光球集中 白 Flash.wav;周囲回転 "Shield\EFFECT_ThrowingShield(White)01.bmp" 32 -.wav;四刀流 "Shield\EFFECT_ThrowingShield(White)01.bmp" 32 Flair.wav
火星人襲来(攻撃), ８ＷＡＹ射出 Flash.wav
火星人襲来(命中), 周囲回転 "Shield\EFFECT_ThrowingShield(White)01.bmp" 32 Flash.wav;2;小ビーム 赤 ランダム方向 Beam.wav;小ビーム 赤 ランダム方向 Beam.wav;小ビーム 赤 ランダム方向 Beam.wav;Beam(8Shot).wav;包囲ビーム 赤 -.wav;包囲ビーム 赤 -.wav;大爆発 赤
鋼鉄の嵐(準備), ロケットパンチ "Hand\EFFECT_RocketPunch(Yellow)03.bmp" 44;@戦闘アニメ_斬撃攻撃 二刀流;大気吸収 白 Storm.wav 
