
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#　　入っているフォルダ名については特に指定していないので、必要に応じて変更してください。
#
#　EFFECT_Clogs01.bmp
#　EFFECT_Coin01.bmp
#　EFFECT_Crescent.bmp
#　EFFECT_Tower.bmp
#　EFFECT_Eye.bmp
#　EFFECT_SaGaF1_Nightmare.bmp
#　EFFECT_SaGaF1_BlackCat.bmp
#　EFFECT_SaGaF1_Reaper.bmp
#　EFFECT_SaGaF1_Cockatrice.bmp
#　EFFECT_Rune_Ger.bmp
#　EFFECT_Rune_Thorn.bmp
#　EFFECT_Rune_Tyr.bmp
#　EFFECT_Rune_Hagel.bmp
#　EFFECT_Rune_Eolh.bmp
#　EFFECT_Rune_Wyn.bmp
#　EFFECT_Rune_Eoh.bmp
#　EFFECT_Rune_Ing.bmp
#　　ルーン文字のフォントというものもあるのですが、普通は入れてないでしょうし。

サガフロ
シャドウダガー, ナイフ
暴走, ＭＡＰ移動タックル
落雷, 落雷
強打(攻撃), 打突
強打(命中), 強打
シルフィード, ホーミングレーザー ブルー
ふみつけ, 踏み潰し
竜巻, 竜巻
サイレン, 音波
振動波, 音波
グライダースパイク, スーパータックル
高温ガス, 煙 赤
グランドヒット(攻撃), タックル
グランドヒット(命中), 超打
ヒートウェイヴ(攻撃), ＭＡＰオーラ レッド
ヒートウェイヴ(命中), 炎
草薙の剣(準備), 剣
草薙の剣(攻撃), 斬撃
草薙の剣(命中), 大斬撃
毒針, ニードル
磁気嵐, ＭＡＰ竜巻
イグニスストリーム, ＭＡＰ気斬 レッド 速 残像
マイティサイクロン(攻撃), タックル;竜巻
マイティサイクロン(命中), 落下
毛繕い, 回復魔法
麒麟の歌, ＭＡＰ音符
生命の雨, ＭＡＰダークネス Shower.wav
セレクション, 文字ビーム ？
三人の寵姫, ＭＡＰ波動放射 ホワイト 残像
ライフスティール, 触手 赤
スマイル, ＭＡＰ音符
七支刀(攻撃), ＭＡＰ持続ビーム オレンジ
七支刀(命中), なぎ払い
天罰(攻撃), 透明化;浮上アップ Info(ユニットデータ, 対象ユニットＩＤ, グラフィック);ＭＡＰビーム;透明化 解除
天罰(命中), ホーミングレーザー
魔神三段(攻撃), シミター突撃
魔神三段(命中), 大刺突;アッパー Saber.wav;急降下
レボリューション９, ＭＡＰ気斬 ホワイト 速 残像
超凝視(攻撃), 決め画像 EFFECT_Eye.bmp 32 背後
超凝視(命中), 大放電
首領のえじき(攻撃), 触手 レッド
首領のえじき(命中), @戦闘アニメ_透明化攻撃 相手ユニットＩＤ;@戦闘アニメ_回復魔法発動 対象ユニットＩＤ;@戦闘アニメ_透明化攻撃 解除 相手ユニットＩＤ;投げ飛ばし
首領砲, キャノン砲
トリップガス, 煙 グリーン
ジャッジメントＸ(攻撃), 透明化;降下アップ Info(ユニットデータ, 対象ユニットＩＤ, グラフィック);ＭＡＰミサイル;透明化 解除
ジャッジメントＸ, 連続大爆発
カーネイジ(攻撃), 決め文字 ＮＯ　ＦＵＴＵＲＥ レッド Computer.wav;粒子集中 ピンク;ＭＡＰフラッシュ Beam.wav;_
                  ＭＡＰ発光 ピンク
カーネイジ(命中), 小ビーム ピンク ランダム方向
ハイパーバズーカ, ビームランチャー
バスターランチャー, ＭＡＰビーム ホワイト
クロービット(攻撃), ２ＷＡＹ射出
クロービット(命中), 斬撃乱舞
邪霊憑依, ＭＡＰダークネス;粒子集中 ホワイト
ライトニングウェブ(攻撃), 実弾発射 Weapon\EFFECT_Net01.bmp 発光
ライトニングウェブ(命中), ネット;放電
ムーンスクレイバー(準備), 日本刀
ムーンスクレイバー(攻撃), 粒子集中 イエロー;日本刀突撃 MicroMissile.wav
ムーンスクレイバー(命中), 超斬撃
ダークフェニックス, スーパータックル ブラック
ベルヴァカウンター, アッパー
ゴッドハンド(攻撃), 発光;打突
ゴッドハンド(命中), 超打
ゴッドハンド(とどめ), @戦闘アニメ_大爆発命中
ダイビングプレス(攻撃), 急降下
ダイビングプレス(命中), 踏み潰し
怒りの鉄拳, スーパーパンチ イエロー
雷炎パワーボム(攻撃), タックル
雷炎パワーボム(命中), ドライバー;小爆発
ドリルアーム, ドリル
チェーンヒート(攻撃), タックル
チェーンヒート(命中), 斬撃;斬撃;斬撃;斬撃;斬撃
デスグリップ, 爪撃
悪臭, 煙 ブラック
鉄球(攻撃), 画像前面発射 Weapon\EFFECT_IronBall01.bmp 4
鉄球(命中), 爆撃;爆撃;爆撃;爆撃

#　　記憶で作っている部分が多いので、おかしいものなどあれば訂正お願いします。
#　　あと、三人の寵姫とジャッジメントＸのいい再現法があったら教えてくださいやし。

