
真田幸村(無双)
炎槍(準備), 十字槍
電光石火(クリティカル), @戦闘アニメ_刺突命中;@戦闘アニメ_刺突命中;@戦闘アニメ_なぎ払い攻撃;@戦闘アニメ_実弾発射攻撃 Common\EFFECT_SonicBoom(Blue)02.bmp Whiz.wav;@戦闘アニメ_飛沫 青

島左近(無双)
範囲攻撃(攻撃), ＭＡＰ光噴出 緑 Shock(Low).wav
範囲攻撃(命中), 爆発
援護射撃(攻撃), 拡散ビーム 赤 Rifle.wav
援護射撃(命中), 拡散ビーム 赤
斬轟一閃刀(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 48
斬轟一閃刀(攻撃), 斬撃
斬轟一閃刀(命中), 大斬撃
掴み斬り(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 48
掴み斬り(攻撃), 打突
掴み斬り(命中), 投げ飛ばし;@戦闘アニメ_振り上げ攻撃;振り上げ
斬撃波(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 48
斬撃波(攻撃), 振り上げ;実弾発射 Bullet\EFFECT_GroundCutter(Green)01.bmp Whiz.wav 発光
斬撃波(命中), 飛沫 緑
無双奥義(準備), 決め文字 闘 黒
無双奥義(攻撃), 連斬撃;連斬撃;連斬撃
無双奥義(命中), 連斬撃;連斬撃;連斬撃
無双秘奥義(準備), 決め文字 烈 黒 Glass.wav
無双秘奥義(攻撃), 連斬撃;連斬撃;連斬撃
無双秘奥義(命中), 連斬撃;連斬撃;連斬撃;回転斬撃;横大斬撃;「<B>やっちまったな！</B>」
攻撃無効化(明鏡止水), バリア - 明鏡止水

島津義弘(無双)
豪打波砕, 大金槌
回転撃(準備), 大金槌
回転撃(攻撃), 回転斬撃
回転撃(命中), 連打 Explode.wav
十文字突進(攻撃), スーパータックル 青 Cannon.wav
十文字突進(命中), 決め文字 十 黒 Shock(Low).wav
捨て身(準備), オーラ上昇 赤 Inori.wav
捨て身(攻撃), 斬撃乱舞
捨て身(命中), 乱打
無双奥義(準備), 決め文字 砕 黒
無双奥義(攻撃), 振り下ろし;5;振り下ろし;5;振り下ろし
無双奥義(命中), 強打 Explode.wav;5;強打 Explode.wav;5;強打 Explode.wav
無双秘奥義(準備), 決め文字 鬼 黒 Glass.wav
無双秘奥義(攻撃), 振り下ろし;5;振り下ろし;5;振り下ろし
無双秘奥義(命中), 強打 Explode.wav;5;強打 Explode.wav;5;強打 Explode.wav;強打 Explode.wav;強打 Explode.wav;強打 Explode.wav;「<B>わしの一人勝ちか！</B>」

立花闇千代(無双)
雷切, ソードブレイカー
雷召喚, 落雷 黄
雷電刀(準備), 光剣
雷電刀(攻撃), 光剣
雷電刀(命中), 雷斬撃
雷突撃(攻撃), スーパータックル 黄 Thunder(2).wav
雷突撃(命中), スーパータックル 黄
無双奥義(準備), 決め文字 迅 黒
無双奥義(攻撃), 大放電 対象ユニットＩＤ
無双奥義(命中), 大放電
無双秘奥義(準備), 決め文字 雷 黒 Glass.wav
無双秘奥義(攻撃), 大放電 対象ユニットＩＤ
無双秘奥義(命中), 大放電;連斬撃;斬撃;「<B>立花を舐めるな！！</B>」

直江兼続(無双)
金縛り(攻撃), ＭＡＰオーラ 青 Shock(Low).wav
金縛り(命中), 発光 青
伏鬼兼光, 斬撃武器 Weapon\EFFECT_Sword03.bmp
五芒星光弾(攻撃), 五芒星 青 Charge.wav 対象ユニットＩＤ;中ビーム 青
五芒星光弾(命中), 中ビーム 青
護符投げ(準備), 振る武器 Card\EFFECT_MandaraCard01.bmp
護符投げ(攻撃), 打突
護符投げ(命中), 投げ飛ばし 
全方位護符光弾(攻撃), 周囲回転 Card\EFFECT_MandaraCard01.bmp Whiz.wav 対象ユニットＩＤ;ＭＡＰビーム 青
全方位護符光弾(命中), 小ビーム 青
無双奥義(準備), 決め文字 知 黒
無双奥義(攻撃), 拡散ビーム 青 MultipleRocketLauncher(Light).wav
無双奥義(命中), 拡散ビーム 青
無双秘奥義(準備), 決め文字 愛 黒 Glass.wav
無双秘奥義(攻撃), 拡散ビーム 青 MultipleRocketLauncher(Light).wav
無双秘奥義(命中), 拡散ビーム 青;小ビーム 青;小ビーム 青;小ビーム 青;「<B>愛のために！！</B>」
攻撃無効化(護符障壁), 光バリア - 護符障壁
シールド防御(千里天眼), ビームコート - 千里天眼

ねね(無双)
変化の術(攻撃), @戦闘アニメ_スピン開始
変化の術(命中), @戦闘アニメ_煙攻撃 Bazooka.wav 白 対象ユニットＩＤ
天昇翼刃(準備), 脇差 二刀流
天昇翼刃(攻撃), 連斬撃
天昇翼刃(命中), 連斬撃
十字手裏剣(準備), 脇差 二刀流
十字手裏剣(攻撃), 回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34
十字手裏剣(命中), なぎ払い;なぎ払い
連斬(攻撃), キック
連斬(命中), 強打;回転斬撃;なぎ払い
無双奥義(準備), 決め文字 護 黒
無双奥義(攻撃), 回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34
無双奥義(命中), 回転斬撃
無双秘奥義(準備), 決め文字 慈 黒 Glass.wav
無双秘奥義(攻撃), 回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34;回転投擲武器 Weapon\EFFECT_TwinBlade01.bmp 34
無双秘奥義(命中), 回転斬撃;連斬撃;斬撃;「<B>これで改心しなさいっ！！</B>」
分身(分身の術), 分身 - 分身の術

風魔小太郎(無双)
魔迅鉄甲(攻撃), 斬撃
魔迅鉄甲(命中), 強打
忍術(攻撃), 連気弾 赤
忍術(命中), 炎
特殊投げ(攻撃), 触手 黒
特殊投げ(命中), 投げ飛ばし
乱撃(攻撃), 乱打
乱撃(命中), 乱打;@戦闘アニメ_なぎ払い攻撃;強打
乗掛り(攻撃), スーパータックル 黒 Swing(3).wav
乗掛り(命中), スーパータックル 黒;投げ飛ばし
無双奥義(準備), 決め文字 疾 黒
無双奥義(攻撃), 振る武器突撃 -.bmp
無双奥義(命中), 爪撃 連続
無双秘奥義(準備), 決め文字 闇 黒 Glass.wav
無双秘奥義(攻撃), 振る武器突撃 -.bmp
無双秘奥義(命中), 爪撃 連続;強打;強打;強打;「<B>我が名は終末……！</B>」
分身(分身の術), 分身 - 分身の術
行雲流水(攻撃), 連斬撃
行雲流水(命中), 強打;強打
行雲流水(クリティカル), @戦闘アニメ_浴びせ蹴り攻撃;@戦闘アニメ_連打命中;@戦闘アニメ_連打命中;@戦闘アニメ_気弾攻撃 赤;@戦闘アニメ_炎命中

宮本武蔵(無双)
天地円明刀(準備), 日本刀 二刀流
天地円明刀(攻撃), 連斬撃
天地円明刀(命中), 連斬撃
受け返し(命中), @戦闘アニメ_分身斬撃攻撃;分身斬撃
無双の剣技(準備), 日本刀 二刀流
無双の剣技(攻撃), 日本刀突撃 二刀流
無双の剣技(命中), 連斬撃;連斬撃;斬撃
無双の剣技(命中), 連突;連突
無双の剣技(命中), 連続なぎ払い
無双奥義(準備), 決め文字 斬 黒
無双奥義(攻撃), 斬撃乱舞
無双奥義(命中), 斬撃乱舞
無双秘奥義(準備), 決め文字 極 黒 Glass.wav
無双秘奥義(攻撃), 斬撃乱舞
無双秘奥義(命中), 斬撃乱舞;なぎ払い;なぎ払い;なぎ払い;「<B>俺は無双だっ！！</B>」
獅子奮迅(攻撃), なぎ払い
獅子奮迅(命中), 超打 Crash.wav

前田利家(無双)
天侠一文字, ソードブレイカー
二本槍(準備), 蛇矛 二刀流
二本槍(攻撃), 連斬撃
二本槍(命中), 連斬撃
烈空槍(準備), 蛇矛 二刀流
烈空槍(攻撃), 刺突;実弾発射 Common\EFFECT_SonicBoom(White)01.bmp 48 AntiAirMissile.wav 発光
烈空槍(命中), 飛沫 白
強化撃(準備), オーラ上昇 赤 Inori.wav
強化撃(攻撃), 連斬撃
強化撃(命中), 連斬撃
突進斬り(準備), 粒子集中 橙
突進斬り(攻撃), スーパータックル 橙
突進斬り(命中), スーパータックル 橙;回転斬撃
無双奥義(準備), 決め文字 壮 黒
無双奥義(攻撃), 乱突
無双奥義(命中), 乱突
無双秘奥義(準備), 決め文字 侠 黒 Glass.wav
無双秘奥義(攻撃), 乱突
無双秘奥義(命中), 乱突;回転斬撃;「<B>おととい来やがれっ！！</B>」
変形(馬呼び), MouseWhisle.wav
気焔万丈(準備), ソードブレイカー
気焔万丈(攻撃), 連斬撃;連斬撃
気焔万丈(命中), 連斬撃;連斬撃
気焔万丈(クリティカル), @戦闘アニメ_回転斬撃攻撃;@戦闘アニメ_回転斬撃命中;@戦闘アニメ_なぎ払い命中

前田利家(無双騎馬)
二本槍(準備), 蛇矛 二刀流
二本槍(攻撃), 回転斬撃
二本槍(命中), 回転斬撃
無双奥義(準備), 決め文字 壮 黒
無双奥義(攻撃), ＭＡＰ移動タックル 橙
無双奥義(命中), ダメージ Shock(Low).wav

長宗我部元親(無双)
和楽號三線(攻撃), 斬撃
和楽號三線(命中), 打撃
音塊(攻撃), 実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光
音塊(命中), 飛沫 紫
水計, ＭＡＰ津波
音塊放出(攻撃), 実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光;実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光;実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光
音塊放出(命中), 飛沫 紫
水球, 泡球
無双奥義(準備), 決め文字 奏 黒
無双奥義(攻撃), 実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;_
実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速
無双奥義(命中), 飛沫 白;飛沫 白;飛沫 白;飛沫 白
無双秘奥義(準備), 決め文字 響 黒 Glass.wav
無双秘奥義(攻撃), 実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;_
実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;実弾発射 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速
無双秘奥義(命中), 飛沫 白;飛沫 白;飛沫 白;飛沫 白;強打;強打;強打;「<B>魂！</B>」
行雲流水(攻撃), タックル;実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光;実弾発射 Bullet\EFFECT_AuraBall(Purple)02.bmp 20 Sharara.wav 発光
行雲流水(命中), 飛沫 紫
行雲流水(クリティカル), @戦闘アニメ_浴びせ蹴り攻撃;@戦闘アニメ_実弾発射攻撃 Common\EFFECT_LightBall01.bmp 35 Sharara.wav 発光 速;@戦闘アニメ_飛沫命中 白

ガラシャ(無双)
天雷召輪, 格闘
吹雪の術, ＭＡＰ吹雪
火球の術(攻撃), 火炎弾 Cannon.wav
火球の術(命中), 炎
光弾の術, 大ビーム 緑
無双奥義(準備), 決め文字 煌 黒
無双奥義(攻撃), 拡散ビーム 緑 LaserGun.wav
無双奥義(命中), 拡散ビーム 緑
無双秘奥義(準備), 決め文字 輝 黒 Glass.wav
無双秘奥義(攻撃), 拡散ビーム 緑 LaserGun.wav
無双秘奥義(命中), 拡散ビーム 緑;打撃;打撃;打撃;「<B>やりすぎか？</B>」
回復の術, 回復魔法
攻撃無効化(障壁の術), バリア - 障壁の術

佐々木小次郎(無双)
物干竿, 野太刀
体力吸収(攻撃), タックル
体力吸収(命中), 吸収;なぎ払い Slash(4).wav
異次元巨大刀(準備), 振る武器転送 Weapon\EFFECT_Blade01.bmp 50
異次元巨大刀(攻撃), 投擲武器 Weapon\EFFECT_Blade01.bmp 50 Whiz.wav 速
異次元巨大刀(命中), 大斬撃
秘剣燕返し(準備), 野太刀
秘剣燕返し(攻撃), 振り下ろし
秘剣燕返し(命中), @戦闘アニメ_振り上げ攻撃;振り上げ
無双奥義(準備), 決め文字 剣 黒
無双奥義(攻撃), 大拡散ビーム 青 MicroMissile.wav
無双奥義(命中), 大拡散ビーム 青 Slash.wav
無双秘奥義(準備), 決め文字 燕 黒 Glass.wav
無双秘奥義(攻撃), 大拡散ビーム 青 MicroMissile.wav
無双秘奥義(命中), 大拡散ビーム 青 Slash.wav;なぎ払い;なぎ払い;なぎ払い;「<B>綺麗に眠って！！</B>」
透明化, テレポート１ 白
為虎添翼(攻撃), 魔法放射 白 Whiz.wav
為虎添翼(命中), 飛沫 白

柴田勝家(無双)
天地双星(準備), 鋼の斧 二刀流
天地双星(攻撃), 連斬撃
天地双星(命中), 連斬撃
投擲斧(準備), 鋼の斧 二刀流
投擲斧(攻撃), 回転投擲武器 Weapon\EFFECT_SteelAx01.bmp;回転投擲武器 Weapon\EFFECT_SteelAx01.bmp
投擲斧(命中), 回転斬撃
回転落とし(攻撃), タックル
回転落とし(命中), スクリューバックドライバー
爆発撃(準備), オーラ上昇 橙 Inori.wav
爆発撃(攻撃), 連斬撃;連斬撃
爆発撃(命中), 連続爆発 4
無双奥義(準備), 決め文字 猛 黒
無双奥義(攻撃), 振り下ろし;振り下ろし;振り下ろし;振り下ろし;振り下ろし
無双奥義(命中), 連続大爆発 5
無双秘奥義(準備), 決め文字 割 黒 Glass.wav
無双秘奥義(攻撃), 振り下ろし;振り下ろし;振り下ろし;振り下ろし;振り下ろし
無双秘奥義(命中), 連続大爆発 5;振り上げ;連斬撃;「<B>思い知ったか！！</B>」

戦国無双
刀, 日本刀
槍, 和槍
薙刀, ナギナタ
弓, 和弓
種子島, 火縄銃
二連弓(準備), 和弓
ニ連弓(攻撃), 和弓;和弓
ニ連弓(命中), 和弓;和弓
大砲(攻撃), 大キャノン砲
大砲(命中), 大爆発
薙ぎ払い, なぎ払い
瓶割り(準備), 和槍
瓶割り(攻撃), 振り下ろし
瓶割り(命中), 振り下ろし
燕返し(準備), 野太刀
燕返し(攻撃), 斬撃
燕返し(命中), クリティカル斬撃
槍衾(準備), 和槍
槍衾(攻撃), 乱突
槍衾(命中), 乱突
突進, 和槍突撃
一斉発射, 和弓連射
二段撃ち(準備), 火縄銃
二段撃ち(攻撃), 拡散ビーム 赤 Gun.wav
二段撃ち(命中), 拡散ビーム 赤
突撃, スーパーパンチ 赤
連斬(準備), 日本刀
連斬(攻撃), 連斬撃
連斬(命中), 連斬撃
連突(準備), 和槍
連突(攻撃), 連突
連突(命中), 連突
忍者刀, 脇差
細剣, 仕込み刃
地中斬り(準備), 仕込み刃
地中斬り(攻撃), 煙 白 Bazooka.wav 対象ユニットＩＤ;透明化
地中斬り(命中), @戦闘アニメ_振り上げ攻撃;振り上げ
飛び掛り, 仕込み刃突撃
回転突撃, スピンアタック
爆弾, 爆弾
突っ張り(攻撃), スーパーパンチ 赤
突っ張り(命中), スーパーパンチ 赤 Whip.wav
投げ飛ばし, 投げ飛ばし
シールド防御(盾), 和盾
