
武装神姫
#
## アーンヴァル
#
エンジェリックスカイ,                 風
"スティンガー",                       ビームライフル 白 Weapon\EFFECT_BusterRifle01.bmp 48
"ギガンテス"ロボアーム,               殴打武器 Hand\EFFECT_Punch(Blue)01.bmp 48 二刀流
Ｓ・ヴェイングローリー,               ホーミングミサイル
ロケットパンチ！,                     ロケットパンチ Hand\EFFECT_Punch(Blue)02.bmp 48
ステラ・コメータ,                     スーパータックル乱舞 白


汎用
バルムンク,                           斬撃武器 Weapon\EFFECT_SaintGreatSword01.bmp 48
トンファー,                           トンファー 二刀流
Ｆトンファーアタック(準備),           トンファー 二刀流
Ｆトンファーアタック(攻撃),           回転投擲武器 Weapon\EFFECT_Tonfer01.bmp 32;振る武器突撃 -.bmp
Ｆトンファーアタック(命中),           @戦闘アニメ_乱打攻撃;乱打;@戦闘アニメ_サマーソルト攻撃;アッパー;@戦闘アニメ_トンファー準備
ブーメラン,                           ブーメラン
"ハルバード"大型ミサイル(準備),       投擲武器 Bullet\EFFECT_ICBM02.bmp 64
"ハルバード"大型ミサイル(攻撃),       投擲武器 Bullet\EFFECT_ICBM02.bmp 64
"ハルバード"大型ミサイル(命中),       大爆発
ツインビームガン(攻撃),               ２連光弾 黄 BeamShot.wav
ツインビームガン(命中),               ダメージ 黄 Bell.wav
ツインビームガン(命中),               ダメージ 青 Bell.wav
ツインビームガン(命中),               ダメージ 白 Bell.wav
ツインビームガン(命中),               ダメージ 緑 Bell.wav
ツインビームガン(命中),               ダメージ 赤 Bell.wav
ウインビームガン(攻撃),               ２連光弾 青 BeamShot.wav
ウインビームガン(命中),               ダメージ 黄 Bell.wav
ウインビームガン(命中),               ダメージ 青 Bell.wav
ウインビームガン(命中),               ダメージ 白 Bell.wav
ウインビームガン(命中),               ダメージ 緑 Bell.wav
ウインビームガン(命中),               ダメージ 赤 Bell.wav
ツインビー＆ウインビー(攻撃),         シュートカッター 緑 BeamShot.wav
ツインビー＆ウインビー(命中),         シュートカッター 緑;ダメージ 黄 Bell.wav
ツインビー＆ウインビー(命中),         シュートカッター 緑;ダメージ 青 Bell.wav
ツインビー＆ウインビー(命中),         シュートカッター 緑;ダメージ 城 Bell.wav
ツインビー＆ウインビー(命中),         シュートカッター 緑;ダメージ 緑 Bell.wav
ツインビー＆ウインビー(命中),         シュートカッター 緑;ダメージ 赤 Bell.wav
レーザー・オブ・ネメシス(攻撃),       ４ＷＡＹ射出;ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav
レーザー・オブ・ネメシス(命中),       ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav;ニードルレーザー 青 EvilEye.wav
イオンリング(攻撃),                   実弾発射 Common\EFFECT_Circle(Blue)01.bmp 残像 Bubble.wav
イオンリング(命中),                   泡
