
DUELSAVIOR
#当真未亜#
来ないでぇ！, 殴打武器 Weapon\EFFECT_Bow00.bmp
トレイター【爆弾】(命中), @戦闘アニメ_急降下命中共通 Weapon\EFFECT_Bomb01.bmp;連続爆発 3
トレイター【爆弾】(解説), $(ユニット)はトレイターを爆弾に変化させ攻撃をかけた。
トレイター【ランス】(準備), ランス
トレイター【ランス】(攻撃), ランス突撃
トレイター【ランス】(命中), 刺突
トレイター【ランス】(解説), $(ユニット)はトレイターをランスに変化させ攻撃をかけた。
トレイター【ナックル】(攻撃), スーパーパンチ 青
トレイター【ナックル】(命中), 強打
トレイター【ナックル】(解説), $(ユニット)はトレイターをナックルに変化させ攻撃をかけた。
トレイター【斧】(準備), 両刃斧
トレイター【斧】(攻撃), 振り上げ
トレイター【斧】(命中), 振り上げ
トレイター【斧】(解説), $(ユニット)はトレイターをアックスに変化させ攻撃をかけた。
トレイター【能力解放】(準備), パターン決定改 1;粒子集中 黄 対象ユニットＩＤ;振る武器 anime\EFFECT_DUELS_Traitor.bmp
トレイター【能力解放】(攻撃)(対パターン_1), 振る武器突撃 anime\EFFECT_DUELS_Traitor.bmp;なぎ払い
トレイター【能力解放】(命中)(対パターン_1), なぎ払い;斬撃;振り下ろし;クリティカル斬撃;超打 -.wav
トレイター【能力解放】(解説)(対パターン_1), $(ユニット)は力を集中させ、トレイターで攻撃をかけた。
トレイター【能力解放】(準備), パターン決定改 2
トレイター【能力解放】(攻撃)(対パターン_2), 粒子集中 黄 対象ユニットＩＤ;スーパーパンチ 青
トレイター【能力解放】(命中)(対パターン_2), スーパーパンチ 青 Crash.wav
トレイター【能力解放】(解説)(対パターン_2), $(ユニット)は力を集中させ、ナックルで攻撃をかけた。
トレイター【能力解放】(準備), パターン決定改 3;粒子集中 黄 対象ユニットＩＤ;ランス突撃
トレイター【能力解放】(攻撃)(対パターン_3), ランス突撃;刺突
トレイター【能力解放】(命中)(対パターン_3), クリティカル大刺突
トレイター【能力解放】(解説)(対パターン_3), $(ユニット)は力を集中させ、ランスで攻撃をかけた。
トレイター【能力解放】(準備), パターン決定改 4;粒子集中 黄 対象ユニットＩＤ;両刃斧
トレイター【能力解放】(攻撃)(対パターン_4), 振り上げ
トレイター【能力解放】(命中)(対パターン_4), 打ち上げ Crash.wav
トレイター【能力解放】(解説)(対パターン_4), $(ユニット)は力を集中させ、アックスで攻撃をかけた。
トレイター【能力解放】(準備), パターン決定改 5;粒子集中 黄 対象ユニットＩＤ;振る武器 Weapon\EFFECT_Bomb01.bmp
トレイター【能力解放】(攻撃)(対パターン_5), @戦闘アニメ_急降下攻撃共通 Weapon\EFFECT_Bomb01.bmp
トレイター【能力解放】(命中)(対パターン_5), @戦闘アニメ_急降下命中共通 Weapon\EFFECT_Bomb01.bmp;連続大爆発 5 Explode(Far).wav
トレイター【能力解放】(解説)(対パターン_5), $(ユニット)は力を集中させ、爆弾で攻撃をかけた。


真の救世主当真大河
トレイター(準備), パターン決定 5;神剣
トレイター(攻撃)(対パターン_1), 斬撃
トレイター(攻撃)(対パターン_2), なぎ払い
トレイター(攻撃)(対パターン_3), 振り上げ
トレイター(攻撃)(対パターン_4), 振り下ろし
トレイター(攻撃)(対パターン_5), 連斬撃
トレイター(命中)(対パターン_1), 斬撃
トレイター(命中)(対パターン_2), なぎ払い
トレイター(命中)(対パターン_3), 振り上げ
トレイター(命中)(対パターン_4), 振り下ろし
トレイター(命中)(対パターン_5), 連斬撃
#トレイター(解説), $(ユニット)はトレイターで攻撃をかけた。
フレイムソード(準備), 振る武器 Weapon\EFFECT_FireSword01.bmp
フレイムソード(攻撃), @戦闘アニメ_急降下攻撃共通 Weapon\EFFECT_FireSword01.bmp
フレイムソード(命中), @戦闘アニメ_急降下命中共通 Weapon\EFFECT_FireSword01.bmp;大爆発 Explode(Far).wav
#フレイムソード(解説), $(ユニット)はトレイターを燃え盛る剣に変化させ攻撃をかけた。
ブレイクランス(準備), 方天戟(突)
ブレイクランス(攻撃), 方天戟突撃(突)
ブレイクランス(命中), 刺突
#ブレイクランス(解説), $(ユニット)はトレイターをランスに変化させ攻撃をかけた。
メタルナックル(攻撃), スーパーパンチ 青
メタルナックル(命中), 超打
#メタルナックル(解説), $(ユニット)はトレイターをナックルに変化させ攻撃をかけた。
グレートアックス(準備), 金の斧
グレートアックス(攻撃), 振り上げ
グレートアックス(命中), 振り上げ
#グレートアックス(解説), $(ユニット)はトレイターをアックスに変化させ攻撃をかけた。
ソードエクスプロージョン(攻撃), @戦闘アニメ_急降下攻撃共通 Weapon\EFFECT_FireSword01.bmp
ソードエクスプロージョン(命中), @戦闘アニメ_急降下命中共通 Weapon\EFFECT_FireSword01.bmp;超爆発 Explode(Far).wav
#ソードエクスプロージョン(解説), $(ユニット)は力を集中させ、燃え盛る剣で攻撃をかけた。
ランページトレイター(攻撃), 振る武器突撃 -.bmp FlyBy(High).wav
ランページトレイター(命中), 1;「オラオラオラオラオラオラオラオラオラオラオラオラァッ！」;乱打 Bazooka.wav;「トドメだぁぁぁッ！！」;@戦闘アニメ_アッパー攻撃;超打 Crash.wav
ランページトレイター(命中), 1;「オラオラオラオラオラオラオラオラオラオラオラオラァッ！」;斬撃乱舞 Slash.wav;「トドメだぁぁぁッ！！」;@戦闘アニメ_なぎ払い攻撃;超斬撃 Crash.wav


当真未亜
ライジングアロー(準備), 弓
ライジングアロー(攻撃), 弓矢
ライジングアロー(命中), 爆発
モーメントフラッシュ(準備), 弓
モーメントフラッシュ(攻撃), バスタービームライフル 白 Weapon\EFFECT_Bow01.bmp 32 Inori.wav
モーメントフラッシュ(命中), 大ビーム 白  Inori.wav;強打 Crash.wav
ファイナルメテオ(準備), 弓
ファイナルメテオ(攻撃), 矢連射;矢連射
ファイナルメテオ(命中), 矢連射改 6;矢連射改 6
瞬乱弓(準備), 弓
瞬乱弓(攻撃), 矢連射 MicroMissile.wav;矢連射 -.wav;矢連射 -.wav
瞬乱弓(命中), 矢連射改 8;矢連射改 8


白の主当真未亜
斬首弓(準備), 殴打武器 Weapon\EFFECT_Bow00.bmp
斬首弓, 斬撃
ライジングアロー(準備), 弓
ライジングアロー(攻撃), 矢連射
ライジングアロー(命中), 連続爆発
サウザンブリザード(準備), 弓
サウザンブリザード(攻撃), ＭＡＰ矢
サウザンブリザード(命中), 凍結
モーメントフラッシュ(準備), 弓
モーメントフラッシュ(攻撃), バスタービームライフル 白 Weapon\EFFECT_Bow01.bmp 32 Inori.wav
モーメントフラッシュ(命中), 大ビーム 白  Inori.wav;強打 Crash.wav
バーストロンド(準備), 弓
バーストロンド(攻撃), 矢連射;矢連射
バーストロンド(命中), 矢連射改 6;矢連射改 6
爆裂弓(準備), 弓
爆裂弓(攻撃), 矢連射 MicroMissile.wav;矢連射 -.wav;矢連射 -.wav
爆裂弓(命中), 連続大爆発 5;連続大爆発 5


リコ＝リス
インフェイム, スーパータックル 青


白の精イムニティ
インフェイム, スーパータックル 赤


パルフェ
シールド防御(おぼん), 鍋のふた
激昂, 電撃
ドアから突撃(攻撃), 振る武器突撃 -.bmp Whiz.wav;打突
ドアから突撃(命中), 打撃
ストンピング(攻撃), 振り下ろし
ストンピング(命中), 叩き潰し BreakOff.wav;叩き潰し BreakOff.wav
連続ドアから突撃(攻撃), 振る武器突撃 -.bmp Whiz.wav;打突
連続ドアから突撃(命中), 打撃;@戦闘アニメ_打突攻撃;打撃;@戦闘アニメ_打突攻撃;打撃;@戦闘アニメ_打突攻撃;打撃;@戦闘アニメ_打突攻撃;強打
スーパーストンピング, 振る武器突撃 -.bmp Whiz.wav;振り下ろし
スーパーストンピング(命中), 叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;叩き潰し BreakOff.wav;;1;「バカァァァァァァッ！！」;@戦闘アニメ_振り上げ攻撃;超打 Crash.wav
馬鹿にしすぎよ！(攻撃), 振る武器突撃 -.bmp Whiz.wav;
馬鹿にしすぎよ！(命中), 1;「あっ……いくら」;強打 Bazooka.wav;_
@戦闘アニメ_斬撃攻撃;1;「あっ……いくら、こっちから」;強打 Bazooka.wav;_
@戦闘アニメ_なぎ払い攻撃;1;「あっ……いくら、こっちから、好きに」;強打 Bazooka.wav;_
@戦闘アニメ_振り下ろし攻撃;1;「あっ……いくら、こっちから、好きに、なったからって」;強打 Bazooka.wav;_
@戦闘アニメ_アッパー攻撃;1;「あっ……いくら、こっちから、好きに、なったからって、馬鹿に」;強打 Bazooka.wav;_
@戦闘アニメ_浴びせ蹴り攻撃;1;「あっ……いくら、こっちから、好きに、なったからって、馬鹿に、しすぎよーーーーーーっ！！」;超打 Crash.wav;_
「あっ……いくら、こっちから、好きに、なったからって、馬鹿に、しすぎよーーーーーーっ！！ ばかぁぁぁぁぁぁっ！！」;ダメージ Shock(Low).wav


ショコラ
シールド防御(おぼん), 鍋のふた
あはは～(攻撃), 振る武器突撃 -.bmp Whiz.wav;回転斬撃
あはは～(命中), 連打 BreakOff.wav
Dancin' in the Rain(攻撃), 振る武器突撃 -.bmp Whiz.wav;回転斬撃
Dancin' in the Rain(攻撃), 乱打 BreakOff.wav;強打 Bazooka.wav
フライパン(攻撃), 斬撃
フライパン(命中), 打撃;炎
野菜投げ(攻撃), 回転投擲武器 下投げ Foods\EFFECT_Radish01.bmp
野菜投げ(命中), 打撃
超速千切り(攻撃), 斬撃乱舞
野菜投げ・たまねぎ(攻撃), 回転投擲武器 下投げ Fire\EFFECT_FlameThrowerHit(Orange)07.bmp 16
野菜投げ・たまねぎ(命中), 打撃
超速千切り・たまねぎ(攻撃), 斬撃乱舞
超速千切り・たまねぎ(命中), 1;「問答無用！」;斬撃乱舞;1;「問答無用！ やっぱり駄目だったー！！」;超打
超速千切り・たまねぎ(命中), 1;「舐めんなーーーー！」;斬撃乱舞;1;「舐めんなーーーー！ やっぱり駄目だったー！！」;超打
ゴキブリ発見(攻撃), 実弾発射 Fire\EFFECT_FlameThrowerHit(Black)07.bmp 8 Whiz.wav
ゴキブリ発見(命中), ダメージ
ジョウロ, 放水銃 Weapon\EFFECT_WaterGun01.bmp
スク水背中流し(攻撃), 振る武器突撃 -.bmp Whiz.wav
超スク水背中流し(攻撃), 振る武器突撃 -.bmp Whiz.wav
超スク水背中流し(命中), 乱打 Splash.wav;1;「流すね？」;@戦闘アニメ_放水銃攻撃 -.bmp 16;超打 Splash.wav
デコピン(通常)(攻撃), 斬撃
でこピン(通常)(命中), 強打 Crash.wav
でこピン(攻撃), 斬撃 AntiAirMissile.wav
でこピン(命中), 超打 Crash.wav
ケーキ作成(攻撃), 煙 対象ユニットＩＤ Fold.wav
ケーキ作成(命中), 打撃
ケーキ滑走(攻撃), 煙 対象ユニットＩＤ Fold.wav
ケーキ滑走(命中), 強打
ケーキ爆発(攻撃), 煙 対象ユニットＩＤ Fold.wav;超爆発 対象ユニットＩＤ
ケーキ滑走(命中), 超打 Crash.wav
当て身技(見切り), @戦闘アニメ_ダメージ命中 対象ユニットＩＤ Sword.wav
見切り(攻撃), -
見切り(命中), @戦闘アニメ_打突攻撃;強打 Bazooka.wav
乱舞・掟(攻撃), 振る武器突撃 -.bmp Flyby(high).wav
乱舞・掟(命中), 乱打 Bazooka.wav;「ファミリーの掟……覚えてますよね？」;超打 Crash.wav

大村翠
超速千切り(命中), 斬撃乱舞;「おしまいっ！」
超速千切り(命中), 斬撃乱舞;「なぁ……どうだ？」

結城すず
スク水背中流し(命中), 乱打 Splash.wav;「気持ちいい？」

エンジェルブレス
コスモス(準備), 振る武器 Weapon\EFFECT_WindSword01.bmp 48
コスモス, 斬撃
ストライクブレード(準備), 振る武器 Weapon\EFFECT_WindSword01.bmp 48
ストライクブレード(攻撃), 斬撃
ストライクブレード(命中), 大斬撃
光の刃, 氷柱 Slash(4).wav
光の刃(命中), クリティカル斬撃
エンジェルセイヴァー(準備), 粒子集中 Charge.wav;振る武器 Weapon\EFFECT_WindSword01.bmp 48
エンジェルセイヴァー(攻撃), なぎ払い;斬撃 AntiAirMissile.wav
エンジェルセイヴァー(命中), 超斬撃 Crash.wav
びんた(攻撃), 斬撃
びんた(命中), 強打
超びんた(攻撃), 斬撃
超びんた(命中), 超打 Crash.wav
さいどきっく, 浴びせ蹴り
ネコッ跳び, 飛びかかり
爪(準備), -
爪(攻撃), 斬撃
爪(命中), クロー
たいがー・ばずぅか, 波動放射 黄 Bazooka.wav
たいがー・ばずぅか(命中), 超打 Crash.wav
ホウキ(準備), 振る武器 DGoods\EFFECT_BambooBroom01.bmp
ホウキ(攻撃), 斬撃
ホウキ(命中), 打撃
いかがですか～？(攻撃), 石
いかがですか～？(攻撃), ビン
いかがですか～？(攻撃), コマ
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_BambooBroom01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_TinCan01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_MetalDrum01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_FryingPan01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_Harisen01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_PicopicoHammer01.bmp
いかがですか～？(攻撃), 投擲武器 DGoods\EFFECT_LidofPan01.bmp
いかがですか～？(命中), 打撃
直伝・デタラメ投げ(攻撃), 石;ビン;コマ;投擲武器 DGoods\EFFECT_BambooBroom01.bmp;投擲武器 DGoods\EFFECT_MetalDrum01.bmp
直伝・デタラメ投げ(攻撃), コマ;ビン;投擲武器 DGoods\EFFECT_FryingPan01.bmp
直伝・デタラメ投げ(攻撃), ビン;投擲武器 DGoods\EFFECT_BambooBroom01.bmp;投擲武器 DGoods\EFFECT_PicopicoHammer01.bmp
直伝・デタラメ投げ(攻撃), 投擲武器 DGoods\EFFECT_TinCan01.bmp;投擲武器 DGoods\EFFECT_Harisen01.bmp;投擲武器 DGoods\EFFECT_BambooBroom01.bmp
直伝・デタラメ投げ(攻撃), 投擲武器 DGoods\EFFECT_FryingPan01.bmp;投擲武器 DGoods\EFFECT_BambooBroom01.bmp;投擲武器 DGoods\EFFECT_FryingPan01.bmp
直伝・デタラメ投げ(命中), 乱打
シールド防御(本), シールド防御 DGoods\EFFECT_Book01.bmp 32
ツンビーム, 大ビーム 赤
極太・ツンビーム, 超ビーム 赤


バルドフォース
シールド防御(リバイアサン), シールド防御 BLDF_LeviathanU.bmp 64 BeamSaber(5).wav
テレポート(電子幽霊), 防御テレポート２ 座標転移 BeamSaber(4).wav
緊急テレポート(電子幽霊), 防御テレポート２ 緊急転移 BeamSaber(4).wav
寝る, 文字ビーム "Ｚｚｚ…" Whiz.wav
寝る(命中), 打撃
ボンボン, なぎ払い
ボンボン(命中), 打撃
リバイアサン召喚・突撃(準備), 突く武器転送 BLDF_LeviathanU.bmp 64 BeamSaber(5).wav
リバイアサン召喚・突撃(攻撃), 回転発射 BLDF_LeviathanU.bmp 64 MultipleRocketLauncher.wav
リバイアサン召喚・突撃(命中), 強打 Shock(Low).wav
リバイアサン召喚・ビーム(準備), 振る武器転送 BLDF_LeviathanU.bmp 64 BeamSaber(5).wav
リバイアサン召喚・ビーム(攻撃), バスタービームライフル 赤 BLDF_LeviathanU.bmp 64 MultipleRocketLauncher.wav
リバイアサン召喚・ビーム(命中), 大ビーム 赤
全方位波動砲(準備), 振る武器転送 BLDF_LeviathanU.bmp 64 BeamSaber(5).wav
全方位波動砲(攻撃), 全拡散ビーム 赤 MicroMissile.wav
全方位波動砲(命中), 拡散ビーム 赤
永遠の世界(準備), 突く武器転送 BLDF_LeviathanU.bmp 64 BeamSaber(5).wav
永遠の世界(攻撃), フラッシュ Charge(2).wav
永遠の世界(命中), @戦闘アニメ_振る武器突撃攻撃 -.bmp Flyby(high).wav 相手ユニットＩＤ;超打 Crash.wav
風車刃, ソーサー
狂刃(攻撃), 斬撃 二刀流
狂刃(命中), 大斬撃
月輪斬(攻撃), 振る武器突撃 -.bmp Whiz.wav;回転斬撃
月輪斬(命中), 回転斬撃
昇天跳撃(攻撃), アッパー
昇天跳撃(命中), 振り上げ
烈風棘陣(攻撃), 斬撃乱舞 Slash(3).wav
烈風棘陣(命中), 斬撃乱舞;強打 Bazooka.wav
神・風車刃(攻撃), 回転投擲武器 Weapon\EFFECT_Saucer01.bmp 64 Swing(2).wav
神・風車刃(命中), 斬撃乱舞 Stab.wav
神・昇天跳撃(攻撃), アッパー AntiAirMissile.wav
神・昇天跳撃(命中), クリティカル斬撃;回転斬撃 Slash(3).wav;超打 Crash.wav
死神の手(攻撃), スーパーダイブ 赤
死神の手(命中), クリティカル斬撃 Stab.wav;@戦闘アニメ_振り下ろし攻撃;超斬撃 Crash.wav


この青空に約束を―
ボールショット(準備), -
ボールショット, 鉄球
高速ランニング(攻撃), スーパータックル Stairs(Run).wav
高速ランニング(命中), 強打 Crash.wav
ダンクシュート(準備), -
ダンクシュート(攻撃), 鉄球
ダンクシュート(命中), 強打
全力ランニング(攻撃), スーパータックル Stairs(Run).wav
全力ランニング(命中), 強打 Crash.wav;1;「まだまだ行くよ！」;スーパータックル乱舞 Crash.wav;1;「ラスト！」;スーパータックル Crash.wav
木こりの剣士(攻撃), 斬撃乱舞
木こりの剣士(命中), 斬撃乱舞;@戦闘アニメ_刺突攻撃;大刺突 Crash.wav
スーパーダンク(準備), -
スーパーダンク(攻撃), 斬撃;火炎弾 AntiAirMissile.wav
スーパーダンク(命中), 強打 Shock(Low).wav
ピアス爆弾(攻撃), 光投射 赤 Whiz.wav
ピアス爆弾(命中), 超爆発 Explode(Nuclear).wav


チアフル
バンビジャンプ(攻撃), 飛びかかり
バンビジャンプ(命中), 打撃
トゥータッチジャンプ(攻撃), 振り上げ
トゥータッチジャンプ(命中), 打撃
ロンダート(攻撃), 回転斬撃
ロンダート(命中), 連打
Ｔ－モーション(攻撃), 回転斬撃
Ｔ－モーション(命中), 連打
パンチアップ(攻撃), 振り上げ
パンチアップ(命中), 強打 Shock(Low).wav
伸身サルト(攻撃), 回転斬撃;回転斬撃
伸身サルト(命中), 乱打
タイフーンＴ－モーション(攻撃), スピンアタック Storm.wav
タイフーンＴ－モーション(命中), Combo.wav
ハイ・パンチアップ(攻撃), 振り上げ
ハイ・パンチアップ(命中), 強打 Shock(Low).wav;@戦闘アニメ_アッパー攻撃;超打 Crash.wav


ＶＧ選手
ティミチオ, スピンキック
ティミチオ(命中), 打撃
翔円脚, サマーソルト
翔円脚(命中), 打撃
気吼弾(攻撃), 気弾
気吼弾(命中), 爆発
貫壁通背砲(攻撃), @戦闘アニメ_ダメージ命中 対象ユニットＩＤ Shock(Low).wav;ディレイ 8;打突
貫壁通背砲(命中), 強打 Bazooka.wav
ハンマーナックル(攻撃), ジャンプ;振り下ろし
ハンマーナックル(命中), 強打 Shock(Low).wav
気吼連弾(攻撃), 気弾;気弾;気弾
気吼連弾(命中), 連続爆発
翔円三旋脚(攻撃), サマーソルト
翔円三旋脚(命中), 強打;強打;超打
震・貫壁通背砲(攻撃), 振動 Shock(Low).wav;ディレイ 6;打突 AntiAirMissile.wav
震・貫壁通背砲(命中), 超打 Crash.wav;中ビーム 白 -.wav
オーラ・ナックル(攻撃), ジャンプ;振り下ろし
オーラ・ナックル(命中), 超打 Shock(Low).wav


ねこねこソフト
マジカルハンマー, ハンマー
マジカルハンマー投げ, ハンマー投擲
コーヒーカップ(攻撃), ソーサー
コーヒーカップ(命中), 打撃
まじかるすいんぐ(準備), ハンマー
まじかるすいんぐ(攻撃), なぎ払い
まじかるすいんぐ(命中), 打撃
揺れては回る、カップと笑顔, ＭＡＰ移動タックル 桃
マジカル巨大ハンマー投げ(準備), ハンマー
マジカル巨大ハンマー投げ(攻撃), 回転投擲武器 Weapon\EFFECT_Hammer01.bmp 64 Swing.wav
マジカル巨大ハンマー投げ(命中), 乱打
ひよりん・ろーりんぐ(準備), ハンマー
ひよりん・ろーりんぐ(攻撃), 回転斬撃
ひよりん・ろーりんぐ(命中), 乱打
マジカルフルスイング(攻撃), 連続なぎ払い 5
マジカルフルスイング(命中), 強打 BreakOff.wav;強打 BreakOff.wav;強打 BreakOff.wav;超打
マジカルタイム(準備), ハンマー
マジカルタイム(攻撃), 粒子集中 Chrage(high).wav;斬撃乱舞
マジカルタイム(命中), 乱打 BreakOff.wav;超打 Crash.wav
シールド防御(メカ進藤), シールド防御 NEKO_MecaShindouU.bmp 32
拡声器(攻撃), @戦闘アニメ_飛沫命中 黄 BeamGun.wav 対象ユニットＩＤ
拡声器(命中), -
サウンドブースター(攻撃), 大電撃 MicroMissile.wav
サウンドブースター(命中), -
学生鞄(攻撃), 斬撃
学生鞄(命中), 打撃
ローリングアタック(攻撃), 透明化 対象ユニットＩＤ 反映;回転発射 NEKO_YakamaShindouU.bmp
ローリングアタック(命中), 打撃
突進(攻撃), スーパータックル
突進(命中), 強打
メカ進藤発射(攻撃), 実弾発射 NEKO_MecaShindouU.bmp 32 Drill.wav 速;実弾発射 NEKO_MecaShindouU.bmp 32 Drill.wav 速;_
                    実弾発射 NEKO_MecaShindouU.bmp 32 Drill.wav 速;実弾発射 NEKO_MecaShindouU.bmp 32 Drill.wav 速
メカ進藤発射(命中), 乱打 Slash(6).wav
黄金ハンマー(準備), ドリルスピア
黄金ハンマー(攻撃), 斬撃 AntiAirMissile.wav
黄金ハンマー(命中), 超打 Crash.wav
サカナ大ビンタ(攻撃), 斬撃
サカナ大ビンタ(命中), 打撃
スイカ投げ(攻撃), 回転投擲武器 Effect\EFFECT_TelePort(Green)01.bmp 32
スイカ投げ(命中), 打撃
黄金スコップ(命中), 刺突
スイカ(準備), 振る武器 Effect\EFFECT_TelePort(Green)01.bmp 32
スイカ(攻撃), 打突
スイカ(命中), 打撃
黄金スコップ連続刺し(攻撃), 振る武器突撃 DGoods\EFFECT_Scoop01.bmp 32 Whiz.wav
黄金スコップ連続刺し(命中), 乱突;大刺突
ななみすぺしゃる(攻撃), 回転投擲武器 Effect\EFFECT_TelePort(Green)01.bmp 64
ななみすぺしゃる(命中), 強打
マジカルステッキ投げ(準備), モール
マジカルステッキ投げ(攻撃), 回転投擲武器 Weapon\EFFECT_Maul01.bmp 64 Swing.wav
マジカルステッキ投げ(命中), 乱打
縦笛(準備), 振る武器 Music\EFFECT_Recorder01.bmp 32
縦笛(攻撃), 刺突
縦笛(命中), 打撃
笛吹き(攻撃), 文字投射 ○ 白 Whitsle.wav
笛吹き(命中), 飛沫 白
流れ星, 流星
笛投げ(準備), 振る武器 Music\EFFECT_Flute01.bmp 32
笛投げ(攻撃), 投擲武器 Music\EFFECT_Flute01.bmp 32 速
笛投げ(命中), 打撃
電車召還(準備), Whitsle.wav
電車召還(攻撃), 大ビーム 橙 Train.wav 
電車召還(命中), 大ビーム 橙 Crash.wav
自販機落とし(攻撃), 振り下ろし
自販機落とし(命中), 超打 Crash.wav
トライデント突撃(準備), 中心回転武器 Music\EFFECT_Flute01.bmp 32 前転
トライデント突撃(攻撃), 突く武器突撃 Music\EFFECT_Flute01.bmp 32 
トライデント突撃(命中), 大刺突 Crash.wav
はたく(攻撃), 斬撃
はたく(命中), ダメージ Slap.wav
対空ドリル(攻撃), ドリル突撃
対空ドリル(命中), ドリル
対空ビッグドリル(攻撃), 振る武器突撃 Weapon\EFFECT_Drill01.bmp 64 Drill.wav
対空ビッグドリル(命中), ドリル
ビッグドリル(攻撃), 振る武器突撃 Weapon\EFFECT_Drill01.bmp 64 Drill.wav
ビッグドリル(命中), ドリル

まじかるひよりん
マジカルフルスイング(準備), ハンマー

近衛七海
マジカルフルスイング(準備), モール


