
リリカルなのは
##なのは##
攻撃無効化(プロテクション), バリア Flair.wav プロテクション
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) Ｎ＆Ｆ中距離殲滅コンビネーション.<B>空間攻撃ブラストカラミティッ！</B>;_
@アニメ自動会話 高町なのは(攻撃) "全力全開";_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "疾風迅雷！";_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp _
画像サイズ=64=88 ビーム色=桃=黄 Explode(Far).wav;ＭＡＰ大爆発 Explode(Nuclear).wav
ブラストカラミティ(命中), 連続大爆発 7 Explode(Far).wav
## ブラカミ ##
ブラストカラミティ(S)(準備), -
ブラストカラミティ(S)(攻撃), Sharara.wav;_
@アニメ自動会話 レイジングハート・エクセリオン "<i>Stand by Ready<i>" "<i>Charge Set．<i>";_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav;_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "フィールド形成！ 発動準備完了！" "お待たせしました。おっきいのいきますっ！";_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp Reload(4).wav 88 UnitID(フェイト＝テスタロッサ);_
10;Charge(2).wav;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) Ｎ＆Ｆ中距離殲滅コンビネーション.<B>空間攻撃ブラストカラミティッ！</B>;_
@アニメ自動会話 高町なのは(攻撃) "全力全開";_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "疾風迅雷！";_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp _
画像サイズ=64=88 ビーム色=桃=黄 Explode(Far).wav;ＭＡＰ大爆発 Explode(Nuclear).wav
ブラストカラミティ(S)(命中), 連続大爆発 7 Explode(Far).wav
## トリブレ ##
トリプルブレイカー(準備), -
トリプルブレイカー(攻撃), @アニメ自動会話 高町なのは(攻撃) "行くよ！ フェイトちゃんっ、はやてちゃん！" ;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "うん…っ！" ;_
@アニメ自動会話 八神はやて(ユニゾンイン) "うん！" ;_
Sharara.wav;@アニメ自動会話 レイジングハート・エクセリオン(エクセリオンモード)(ストライクフレーム・フィン) "<i>Starlight Breaker．</i>" ;15;Charge(2).wav;_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav UnitID(高町なのは);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "全力全開！　スターライトーーッ！" ;_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm).bmp Reload(4).wav 64 UnitID(フェイト＝テスタロッサ);_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "雷光一閃！ プラズマザンバーーーーーッ！" ;_
@戦闘アニメ_落雷準備 Thunder.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_CaneOfReinforce.bmp 32 Reload(4).wav UnitID(八神はやて(ユニゾンイン));_
@戦闘アニメ_粒子集中準備 黒 Charge(2).wav UnitID(八神はやて(ユニゾンイン));_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃２) "響け、終焉の笛！ ラグナロクッ！！";_
@戦闘アニメ_ミッド式魔法陣準備 白 Hittyuu.wav UnitID(八神はやて(ユニゾンイン)) 背面;_
@アニメ自動会話 高町なのは(攻撃) "ブ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレ" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp=EFFECT_NANOHA_CaneOfReinforce2.bmp _
画像サイズ=64=88=48 _
ビーム色=桃=黄=白 MicroMissile.wav
トリプルブレイカー(命中), @戦闘アニメ_同時巨大ビーム命中 ビーム色=桃=黄=白 Explode(Far).wav;_
連続大爆発 7 Explode(Far).wav;@戦闘アニメ_ＭＡＰフラッシュ攻撃 Explode(Nuclear).wav 相手ユニットＩＤ

フェイト＝テスタロッサ
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Yellow)01.bmp 32 Flair.wav 発光 ラウンドシールド
フォトンランサー(準備), 粒子集中 Hittyuu.wav 黄
フォトンランサー(攻撃), 拡散ビームライフル 黄 EFFECT_NANOHA_Bardiche248.bmp 48
フォトンランサー(命中), 拡散ビーム 黄
サンダーレイジ(準備), Hittyuu.wav;@足元巨大魔法陣_フェイト 背面
サンダーレイジ(攻撃), 大電撃
サンダーレイジ(命中), 大電撃
サンダースマッシャー(準備), 射撃武器 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Yellow)01.bmp Hittyuu.wav
サンダースマッシャー(攻撃), ビームランチャー 黄 EFFECT_NANOHA_Bardiche248.bmp 48 Thunder.wav
サンダースマッシャー(命中), 中ビーム 黄
## ディバスマ ##
ディバインスマッシャー(準備), ミッド式魔法陣 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
ミッド式魔法陣 桃 背面 Hittyuu.wav UnitID(高町なのは)
ディバインスマッシャー(攻撃), _
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) いくよ、バルディッシュ;_
@アニメ自動会話 バルディッシュ "<i>Get Set．</i>";_
@戦闘アニメ_射撃武器準備 EFFECT_NANOHA_Bardiche248.bmp 48 Transform.wav UnitID(フェイト＝テスタロッサ);_
@アニメ自動会話 高町なのは(攻撃) こっちもだよ！;音再生 Transform.wav;5;音再生 Sharara.wav;_
@アニメ自動会話 レイジングハート(文字) "<i>Stand by ready．</i>";_
@戦闘アニメ_シューティングモード変形;@戦闘アニメ_射撃武器準備 EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 48 Reload(4).wav UnitID(高町なのは);_
@アニメ自動会話 フェイト＝テスタロッサ "サンダーーー！ スマッシャーーーーーー！！";_
@戦闘アニメ_ビームランチャー攻撃 黄 EFFECT_NANOHA_Bardiche248.bmp 48 Thunder.wav UnitID(フェイト＝テスタロッサ);_
@アニメ自動会話 高町なのは(攻撃) "ディバイーーーーーーン！ バスターーーーーーー！！";_
@戦闘アニメ_ビームランチャー攻撃 桃 EFFECT_NANOHA_RaisingHeart2(ShootingMode)(CeilingMode)48.bmp 48 UnitID(高町なのは)
ディバインスマッシャー(命中), _
@アニメ自動会話 高町なのは(攻撃) せーの！ 3;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) せーの！ 3;_
@戦闘アニメ_同時大ビーム命中 ビーム色=黄=桃
## ブラカミ ##
ブラストカラミティ(準備), -
ブラストカラミティ(攻撃), Sharara.wav;_
@アニメ自動会話 レイジングハート・エクセリオン "<i>Stand by Ready<i>" "<i>Charge Set．<i>";_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav UnitID(高町なのは);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "フィールド形成！ 発動準備完了！" "お待たせしました。おっきいのいきますっ！";_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp Reload(4).wav 88 UnitID(フェイト＝テスタロッサ);_
10;Charge(2).wav;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) Ｎ＆Ｆ中距離殲滅コンビネーション.<B>空間攻撃ブラストカラミティッ！</B>;_
@アニメ自動会話 高町なのは(攻撃) "全力全開";_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "疾風迅雷！";_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp _
画像サイズ=88=64 ビーム色=黄=桃 Explode(Far).wav;ＭＡＰ大爆発 Explode(Nuclear).wav
ブラストカラミティ(命中), 連続大爆発 7 Explode(Far).wav
## ブラカミ ##
ブラストカラミティ(S)(準備), -
ブラストカラミティ(S)(攻撃), Sharara.wav;_
@アニメ自動会話 レイジングハート・エクセリオン "<i>Stand by Ready<i>" "<i>Charge Set．<i>";_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav UnitID(高町なのは);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "フィールド形成！ 発動準備完了！" "お待たせしました。おっきいのいきますっ！";_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp Reload(4).wav 88 UnitID(フェイト＝テスタロッサ);_
10;Charge(2).wav;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) Ｎ＆Ｆ中距離殲滅コンビネーション.<B>空間攻撃ブラストカラミティッ！</B>;_
@アニメ自動会話 高町なのは(攻撃) "全力全開";_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "疾風迅雷！";_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブラストシューートッッ！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブラストシューートッッ！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp _
画像サイズ=88=64 ビーム色=黄=桃 Explode(Far).wav;ＭＡＰ大爆発 Explode(Nuclear).wav
ブラストカラミティ(S)(命中), 連続大爆発 7 Explode(Far).wav
## トリブレ ##
トリプルブレイカー(準備), -
トリプルブレイカー(攻撃), @アニメ自動会話 高町なのは(攻撃) "行くよ！ フェイトちゃんっ、はやてちゃん！" ;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "うん…っ！" ;_
@アニメ自動会話 八神はやて(ユニゾンイン) "うん！" ;_
Sharara.wav;@アニメ自動会話 レイジングハート・エクセリオン(エクセリオンモード)(ストライクフレーム・フィン) "<i>Starlight Breaker．</i>" ;15;Charge(2).wav;_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav UnitID(高町なのは);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "全力全開！　スターライトーーッ！" ;_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm).bmp Reload(4).wav 64 UnitID(フェイト＝テスタロッサ);_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "雷光一閃！ プラズマザンバーーーーーッ！" ;_
@戦闘アニメ_落雷準備 Thunder.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_CaneOfReinforce.bmp 32 Reload(4).wav UnitID(八神はやて(ユニゾンイン));_
@戦闘アニメ_粒子集中準備 黒 Charge(2).wav UnitID(八神はやて(ユニゾンイン));_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃２) "響け、終焉の笛！ ラグナロクッ！！";_
@戦闘アニメ_ミッド式魔法陣準備 白 Hittyuu.wav UnitID(八神はやて(ユニゾンイン)) 背面;_
@アニメ自動会話 高町なのは(攻撃) "ブ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレ" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp=EFFECT_NANOHA_CaneOfReinforce2.bmp _
画像サイズ=88=64=48 _
ビーム色=黄=桃=白 MicroMissile.wav
トリプルブレイカー(命中), @戦闘アニメ_同時巨大ビーム命中 ビーム色=黄=桃=白 Explode(Far).wav;_
連続大爆発 7 Explode(Far).wav;@戦闘アニメ_ＭＡＰフラッシュ攻撃 Explode(Nuclear).wav 相手ユニットＩＤ

八神はやて
## トリブレ ##
トリプルブレイカー(準備), -
トリプルブレイカー(攻撃), @アニメ自動会話 高町なのは(攻撃) "行くよ！ フェイトちゃんっ、はやてちゃん！" ;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "うん…っ！" ;_
@アニメ自動会話 八神はやて(ユニゾンイン) "うん！" ;_
Sharara.wav;@アニメ自動会話 レイジングハート・エクセリオン(エクセリオンモード)(ストライクフレーム・フィン) "<i>Starlight Breaker．</i>" ;15;Charge(2).wav;_
@戦闘アニメ_ミッド式魔法陣準備 桃 背面 Hittyuu.wav UnitID(高町なのは);_
@戦闘アニメ_突く武器準備 EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp Reload(4).wav 64 UnitID(高町なのは);_
@アニメ自動会話 高町なのは(攻撃) "全力全開！　スターライトーーッ！" ;_
@戦闘アニメ_ミッド式魔法陣準備 黄 背面 Hittyuu.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_BardicheAssult(ZamberForm).bmp Reload(4).wav 64 UnitID(フェイト＝テスタロッサ);_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "雷光一閃！ プラズマザンバーーーーーッ！" ;_
@戦闘アニメ_落雷準備 Thunder.wav UnitID(フェイト＝テスタロッサ);_
@戦闘アニメ_振る武器準備 EFFECT_NANOHA_CaneOfReinforce.bmp 32 Reload(4).wav UnitID(八神はやて(ユニゾンイン));_
@戦闘アニメ_粒子集中準備 黒 Charge(2).wav UnitID(八神はやて(ユニゾンイン));_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃２) "響け、終焉の笛！ ラグナロクッ！！";_
@戦闘アニメ_ミッド式魔法陣準備 白 Hittyuu.wav UnitID(八神はやて(ユニゾンイン)) 背面;_
@アニメ自動会話 高町なのは(攻撃) "ブ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレ" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカ" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーー" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーー" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーー" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 フェイト＝テスタロッサ(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 八神はやて(ユニゾンイン)(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@アニメ自動会話 高町なのは(攻撃) "ブレイカーーーーーーーッ！！！" 1;_
@戦闘アニメ_同時巨大ビームランチャー攻撃 _
画像ファイル=EFFECT_NANOHA_CaneOfReinforce2.bmp=EFFECT_NANOHA_RaisingHeartExcellion(ExcellionMode)(StrikeFrame)(Fin)2.bmp=EFFECT_NANOHA_BardicheAssult(ZamberForm)2.bmp _
画像サイズ=48=64=88 _
ビーム色=白=桃=黄 MicroMissile.wav
トリプルブレイカー(命中), @戦闘アニメ_同時巨大ビーム命中 ビーム色=白=桃=黄 Explode(Far).wav;_
連続大爆発 7 Explode(Far).wav;@戦闘アニメ_ＭＡＰフラッシュ攻撃 Explode(Nuclear).wav 相手ユニットＩＤ


ユーノ＝スクライア
攻撃無効化(ラウンドシールド(強)), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Green)01.bmp 32 Flair.wav 発光 ラウンドシールド
フィールド発動(サークルプロテクション), @戦闘アニメ_ミッド式魔法陣準備 Flair.wav 緑 UnitID(ユーノ＝スクライア) 背面
チェーンバインド(準備), ミッド式魔法陣 Hittyuu.wav 緑 背面
チェーンバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Green)01.bmp 32 緑 Whiz.wav
チェーンバインド(命中), ホーミングレーザー 緑 BeamCoat.wav
ストラグルバインド(準備), ミッド式魔法陣 Hittyuu.wav 緑 背面
ストラグルバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Green)01.bmp 32 緑 Whiz.wav
ストラグルバインド(命中), ホーミングレーザー 緑 BeamCoat.wav;粒子噴射 Interference.wav 緑


クロノ＝ハラオウン
攻撃無効化(ラウンドシールド), シールド防御 Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 Flair.wav 発光 ラウンドシールド
ストラグルバインド(準備), ミッド式魔法陣 Hittyuu.wav 青 背面
ストラグルバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 青 Whiz.wav
ストラグルバインド(命中), ホーミングレーザー 青 BeamCoat.wav;粒子噴射 Interference.wav 青
ディレイドバインド(準備), ミッド式魔法陣 Hittyuu.wav 青 背面
ディレイドバインド(攻撃), 拡散ビームライフル Anime\Magic\EFFECT_NANOHA_MidChildaMagicEmblem(Blue)01.bmp 32 青 Whiz.wav
ディレイドバインド(命中), ホーミングレーザー 青 BeamCoat.wav
Ｓ２Ｕ(準備), 振る武器 EFFECT_NANOHA_S2U(WaitMode).bmp 32 Page.wav;_
振る武器 EFFECT_NANOHA_S2U.bmp 32 Reload(4).wav
Ｓ２Ｕ(攻撃), 振る武器突撃 EFFECT_NANOHA_S2U.bmp 32
Ｓ２Ｕ(命中), @戦闘アニメ_白兵武器攻撃;ダメージ FightHit(2).wav
スティンガーレイ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガーレイ(攻撃), レーザーマシンガン 青 EFFECT_NANOHA_S2U2.bmp 48
スティンガーレイ(命中), ニードルレーザー連射 青
スティンガースナイプ(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
スティンガースナイプ(攻撃), 拡散ビームライフル 青 EFFECT_NANOHA_S2U2.bmp 48
スティンガースナイプ(命中), ホーミングレーザー 青
ブレイクインパルス(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
ブレイクインパルス(攻撃), @戦闘アニメ_急降下攻撃共通 EFFECT_NANOHA_S2U.bmp
ブレイクインパルス(命中), @戦闘アニメ_急降下命中共通 EFFECT_NANOHA_S2U.bmp;連続爆発 (Random(3) + 3)
ブレイズキャノン(準備), ミッド式魔法陣 青 Hittyuu.wav 背面
ブレイズキャノン(攻撃), 10;粒子集中 青 Charge(2).wav 対象ユニットＩＤ;_
