
##２００３年９月９日修正
#一部、武装を統合したりしたエフェクトを削除。エフェクト追加

闘神伝
裂空斬, Saber.wav
アイアン・メイデン(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Punch(2).wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
地獄極楽門(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
Ｌ・エクスプロージョン(命中), 3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav
百鬼猛襲剣(命中), 2;Saber.wav;2;Punch.wav;2;Saber.wav;2;Saber.wav;3;Punch.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
万鬼猛襲剣(命中), 2;Saber.wav;2;Punch.wav;2;Saber.wav;2;Saber.wav;3;Punch.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
炎刃修羅破, 2;Fire.wav;5;Saber.wav;3;Beam.wav;3;Beam.wav
炎刃修羅破(命中), Fire.wav
自らを絶つ, 2;Swing(2).wav;5;Stab.wav
自らを絶つ(命中), Hittyuu.wav
美人局流れ桜・乱舞, Stairs(Run).wav
美人局流れ桜・乱舞(命中), 3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav;3;FightHit(1).wav;3;Cannon.wav;3;Cannon.wav;3;Cannon.wav;3;Cannon.wav;3;Cannon.wav
曇怒呼車, Explode.wav
曇怒呼車(命中), Explode.wav
猿的曇怒呼車, Explode.wav
猿的曇怒呼車(命中), Explode.wav
ドンドコショ, Explode.wav
ドンドコショ(命中), Explode.wav
怒々曇発破, -
怒々曇発破(命中), 2;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;4;Explode.wav;7;Swing(2).wav;5;Explode.wav
ドドドンパッパ, -
ドドドンパッパ(命中), 2;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;4;Explode.wav;7;Swing(2).wav;5;Explode.wav

##追加

闘神伝
地獄山蛯, Swing(2).wav
地獄蠎, Cannon.wav
地獄蠎(命中), Fire.wav
地獄粉砕, Swing(2).wav
地獄粉砕(命中), Crash.wav
地獄轟火(命中), Fire.wav
地獄爆破(命中), Explode.wav
超力門土砲(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
月光扇, Swing(2).wav
月光扇(命中), FightHit(2).wav
大地の雄叫び(命中), 3;Combo.wav;6;Swing.wav;9;Shock(Low).wav
風と太陽の怒り, 2;Swing.wav;2;Swing.wav;2;Swing.wav
風と太陽の怒り(命中), Punch(4).wav
無茶蹴り(命中), 2;FightHit(2).wav;2;FightHit(2).wav;2;FightHit(2).wav
大地の目覚め, Missile.wav
大地の目覚め(命中), Shock(Low).wav
