### 銀河連邦警察 --------------------------------------------------------

宇宙刑事ギャバン
蒸着, -
## 混乱, アニーさんは、なんてめんこいんでしょ～～……



### 宇宙犯罪組織マクー --------------------------------------------------------

ドン・ホラー
回避, 頭を使え、頭を！
回避, この腰抜けめ！
回避, 狙い通り、上手く行くかな…？
回避, お前たちの企みが読めぬと思ってか！？
回避(対宇宙刑事), わしが銀河連邦警察などの手にかかるものか……
回避(対宇宙刑事ギャバン), ギャバン！ 無駄なことだ！
回避(対宇宙刑事シャリバン), イガ星もすぐにマクーの支配下に置いてやるわ…！
回避(対宇宙刑事シャイダー), 半人前の宇宙刑事に捕まりはせん！！
ダメージ小, 黙れ！！
ダメージ小, 何と情けない奴だ…！
ダメージ小, せいぜい抵抗を試みるがよいわ！
ダメージ小, 地球がわしの掌に収まる日も近いわ…！
ダメージ小, どうした小童め！ その程度の力でマクーに挑むか！？
ダメージ小, どんな手を尽くそうと我がマクーは磐石！！ いささかも綻びはせん！
ダメージ小(対宇宙刑事), ふっふっふっふっふ……勝手にほざくがよい若造……
ダメージ小(対宇宙刑事ギャバン), 宇宙刑事ギャバンの力もこの程度か…！
ダメージ小(対宇宙刑事シャリバン), 宇宙刑事シャリバン、恐るるに足りん！
ダメージ小(対宇宙刑事シャイダー), 未熟だな、シャイダー……
ダメージ中, 面白い……
ダメージ中, この仕返しは10倍……いや、100倍にして返してやる…！
ダメージ中, ほざくな！ 悪あがきもこれまでだ！
ダメージ中, よもやこれほどの力を持っているとはな…！
ダメージ中, やってくれるわ…！ だが調子に乗るのもそこまでよ！
ダメージ中, なるほど…！ 幾度も我々の邪魔をしてきただけのことはある
ダメージ中(対宇宙刑事), 小僧！！
ダメージ中(対宇宙刑事ギャバン), しぶといギャバンめ！
ダメージ中(対宇宙刑事シャリバン), ぬっ！？ 小賢しいぞシャリバン！
ダメージ中(対宇宙刑事シャイダー), 宇宙刑事シャイダーにしてやられるとはな…！
ダメージ大, ぐうぅっ！！ よくもここまで！！
ダメージ大, こ……これは！？ どうしたことだ！？
ダメージ大, お、おのれ！ 貴様……絶対に許しはせん！！
ダメージ大, ぬおおぉぉぉっ！？ なんという強大なパワー！
ダメージ大, このドン・ホラー……貴様ごときに敗れはせんぞ！！
ダメージ大, えぇい…！ 我が獣星帝国は、こんな所で滅びぬわっ！！
ダメージ大(対宇宙刑事), 忌々しい……宇宙刑事どもめぇぇっ！！
ダメージ大(対宇宙刑事ギャバン), ぬぅぅぅ……宇宙刑事ギャバン、よくも！！
ダメージ大(対宇宙刑事シャリバン), ぐぅおぉっ！？ 恐るべきはイガ・クリスタルのパワー…！
ダメージ大(対宇宙刑事シャイダー), この力、戦士シャイダーの再来だというのか…！？ 認めぬ！！
破壊, 貴様…！！ お……おのれぇぇぇっ！！！
射程外, 押して駄目なら引いてみるのも戦略……
射程外(対宇宙刑事ギャバン), ギャバン！ 今に貴様にとどめを刺してやるぞ…！
攻撃, 我々マクーは地球を植民地化し、犯罪に満ちた惑星にしなければならない……
攻撃, 人間どもから善なる心を奪い取り、悪魔の魂を植えつけるのだ……
攻撃, 奪える物はなんでも奪え！ 血祭りに上げろ！
攻撃, 地球の全てを手に入れ、全宇宙の富と権力を握るのだ！！
攻撃, 世界中を戦争の渦に巻き込むのだ！
攻撃, お前の命は終わる…！
攻撃, 金銀宝石、そして武器、全てマクーのものにせよ！
攻撃, 一対一で勝負だ！
攻撃(対宇宙刑事ギャバン), ギャバンめもいよいよ最期か…！
攻撃(対宇宙刑事ギャバン), ギャバンを罠にかけ、血祭りに上げろ！
攻撃(対宇宙刑事ギャバン), ここは魔空空間、ギャバンに負けるはずがない！
攻撃(対宇宙刑事ギャバン), 何としてもギャバンめの首を……何としてもだ！
攻撃(対宇宙刑事ギャバン), 首が見たい…！ ギャバンめの首を是非とも持って帰ってやる！
攻撃(対宇宙刑事ギャバン), ギャバンがいる限り我がマクーの発展はない！
攻撃(対宇宙刑事ギャバン), 倒せ！ ギャバンを血祭りに上げるのだ！
攻撃(対宇宙刑事ギャバン), ギャバンさえいなければ地球はマクーの思いのままになるのだ！
攻撃(対宇宙刑事ギャバン), ギャバン！ よくぞここまで来た……
攻撃(対宇宙刑事ギャバン), 待っていたぞ、ギャバン！！
攻撃(対宇宙刑事シャリバン), ギャバンともども小僧を、地獄へ送りこむのだ！
攻撃(対宇宙刑事シャリバン), 貴様の次は、邪魔なオルガナイザーどもを残らず滅ぼしてくれる！
攻撃(対宇宙刑事シャイダー), ギャバンともども小僧を、地獄へ送りこむのだ！
攻撃(対宇宙刑事シャイダー), 戦士シャイダーの伝説……今ここで終わるのだ！！
サポートアタック, まともにぶつかって勝てる相手ではない！
サポートアタック(サン・ドルバ), いつまで奴をのさばらせておくのだ、サンドルバ！
サポートガード, おたおたするな！ 作戦を貫徹せよ！
サポートガード(ダブルモンスター), 怯むなダブルモンスター！
サポートガード(サン・ドルバ), まだまだ未熟だなサン・ドルバ……




ハンターキラー
回避, あきらめろ！！
回避, ハハハハハハ……飛んで火にいる何とやら
回避, うまくいくかな？
回避, この俺を甘く見るな！
回避, 貴様の目は節穴のようだな
回避(対宇宙刑事), 宇宙刑事のやり口はよく知っているぞ！
回避(対宇宙刑事ギャバン), ギャバン、お前は見事に我々の罠にはまった！
回避(対宇宙刑事シャリバン), はははははは！ どうしたシャリバン！
回避(対宇宙刑事シャイダー), 無駄なあがきはやめろ、シャイダー！
ダメージ小, 大人しくするんだ！
ダメージ小, 何をする！
ダメージ小, 反抗は許さん！
ダメージ小, 作戦の邪魔だ！ 消え失せろ！
ダメージ小, 無駄に力はあり余っているようだな
ダメージ小(対宇宙刑事), それでよくも宇宙刑事などと……
ダメージ小(対宇宙刑事ギャバン), ふっふっふ。立派だよギャバン
ダメージ小(対宇宙刑事ギャバン), しゃしゃりでおったなギャバンめ！
ダメージ小(対宇宙刑事シャリバン), 鬱陶しいぞシャリバンめ！
ダメージ小(対宇宙刑事シャイダー), 予想通りだ。シャイダーなど恐るるに足りん！
ダメージ中, もう一手打つ必要があるな…！
ダメージ中, ぐぁぁぁぁっ！ なんだと！
ダメージ中, こんなところで手間取っている場合ではないのだ！
ダメージ中, ちっ！ 貴様のおかげで作戦が狂ってしまったわ！
ダメージ中, おのれ！ 目障りなっ！！
ダメージ中(対宇宙刑事), ぐっ！ ……さすが宇宙刑事というわけか！
ダメージ中(対宇宙刑事ギャバン), こしゃくなギャバン！！
ダメージ中(対宇宙刑事ギャバン), ギャバンはしぶとい！
ダメージ中(対宇宙刑事シャリバン), シャリバンめもなかなかやるらしい！
ダメージ中(対宇宙刑事シャイダー), シャイダーごときに油断したか！？
ダメージ大, なんだと！？
ダメージ大, このままでは済まさんぞ…！！
ダメージ大, くそぉっ！ 貴様のおかげで……絶対に許さん！！
ダメージ大, 貴様ぁぁ！！ 今に見ておれぇぇ！！
ダメージ大, なんだとっ！？ このままでは……おのれぇぇぇ！！
ダメージ大(対宇宙刑事), 宇宙刑事め！ 貴様らには絶対に負けんぞ！
ダメージ大(対宇宙刑事ギャバン), ギャバンめ…！
ダメージ大(対宇宙刑事ギャバン), おのれギャバン！
ダメージ大(対宇宙刑事シャリバン), くそっ！ シャリバンの潜在能力を侮ったか！
ダメージ大(対宇宙刑事シャイダー), なんだと！？ シャイダーにこれほどの力があるなどという話は！
破壊, 退けっ！
破壊, あと一歩のところで…！
破壊(バリオゼクター), お……俺が最強だぁぁぁーーっ！！！
破壊(対宇宙刑事ギャバン), ギャバンめを倒す絶好のチャンスだったのに！
射程外, 何者だ！？
射程外, い、いない！？ どこだ！
射程外, 弾切れだと！？ そんな馬鹿な！！
射程外(対宇宙刑事ギャバン), ギャバンがいない！
攻撃, 地球はまもなく我々マクーのものになるのだ！
攻撃, かかれ！
攻撃, 東京を火の海にする！
攻撃, 我々マクーの邪魔をする者はみんな地獄へ落ちる！
攻撃, 逃がすな！
攻撃, 作戦開始だ！
攻撃, 貴様は地獄への道を一歩一歩、歩いているのだ！
攻撃, よし、私に任せろ！
攻撃, 逃げられはしない！
攻撃, もうおしまいだ。ここがお前の墓場となる！
攻撃, マクーに楯突く奴は絶対に生かしてはおかん！
攻撃, そこだっ！！
攻撃(バリオゼクター), ふっ……この俺が最強であることを証明してやる！
攻撃(対宇宙刑事), 宇宙刑事だ！ 生かして帰すな！
攻撃(対宇宙刑事), 宇宙刑事！ 今度こそ地獄に送ってやる！
攻撃(対宇宙刑事ギャバン), ギャバン！！
攻撃(対宇宙刑事ギャバン), ギャバン！ 地獄へ落ちろ！
攻撃(対宇宙刑事ギャバン), ギャバン！ お前の父ボイサーは地獄へ落ちた…！
攻撃(対宇宙刑事ギャバン), 死ね、ギャバン！
攻撃(対宇宙刑事ギャバン), ギャバン！ お前はもう袋のネズミだ！ 逃げられはしないぞ！
攻撃(対宇宙刑事ギャバン), ギャバンを討て！ ギャバンだ！
攻撃(対宇宙刑事シャリバン), 覚悟しろシャリバン！
攻撃(対宇宙刑事シャイダー), くたばれ、シャイダー！
攻撃(対宇宙刑事リリィ), 目障りな女宇宙刑事だ！
攻撃(対女宇宙刑事アニー), 目障りな女宇宙刑事だ！
攻撃(対メタルダー), ええい！ 超人機を始末しろ！
攻撃(対魔女モニカ), この女を野放しにしておいては俺の地位が危ない…！
攻撃(対ドクターポルター), この女を野放しにしておいては俺の地位が危ない…！
攻撃(対神官ポー), この女を野放しにしておいては俺の地位が危ない…！
キラービーム, キラービーム！！
ハンターボンバー, 死ねぇっ！！
ハンターボンバー, ハンターボンバー！！
サポートアタック, 喜ぶのはまだ早い！ 罠に落とし込むのはこれからだぞ！
サポートアタック, チャンスだ！
サポートアタック, ふん！ 安心するのは、早いぞ！
サポートアタック, 俺が手を貸してやるぜ！
サポートガード, なんだあの戦いぶりは！？
サポートガード(宇宙刑事ギャバン), チッ…！ 何をしていやがるギャバン！

## こ、こんな俺だが……最後は、宇宙刑事として……死にたかった……




サン・ドルバ
回避, 出てきおったな。俺の作戦は成功だ！
回避, 今度こそ俺様の勝ちだな。はははははは！！
回避, ハハハハハハハハッ！ なにをしている！
回避, 貴様は所詮その程度ということだ！
回避, フハハハハッ！ たやすいわ！
回避, フン！ キバの力がなくてもこの程度かわせるわ！
回避, どこを狙っている？ 私が怖いのか！？
回避(対宇宙刑事ギャバン), 今度ばかりは、ギャバンも手出しはできまいが！
回避(対宇宙刑事ギャバン), ふふふふ……罠に落ちたなギャバン！
ダメージ小, なんたる侮辱…！
ダメージ小, 黙れぇ！！
ダメージ小, チッ……油断したか
ダメージ小, ハハハハハッ！ こそばゆいわっ！
ダメージ小, 弱い！ 弱すぎるぞっ！
ダメージ小(対宇宙刑事ギャバン), 逃げ出すなら今だぞギャバン
ダメージ小(対宇宙刑事シャリバン), これが宇宙刑事シャリバンか？ 笑わせてくれる！
ダメージ小(対宇宙刑事シャイダー), シャイダー！ 貴様の攻撃などこの俺に通じるものか！
ダメージ中, なにぃ？ 食らいついてきおったか！
ダメージ中, なるほど……こいつは面白い！
ダメージ中, なんだと！？ こらぁ！！
ダメージ中, こしゃくなぁ！！
ダメージ中, くっ！ キバ！ こやつは何者だ！？
ダメージ中(対宇宙刑事ギャバン), おのれギャバンめ！
ダメージ中(対宇宙刑事ギャバン), しぶといギャバンめ！
ダメージ中(対宇宙刑事シャリバン), この俺に手傷を……やりおったな、シャリバン！
ダメージ中(対宇宙刑事シャイダー), まだだシャイダー！ この程度ではやられん！
ダメージ中(対女宇宙刑事アニー), くっ、強情な女だ！
ダメージ大, 俺は負けたことは一度もないんだ！！
ダメージ大, まだ負けたわけじゃないんだ！
ダメージ大, おい、どうしたんだ！？
ダメージ大, ぬっ！？ どうしたことだ！？
ダメージ大, どうすればいいんだ、キバ！？
ダメージ大(対宇宙刑事ギャバン), なんとしぶとい奴だ……ギャバンめ！！
ダメージ大(対宇宙刑事シャリバン), なんたる屈辱……許しはせんぞシャリバン！！
ダメージ大(対宇宙刑事シャイダー), どおっ！？ くそぉ……おのれ、シャイダーめ！！
破壊, なんてことだ…！
破壊, 父上ぇぇぇーーっ！！
射程外, キバ、なんかいい知恵はないか？
射程外, 向こうからやってくるはずだ……
射程外, ようし……ここへ誘い込んでやる！
攻撃, 宇宙の魔王、ドン・ホラーの息子！.マクーの行動隊長、サン・ドルバだ！
攻撃, 一対一で勝負して、絶対に勝ってみせる！
攻撃, どけい！！
攻撃, いくぞ！ ぬおぉぉーっ！！
攻撃, だあぁぁぁーーっ！！
攻撃, 俺は一人前のマクーの行動隊長だ！
攻撃, 逃がさん！
攻撃, 俺は俺の力だけでやってみせる！ 必ずだ！
攻撃, 父上、楽しみに待っていてください！
攻撃, さあ見ていてください、父上！
攻撃, おのれぇ！ 皆殺しだ、やれ！
攻撃, 銀河中を暴れ回ってやる！
攻撃, さあ、今度こそ決着をつけてやる！
攻撃, ふっ！ いいだろう、かかってこい！
攻撃, 待てい！ 逃がさんぞ！
攻撃, 俺の本当の力を見せてやるんだ！
攻撃, 決着をつけてやる！
攻撃(対宇宙刑事ギャバン), ようこそギャバン！！
攻撃(対宇宙刑事ギャバン), 貴様の父ボイサーは地獄へ落ちた…！;貴様も首を洗って、地獄の門で待っているんだな！
攻撃(対宇宙刑事ギャバン), さらばだギャバン！！
攻撃(対宇宙刑事ギャバン), 俺は戦うぞ、ギャバンと！！
攻撃(対宇宙刑事ギャバン), ギャバンとてもひとたまりもあるまい！
攻撃(対宇宙刑事ギャバン), 今度こそ……絶対にギャバンを倒してみせる！ 必ず！
攻撃(対宇宙刑事ギャバン), ギャバン。とうとうお前を地獄に追いつめる時が来たな！
攻撃(対宇宙刑事ギャバン), ようし、今度こそギャバンを仕留めたぞ！
攻撃(対宇宙刑事ギャバン), 地獄へ落ちろギャバン！！
攻撃(対宇宙刑事シャリバン), 宇宙刑事シャリバン……おのれぇ！！
攻撃(対宇宙刑事シャリバン), シャリバン！ 地獄へ落ちろ！
攻撃(対宇宙刑事シャリバン), 邪魔をするな、シャリバン！！
攻撃(対宇宙刑事シャイダー), 貴様は宇宙刑事シャイダー！
攻撃(対宇宙刑事シャイダー), シャイダー！ 俺と勝負しろ！
攻撃(対宇宙刑事シャイダー), いくぞシャイダー！！
攻撃(対宇宙刑事リリィ), シャリバンの仲間とやらか！
攻撃(対女宇宙刑事アニー), 観念しろアニー！
攻撃(対ハンターキラー), 虫の好かないスパイ野郎め！！
攻撃(対忍風戦隊), おのれチョロチョロと！ 小賢しい忍者ども！
攻撃(対岸田文夫(新マン)), ＭＡＴは今日で解散だ！ 貴様らはマクーの奴隷として使ってやる！
マクー戦闘円盤, 総攻撃、開始！
マクー戦闘円盤, よし！ 戦闘円盤、出撃！
マクー戦闘円盤, よし！ レーザー砲、発射！！
マクー戦闘円盤, 戦闘円盤出動！
マクー戦闘円盤, 戦闘円盤！ 攻撃せよ！
マクー戦闘円盤, おのれぇ！ 戦闘円盤、出撃！
マクー戦闘円盤(対電子星獣ドル), 戦闘円盤、出撃せよ！ ドルを撃ち落とせ！！
太陽の剣, これが不思議な力を秘める太陽の剣か…！ 見事！
太陽の剣, この剣がお前の血を欲しがっているぞ！
サポートアタック, 怯むな！ いけいけ！！
サポートアタック, そう、これからが本番！
サポートアタック(魔女キバ), さすがオババ！
サポートアタック(ダブルモンスター), いいぞダブラー！
サポートガード(魔女キバ), どうしたんだキバ！？
サポートガード(ダブルモンスター), ダブラー！ 何をもたもたしているんだ！？

## やめろ！！ いつまでも子供扱いはやめろ！
## 俺は一人前のマクーの行動隊長だ！ キバの助けはもう要らんのだ！！
## 魔空空間はどうしたのだ！？
## なんて奴だあのボイサーという男は！




魔女キバ
回避, そうじゃ。閃いたぞ。フフフフ……ウフフフフフ！！
回避, 来てみぃ。へへへへへへへ…！
回避, あははは、どうじゃ！ あはは、へへへへへ！！
回避, ここを使うのじゃ、ここを。……ウフフフフフ！
回避, ほれ？ どこ見とる？ わしはこっちじゃ
回避, ふぇっふぇっふえっ。何をやっておられるのやら……
回避(サン・ドルバ), 息子よ、素晴らしい戦いぶりじゃ
回避(サン・ドルバ), ハハハハ……息子よ。ここを使えばよいのじゃ
回避(対宇宙刑事ギャバン), ハハハハハハハ！ ギャバンめ！ かかりおったな
分身, 来てみぃ。へへへへへへへ…！
分身, あははは、どうじゃ！ あはは、へへへへへ！！
分身, ここを使うのじゃ、ここを。……ウフフフフフ！
分身, ほれ？ どこ見とる？ わしはこっちじゃ
分身, ふぇっふぇっふえっ。何をやっておられるのやら……
分身(対宇宙刑事ギャバン), ハハハハハハハ！ ギャバンめ！ かかりおったな
ダメージ小, いかん、いかん、とんでもない！
ダメージ小, いけるっ！ こりゃ絶対じゃ、こりゃ！
ダメージ小, フェーフェッフェッ！ かぁすっただけじゃわい
ダメージ小, クゥヘェフェッフェッフェッ！ なぁんじゃ今のは？
ダメージ小, きぃくものかぁ。フヒヒへへへへッ
ダメージ小(サン・ドルバ), 焦るなぁ！
ダメージ小(対宇宙刑事ギャバン), ギャバン！ どうじゃあ！ アハハハハハハ！！
ダメージ小(対ハンターキラー), アハハハハハハ、どうしたハンターキラー！
ダメージ中, どうしたことじゃ！？ はて！？
ダメージ中, な、何事じゃ！
ダメージ中, なんたること…！ ワシの術が効かぬかぇ？
ダメージ中, くぅぅっ…！ このままでは……そうはさせぬぞぉ！
ダメージ中, なぁんたること！？.このワシともあろうものが読み誤ってしまったわい
ダメージ中(対宇宙刑事ギャバン), ギャバンとまともに立ち会えば、相討ちになる可能性の方が強い…！
ダメージ大, あぁぁ、このままでは敗北じゃ！
ダメージ大, 息子よ…！ サン・ドルバぁぁ～…！
ダメージ大, こ、このままではやられる！？
ダメージ大, わ、わしがこのままで終わると思ったのかぇ！
ダメージ大, お、お前は必ず地獄に送ってやるわァ！！
ダメージ大(対宇宙刑事ギャバン), うう、妖術が！？ おのれ、ギャバン！
破壊, ウッ！？ バカな……ううううう！？
脱出, 今日のところは、退いてやるわぁ。……覚えておれ！
射程外, 見えん！ わしにも見えぬとは、いったいどこからじゃ！？
射程外, 覚えておれよぉ！ ここに近づいたが、主の最後じゃ……
射程外, なんと！？ このキバの不覚じゃ
攻撃, へへへへへへへ…！
攻撃, わしに任せろ…！
攻撃, ほれぇ！！
攻撃, このキバに、任せておけ。イヒヒヒヒ…！
攻撃, そろそろ……とどめじゃ！！
攻撃, まかせとけ！ ……ハハハハハハ！
攻撃, イヒ、イヒヒヒヒヒ。ここが、お前たちの墓場よ！
攻撃, 苦しめ…！ 苦しみ抜いて死ぬのだァ！
攻撃, どうじゃぁ？ ヒャハハハハ！
攻撃, へへへへハハハ…！ 苦しめぇ、苦しめぇ
攻撃, 息子のために、死ぬのだァ！
攻撃(念動力), キバキバイレバダブラ……ほい！
攻撃(念動力), キィバキバイデババマクゥキバァァッ！！
攻撃(念動力), キィバキィバイデェバババァァッ！！
攻撃(妖術), 妖術で奴を金縛りにしてやる……その隙に！
攻撃(妖術), 奴を罠にかけるのじゃ…！
攻撃(妖術), これでぇおぬしは動けない…….ヒィーヒッヒッヒッヒィッ！
攻撃(対一条寺烈), 敵ながらいい男……
攻撃(対宇宙刑事ギャバン), 敗れたりギャバン！！
攻撃(対宇宙刑事ギャバン), ギャバンを地獄に送ってやるのじゃ。イィヒヒヒヒ…！
攻撃(対宇宙刑事ギャバン), えへへへへ…！ ギャバンめの命もまさに風前の灯というわけじゃな
攻撃(対宇宙刑事ギャバン), 長年の恨み！ やれやれ！
攻撃(対宇宙刑事シャリバン), 幻夢界より素敵な夢を見せてやろう……ヒィーヒッヒッヒッヒィッ！
攻撃(対宇宙刑事シャイダー), 未熟な者ほど、ワシの妖術の効き目は絶大よ。うひひひひひ…！
攻撃(対宇宙刑事アラン), アランよ！ ここが、お前たちの墓場よ。ぬふふふふふふ！！
攻撃(対ハンターキラー), もうハンターキラーの利用価値はない！ ホホホホ…！
攻撃(対キバレンジャー), 貴様の気力……ヒヒヒヒ！ ワシの妖術で奪い尽くしてやるわい！
攻撃(対仮面ライダーキバ), このキバが、ガブっとかみついてやろうかの…！
攻撃(対仮面ライダーキバ), お前さんの魔皇石を奪って、このキバがエンペラーになるのじゃ！
攻撃(対ＺＡＴ), キバ作戦じゃあ！！
攻撃(対ＺＡＴ), えへへへ…！ ＺＡＴを壊滅させれば、東京を攻め落とすのは容易いのじゃ！
攻撃(サン・ドルバ), 今じゃ、息子よ！
攻撃(サン・ドルバ), 今だサン・ドルバ、ゆけ！
攻撃(サン・ドルバ), やれやれぇ！
攻撃(サン・ドルバ), えへへへへ…！ この作戦もわしが考えたものじゃ。忘れるでないぞサン・ドルバ
攻撃(サン・ドルバ), 今じゃサン・ドルバ！
サポートアタック, 確実に、息の根を止めるのじゃ！
サポートアタック, すぐに殺すのはもったいないわけじゃな
サポートアタック, 最後のとどめじゃ、ゆけぇ！！
サポートアタック(サン・ドルバ), サン・ドルバ、一人では無理じゃ！ とても無理じゃ！
サポートアタック(サン・ドルバ), 息子よ！ これ、息子よ！ ちょっとお待ち！
サポートアタック(サン・ドルバ), 息子よ、素晴らしい戦いぶりじゃった
サポートガード, グズグズするにゃあ！！
サポートガード, 一人で立ち向かうのは危険じゃ！
サポートガード(サン・ドルバ), サンドルバは、わしが腹を痛めて産んだ息子じゃ！
サポートガード(サン・ドルバ), 可愛い息子を殺してなるものか！
サポートガード(サン・ドルバ), これ、せがれや！ 無茶をしちゃいかん！
サポートガード(サン・ドルバ), お前はマクーのプリンスじゃ、大事な体なんじゃぞ！

## 攻撃(対宇宙刑事アラン), ビーズ星を、マクーの意のままにするためには、リン王女を絶対に生かして帰してはならないのだ！




兵士クラッシャー(ザコ)
回避, キィィッ！
回避, キキィィッ！ キィィッ！
ダメージ小, キィィッ！
ダメージ中, キキィィィッ！
ダメージ大, キキキィィィィィッ！
破壊, キィキィィィィーーッ！
射程外, …………
攻撃, キィィッ！
攻撃, キッキィィッ！
攻撃, キキィィッ！ キィィッ！


ベム怪獣(ザコ)
回避, クケェェェェェェッ！！
回避, シギャァァァァァッ！！
回避, クワァァァァァァッ！！
回避, サキャァァァァァッ！！
回避, チョワァァァァァッ！！
ダメージ小, クケェェェェェェッ！！
ダメージ小, シギャァァァァァッ！！
ダメージ小, クワァァァァァァッ！！
ダメージ小, サキャァァァァァッ！！
ダメージ小, チョワァァァァァッ！！
ダメージ中, クケェェェェェェッ！！
ダメージ中, シギャァァァァァッ！！
ダメージ中, クワァァァァァァッ！！
ダメージ中, サキャァァァァァッ！！
ダメージ中, チョワァァァァァッ！！
ダメージ大, クケェェェェェェッ！！
ダメージ大, シギャァァァァァッ！！
ダメージ大, クワァァァァァァッ！！
ダメージ大, サキャァァァァァッ！！
ダメージ大, チョワァァァァァッ！！
破壊, ギニャァァァァァッ！？
破壊, ギュェェェェェェェェ！！！
射程外, グゾォォォォォォッ！！
射程外, クゥゥェェェェェッ！！
攻撃, クケェェェェェェッ！！
攻撃, ホグァァァァァァッ！！
攻撃, シギャァァァァァッ！！
攻撃, クワァァァァァァッ！！
攻撃, サキャァァァァァッ！！
攻撃, チョワァァァァァッ！！



獣星人ダブルマン(ザコ)
回避, ふはははははは！
回避, 上手くいったぞ。ふははははは！
回避, へへへへへへ！
回避, やったぁぁ！！
回避, そんなものは余裕でかわせるわ！
回避(対宇宙刑事ギャバン), 来たかギャバン！
回避(対宇宙刑事ギャバン), ふっふふ。来たなギャバン
回避(対宇宙刑事ギャバン), かかったな！ ギャバン！
ダメージ小, ええい、やめろ！
ダメージ小, ふははははは！ 他愛のない奴だ！
ダメージ小, やるならさっさとやれぇ！
ダメージ小, なんだこんなもの！
ダメージ小, ぐははははっ！ なんだそれは！？
ダメージ小(対宇宙刑事ギャバン), もう手遅れだ！ ギャバン！
ダメージ小(対宇宙刑事ギャバン), 黙れギャバン！！
ダメージ小(対宇宙刑事ギャバン), ハハハハハハ……無駄だよギャバン
ダメージ中, おのれぇ！
ダメージ中, 貴様ぁ！！
ダメージ中, こしゃくな！
ダメージ中, 貴様っ、許さん！
ダメージ中, 貴様ぁ！ ただではおかんぞ！
ダメージ中(対宇宙刑事ギャバン), ええい、ギャバンめ！
ダメージ中(対宇宙刑事ギャバン), これからが勝負だ！ ギャバン！
ダメージ中(対宇宙刑事ギャバン), ギャバン、今に見ておれよ！
ダメージ大, 貴様、何者だ！？
ダメージ大, うわぁぁぁーーっ！！
ダメージ大, ぐわぁっ！！
ダメージ大, お、おのれぇぇっ！
ダメージ大, ぐおおおっ！？ つ、強い！！
ダメージ大(対宇宙刑事ギャバン), ええいっ！ おのれギャバン！！
ダメージ大(対宇宙刑事ギャバン), おのれギャバァァァン！！
ダメージ大(対宇宙刑事ギャバン), おのれギャバン！ だがわしは、お前を倒すまで絶対に死なないぞ！
ダメージ大(対宇宙刑事シャリバン), おのれシャリバン！！
破壊, うおおおおっ！！？
破壊, くっそぉ…！ 退けぇ！！
破壊, うああぁぁぁぁ……あ……
破壊, ううううおっ！？
射程外, おのれっ、どこ行きやがった！？
射程外, どこだ！？
攻撃, 秘密を知ったからには生きては帰さん！
攻撃, やれ！
攻撃, かかれぇ！！
攻撃, せやあっ！！
攻撃, だあっ！！
攻撃, 獣星人ダブルマン！ はははははは！！
攻撃, 地獄へ送り込めぇ！！
攻撃, 今に東京は火の海だ！
攻撃, ぬおぁぁぁーーーっ！！
攻撃, いかにも私は、獣星人ダブルマンだ！！
攻撃, くらえーっ！！
攻撃, いくぞぉぉーーっ！！
攻撃, 見ておれ！
攻撃, ようし！ 今度こそ、叩きのめしてやる！
攻撃(獣星人ダブルマン(魔人兜)), これさえあれば、私は無敵だ！
攻撃(獣星人ダブルマン(魔人兜)), 魔人兜にかなう敵はいない！ ゆくぞ！！
攻撃(マクー戦闘円盤), 戦闘円盤出動！
攻撃(マクー戦闘円盤), 戦闘円盤、発進！
攻撃(マクー戦闘円盤), ようし、木っ端微塵だ！
攻撃(マクー戦闘円盤), 燃えろ！ 燃えろ！！
攻撃(対宇宙刑事), 宇宙刑事を地獄に叩き込め！
攻撃(対宇宙刑事ギャバン), ギャバン、覚悟！
攻撃(対宇宙刑事ギャバン), うははははは！ さらばだギャバン！
攻撃(対宇宙刑事ギャバン), ギャバン！ いくぞぉぉーっ！！
攻撃(対宇宙刑事ギャバン), 手土産は、ギャバンとやらの首でいいんだな！
攻撃(対宇宙刑事ギャバン), ギャバン！ こぉい！！
攻撃(対宇宙刑事ギャバン), ギャバン、待っていたぞ！
攻撃(対宇宙刑事ギャバン), ギャバンを血祭りに上げろ！！
攻撃(対宇宙刑事シャリバン), シャリバン！ 覚悟ぉぉーっ！！
攻撃(対宇宙刑事シャイダー), シャイダーめ！ くらえ！
サポートアタック, ぬははははは！ 今度は俺が相手だ！
サポートアタック, ふははははは！ 追いつめてとどめを刺せ！
サポートガード, 何をボヤボヤしているんだ！




ダブルモンスター(ザコ)
回避, ふはははははは！
回避, へへへへへへ！
回避, やったぁぁ！！
回避, はははは！ ここまで来い！
回避, ふっふっふ……飛んで火に入るなんとやら
回避, もうこっちの思うがままだ！
回避, うまくいったぞ！
回避(対宇宙刑事ギャバン), ギャバンの奴、何をしているのやら……
回避(対宇宙刑事ギャバン), 引っかかったなぁ、ギャバン！
回避(対宇宙刑事ギャバン), まんまとはまりおったなギャバン！
回避(対宇宙刑事シャリバン), はまったなシャリバン！
回避(対宇宙刑事シャイダー), シャイダー！ 愚か者め！
ダメージ小, やかましい！ 邪魔するな！
ダメージ小, さあ！ 本気でかかってこい！！
ダメージ小, 黙れ小僧！！
ダメージ小, 何もたじろぐことはない！
ダメージ小, うるさい！
ダメージ小, 下手な真似をするんじゃないぞ！
ダメージ小(対宇宙刑事), 小僧、なめたらいかんぞ！
ダメージ小(対宇宙刑事ギャバン), どうしたギャバン！
