# ロマンシングサ・ガ２ モンスター
# 装備武器
影ぬい(ダート),            0, 1, 2, -10,  3,   -,   -, AABA, +15, 実格縛
スミ,                      0, 1, 2, +30,  -,   5,   -, AAAA, +10, 盲視
ナップ,                    0, 1, 2, +30,  -,  10,   -, AA-A, +15, 魔術木眠
催眠,                      0, 1, 2,  +5,  -,  10,   -, AAAA, +10, 精眠Ｐ
ステップ,                  0, 1, 3, +20,  -,   5,   -, AAAA, +15, 踊
ララバイ,                  0, 1, 3, +10,  -,   5,   -, AAAA, +10, 音眠
テラーボイス,              0, 1, 3,  +0,  -,   5,   -, AAAA, +15, 音乱
凝視<麻痺>,                0, 1, 3, +10,  -,  10,   -, AAAA, +10, 痺視
凝視<魅惑>,                0, 1, 3, +10,  -,  10,   -, AAAA, +10, 魅視
凝視<石化>,                0, 1, 3, +20,  -,  10,   -, AAAA, +20, 石視
誘惑,                      0, 1, 3,  +5,  -,  20,   -, AAAA, +20, 精魅
スフィンクスリドル,        0, 1, 3, +10,  -,  30,   -, AA-A, +20, 即
ナイトメア,                0, 1, 3, +30,  -,  30, 110, AAAA,  +5, 精眠魅乱狂
影ぬい,                    0, 1, 4, -10,  3,   -,   -, AABA, +15, 実格縛
スパイダーネット,          0, 1, 4, +30,  5,   -,   -, AA-A, +10, 実縛
毒霧,                    400, 1, 2, +20,  -,  10,   -, AA-A, +15, 毒
毒液,                    500, 1, 2, +10,  -,  10,   -, AA-A, +20, 毒
強酸,                    600, 1, 2,  +0,  -,  20,   -, AA-A, +20, 劣
ソーンバインド,          600, 1, 3, +10,  -,  20,   -, -ABA, +15, 魔術木縛
なぎ払い,                700, 1, 1, +10,  -,   -,   -, AAAA, +10, 武Ｓ
脳天割り,                700, 1, 1,  +5,  -,   -,   -, AAAA, +10, 突Ｓ
ブラックジャック,        700, 1, 1,  +0,  -,   -,   -, AAAA, +10, 突Ｓ
猛毒ガス,                700, 1, 3, +20,  -,  10,   -, AACA, +30, 毒
みね打ち,                800, 1, 1, +20,  -,   -,   -, AAAA, +10, 突Ｓ
ライトボール,            800, 2, 4, +20,  -,   5,   -, AA-A,  +0, Ｂ盲
毒爪,                    900, 1, 1, +35,  -,   -,   -, AAAA, +20, 突毒
毒牙,                    900, 1, 1, +30,  -,   -,   -, AAAA, +20, 突毒
毒撃,                    900, 1, 1, +30,  -,   -,   -, AAAA, +20, 突毒
サミング,                900, 1, 1,  +0,  -,   5,   -, AAAA, +20, 突盲
ポイゾンスピット,        900, 1, 3,  +5,  -,  10,   -, AACA, +20, 毒盲
クリスタライザー,        900, 1, 3, +10,  -,  25,   -, AABA, +20, 石
毒針,                    900, 1, 3,  +5, 10,   -,   -, AABA, +15, 実毒
クチバシ,               1000, 1, 1, +20,  -,   -,   -, AAAA, +10, 突盲
巻き付き,               1000, 1, 1, +15,  -,   -,   -, AAAA, +20, 突縛
外道剣,                 1000, 1, 1,  +0,  -,  10,   -, AAAA, +15, 武毒
胞子,                   1000, 1, 3, +30,  -,   5,   -, AAAA, +10, 毒
アシッドスプレー,       1000, 1, 3, +10,  -,  20,   -, AACA, +10, 劣
骨砕き,                 1100, 1, 1, +15,  -,  10,   -, AAAA, +10, 突低攻
スカルクラッシュ,       1100, 1, 1, +15,  -,  10,   -, AAAA, +10, 突低攻
イド・ブレイク(ダート), 1100, 1, 2,  -5, 15,  10,   -, AABA, +15, 実格乱
ミヅチ,                 1100, 1, 3, -10,  -,  10,   -, AAAA, +10, 格毒
イド・ブレイク,         1100, 1, 4,  -5, 20,  10,   -, AABA, +15, 実格乱
脳削り,                 1200, 1, 1, +10,  -,  10,   -, AAAA,  +5, 武不L1
溶解液,                 1200, 1, 1,  +0,  -,  20,   -, AAAA, +10, 劣
エルフダート,           1300, 1, 2,  +0,  5,  10,   -, AABA, +10, 実格Ｐ冷低攻
デスグリップ,           1300, 1, 1, +10,  -,  10,   -, AAAA, +20, 突痺
超振動剣,               1300, 1, 1, +15,  -,  15,   -, AAAA, +20, 武痺
バスタースイング,       1500, 1, 2,  +0,  -,  20,   -, AAAA, +20, 武格Ｓ
ソウルフリーズ,         1500, 1, 3, -10,  -,  30,   -, AAAA, +10, 魔術冷痺

死人ゴケ,                  0, 1, 3,  +0,  1,  20,   -, AA-A, +10, Ｍ全識毒狂
スパークリングミスト,      0, 1, 3, +10,  -,  20,   -, AA-A, +15, 魔術撹Ｍ投L1
ナイトコール,              0, 1, 4, +30,  -,  40,   -, AAAA, +10, Ｍ全精眠
バードソング,            200, 1, 3, +20,  -,  20,   -, AA-A, +15, Ｍ全音Ｓ
サイレン,                500, 1, 3, +15,  1,  20,   -, AAAA, +10, Ｍ全音撹
でたらめダート,         1000, 1, 2, -25,  3,   -,   -, AABA,  +0, 実格Ｍ扇L2
でたらめ矢,             1000, 1, 3, -30,  2,   -,   -, AABA, -10, 実格Ｍ扇L2
大回転,                 1000, 1, 2, +15,  -,  30, 100, AAAA, -10, 実格ＰＭ全

冷気(バリア),           1000, 1, 1, +30,  -,   -,   -, AAAA,  +0, 冷当<当て身技>
セルフバーニング,       1100, 1, 1, +30,  -,   -,   -, AA-A,  +0, 魔術火射当<当て身技>

