ライブアライブ
####現代編####
烈風正拳突き, 打突
すれ違い刺し, 刺突突撃
水トンの術, 津波
チョトイイデスカ, 格闘
カーテクダサーイ, 立ち固め
####中世編####
カットワンウェイ(準備), ソード
カットワンウェイ, なぎ払い
Ｖシャイン(準備), ソード
Ｖシャイン(攻撃), 振り下ろし;振り上げ
Ｖシャイン(命中), 決め文字 Ｖ 黒 Slash.wav
ハンマーパワー, ソード
ハンマーパワー(命中), 強打
ソードビュー, ソード
ソードビュー(攻撃), スーパーブーメラン 青 Whiz.wav
インケイジ(準備), ソード
インケイジ(攻撃), 回転斬撃;ＭＡＰ強風 LaserGun.wav
インケイジ(命中), 斬撃
スピンドル(準備), ソード
スピンドル, スピンアタック 緑
ミラードライブ(準備), ソード
ミラードライブ(攻撃), 風 Flair.wav 対象ユニットＩＤ
ミラードライブ(命中), 風
レイザーソニック(準備), ソード
レイザーソニック(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 48 Beam(4Shot).wav 残像
レイザーソニック(命中), クリティカル斬撃
ドラゴンソウル(準備), ソード
ドラゴンソウル(攻撃), 斬撃;竜炎
ドラゴンソウル(命中), 竜炎
ジャンプショット, 急降下
ジャンプショット(命中), 急降下 Slash.wav
ヘキサフランジ(準備), ソード
ヘキサフランジ(攻撃), 回転斬撃;旋風
ヘキサフランジ(命中), 斬撃乱舞
デストレイル(準備), 光噴出 黒
デストレイル(攻撃), 髑髏弾
デストレイル(命中), 大放電 黒 Charge(high).wav
レッドバレット(攻撃), 光投射 赤 AntiAirMissile.wav
レッドバレット(命中), 発光 赤 Explode.wav
シルバーフリーズ, 凍結
シルバーウインド(攻撃), 光投射 白 Whiz.wav;光投射 白 Whiz.wav
シルバーウインド(命中), 凍斬撃
ブルーゲイル(攻撃), 球電
ブルーゲイル(命中), 大電撃 青
レッドケイジ(攻撃), デフォルト Whiz.wav
レッドケイジ(命中), 周囲回転 Action\EFFECT_Burn05.bmp Fire.wav 3
パープルミスト, 煙 紫
ブルースコール, ＭＡＰ落雷 青
レッドコート(攻撃), オーラ 赤 Explode(Far).wav
レッドコート(命中), 爆発
ブラウンシュガー, 旋風 橙
シルバーファング, 大氷柱
アンバーストーム, ＭＡＰ落雷 黄
ブラックアビス(準備), 光噴出 黒 BeamSaber.wav
ブラックアビス(攻撃), 周囲回転 Common\EFFECT_GravityBall01.bmp Charge.wav 3
ブラックアビス(命中), 重力圧縮
神の御加護(準備), 妖精
神の御加護(攻撃), @戦闘アニメ_エネルギーフィールド展開使用 BeamCoat.wav
神の御加護(命中), 打撃 Explode.wav
ゴッドボイス, 音波 Beast.wav
サンクチュアリ(攻撃), フラッシュ 青
サンクチュアリ(命中), 拡散ビーム 青 Glass.wav
ジャッジメント, ＭＡＰ落雷 黄
神の祝福(使用), 妖精;@戦闘アニメ_ＭＡＰ発光攻撃 黄 Whiz.wav
神の祝福(発動), 回復魔法
癒しの祈り(使用), 妖精
癒しの祈り(発動), 回復魔法
惑わしの瞳(攻撃), 発光 白 対象ユニットＩＤ
惑わしの瞳(命中), 飛沫 桃 Charge.wav
ソニックブーム(準備), 粒子集中 黒
ソニックブーム(攻撃), ＭＡＰ強風 AntiAirMissile.wav
ソニックブーム(命中), 強風
バリアバースト, フラッシュ 白 Explode(Far).wav
バリアバースト(命中), 連続爆発;連続爆発
高速液弾, 光球 黒
くすぐり, 格闘
くすぐり(命中), PiyoPiyo.wav
雄叫び, Beast.wav
雄叫び(発動), 発光 白
体力ドレイン, 噛み付き
体力ドレイン(命中), 噛み付き;吸収
腕力ドレイン, 噛み付き
腕力ドレイン(命中), 噛み付き;吸収
締め付け, 立ち固め
凍てつく触手, 触手 白
凍てつく触手(命中), 触手 白;凍結
燃える触手, 触手 赤
燃える触手(命中), 触手 赤;爆発
ドラゴンフレーム, 火炎放射
雪崩起こし, ＭＡＰ吹雪
毒燐粉, 煙 紫 AntiAirMissile.wav
魔力吸収, 吸収
暗黒球体, 重力弾 Charge.wav
暗黒球体(命中), 重力圧縮;吸収
ブーメラン, ブーメラン
アクロバット, スーパーキック
アクロバット(命中), 立ち固め 1
甘いささやき, 音波 Cat.wav
とろける愛(準備), 発光 青 BeamSaber.wav
とろける愛, 吸収
トリカブト, 煙 紫
斬り下ろし(剣)(準備), ソード
斬り下ろし(剣), 振り下ろし
斜め斬り(剣), ソード
突き(剣)(準備), ソード
突き(剣), 刺突
捨身(剣)(準備), ソード
捨身(剣), スーパータックル
####最終編####
斬り下ろし(格闘), 振り下ろし
幻惑の遠吠え, 音波 Roar.wav
音痴な歌(攻撃), 音符
音痴な歌(命中), 音符;発光 赤 -.wav
地震, ＭＡＰ地震
火神カグツチ, 発光 赤 対象ユニットＩＤ AntiAirMissile.wav
火神カグツチ(命中), 火柱
水神ミズハノメ, 津波
土神ハニヤスビメ, 竜巻
土神ハニヤスビメ(命中), 竜巻;煙 紫;飛沫 橙 Explode.wav
風神シナツヒコ, 竜巻
風神シナツヒコ(命中), 竜巻;竜巻
ジョムジョム弾, 小型ミサイル 10
エッシャー空間, @戦闘アニメ_分身打撃攻撃 BeamSaber.wav
エッシャー空間(命中), ダメージ 黒 Charge.wav
メビウスロンド, スーパータックル 白 BeamSaber.wav
メビウスロンド(命中), スーパータックル 白;連打 白 Saber.wav
コンビネーション, 分身打撃
雪崩起こし, デフォルト Shock(Low).wav;ＭＡＰ吹雪 -.wav
雪崩起こし(命中), 吹雪
ヘルフレグランス, 煙噴射 橙
穢れた大地, ＭＡＰ煙 黄
次元空烈断, 気斬 白
次元空烈断(命中), 連斬撃;連斬撃
ジャンプショット(格闘), 急降下
ジャンプショット(格闘)(命中), 急降下 FightHit(3).wav
石化球体, 重力弾 Charge.wav
石化球体(命中), 飛沫 赤 BeamSaber.wav
シッポはイヤーン(準備), ディレイ Cat.wav 5
シッポはイヤーン(攻撃), スピンキック
シッポはイヤーン(命中), ダメージ 赤 PiyoPiyo.wav
ジャイロプレス, スピンアタック 黄
ウェザンブレード(準備), 大剣
ウェザンブレード, 唐竹割り 橙
スピンドル(格闘), スピンアタック 緑
レイザーソニック(格闘)(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 48 Beam(4Shot).wav 残像
レイザーソニック(格闘)(命中), クリティカル斬撃
メタルヒット, 打突
メタルヒット(命中), 連打
激流旋回剣, デフォルト Whiz.wav
激流旋回剣(命中), 光連続なぎ払い 橙 中
ライブイレイザー(攻撃), デフォルト Whiz.wav
ライブイレイザー(命中), 重力圧縮;吸収 黒
デスパースペース(攻撃), 魔法陣 白 LaserGun.wav
デスパースペース(命中), 光回転斬撃 中 白 BeamShot.wav
リベンジストーム(使用), @戦闘アニメ_ＭＡＰ発光攻撃 青;@戦闘アニメ_ＭＡＰ発光攻撃 青
リベンジストーム(発動), 回復魔法
キャンセラレイ, ＭＡＰダークネス BeamSaber.wav
キャンセラレイ(命中), 発光 赤 -.wav
セントアリシア(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ 背面
セントアリシア(命中), 粒子集中 橙 Sharara.wav;10;@戦闘アニメ_死神

ライブアライブ(ブリキ大王)
メタルヒット, 打突
メタルヒット(命中), 連打
バベルノンキック, スーパーキック 青
ジョムジョム弾, 小型ミサイル 10
ハロゲンレーザー, ＭＡＰビーム 青 Charge(long).wav
ハロゲンレーザー(命中), -

オルステッド(ＬＡＬ)
カットワンウェイ(準備), 銀剣
カットワンウェイ, なぎ払い
Ｖシャイン(準備), 銀剣
Ｖシャイン(攻撃), 振り下ろし;振り上げ
Ｖシャイン(命中), 決め文字 Ｖ 黒 Slash.wav
ハンマーパワー, 銀剣
ハンマーパワー(命中), 強打
ソードビュー, 銀剣
ソードビュー(攻撃), スーパーブーメラン 青 Whiz.wav
インケイジ(準備), 銀剣
インケイジ(攻撃), 回転斬撃;ＭＡＰ強風 LaserGun.wav
インケイジ(命中), 斬撃
スピンドル(準備), 銀剣
スピンドル, スピンアタック 緑
ミラードライブ(準備), 銀剣
ミラードライブ(攻撃), 風 Flair.wav 対象ユニットＩＤ
ミラードライブ(命中), 風
レイザーソニック(準備), 銀剣
レイザーソニック(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 48 Beam(4Shot).wav 残像
レイザーソニック(命中), クリティカル斬撃
ドラゴンソウル(準備), 銀剣
ドラゴンソウル(攻撃), 斬撃;竜炎
ドラゴンソウル(命中), 竜炎
ジャンプショット, 急降下
ジャンプショット(命中), 急降下 Slash.wav
ヘキサフランジ(準備), 銀剣
ヘキサフランジ(攻撃), 回転斬撃;旋風
ヘキサフランジ(命中), 斬撃乱舞
デストレイル(準備), 光噴出 黒
デストレイル(攻撃), 髑髏弾
デストレイル(命中), 大放電 黒 Charge(high).wav

ブライオン(ＬＡＬ)
カットワンウェイ(準備), 黒剣
カットワンウェイ, なぎ払い
Ｖシャイン(準備), 黒剣
Ｖシャイン(攻撃), 振り下ろし;振り上げ
Ｖシャイン(命中), 決め文字 Ｖ 黒 Slash.wav
ハンマーパワー, 黒剣
ハンマーパワー(命中), 強打
ソードビュー, 黒剣
ソードビュー(攻撃), スーパーブーメラン 青 Whiz.wav
インケイジ(準備), 黒剣
インケイジ(攻撃), 回転斬撃;ＭＡＰ強風 LaserGun.wav
インケイジ(命中), 斬撃
スピンドル(準備), 黒剣
スピンドル, スピンアタック 緑
ミラードライブ(準備), 黒剣
ミラードライブ(攻撃), 風 Flair.wav 対象ユニットＩＤ
ミラードライブ(命中), 風
レイザーソニック(準備), 黒剣
レイザーソニック(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 48 Beam(4Shot).wav 残像
レイザーソニック(命中), クリティカル斬撃
ドラゴンソウル(準備), 黒剣
ドラゴンソウル(攻撃), 斬撃;竜炎
ドラゴンソウル(命中), 竜炎
ジャンプショット, 急降下
ジャンプショット(命中), 急降下 Slash.wav
ヘキサフランジ(準備), 黒剣
ヘキサフランジ(攻撃), 回転斬撃;旋風
ヘキサフランジ(命中), 斬撃乱舞
デストレイル(準備), 光噴出 黒
デストレイル(攻撃), 髑髏弾
デストレイル(命中), 大放電 黒 Charge(high).wav

汎用
ホネ肉(ＬＡＬ)(使用), 決め画像 Foods\EFFECT_TheMeat01.bmp Sharara.wav
どでかホネ肉(ＬＡＬ)(準備), 決め画像 Foods\EFFECT_TheMeat01.bmp
どでかホネ肉(ＬＡＬ)(使用), 周囲回転　Foods\EFFECT_TheMeat01.bmp Sharara.wav
#マスターポスター(ＬＡＬ)(攻撃), Swing.wav;EFFECT_LAL_MasterPoster.bmp;Keep
# 　マスターポスターはGSC内に該当アイコンが有りません。注意して下さい。



