# エスタナトレーヒチーム #################################################################

ゼナ＝リオン
回避(パドック艦), 潮汐力ブースター全開！;姿勢制御ノズルでも爆発ペレットでもいいから、.使えるものはすべて吹かして！
ダメージ大, うわあっ！ や、やられちまう！
ダメージ大, ぐわぁ！ こ、これじゃあもたない！
ダメージ大, つ、強い！ 強すぎる！
破壊, ぐあっ！ や、やられた！！ 転送を！！
破壊, う、うわあああっ！ 転送してくれ！！
射程外, だ、だめだ！ とどかない！！
射程外, あ、あんな遠くから攻撃できるのか？
ビーム無効化, あわっ、ビ、ビームだったのか……！
阻止, 迎撃だ！！
攻撃, うおおおおっ！
攻撃, やってやる！！
攻撃, こいつっ！
攻撃, やってやる、やってやるぞ！
攻撃, こ、このおっ！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

TERRAエースプレイヤー(ザコ)
回避, 甘い！
回避, そこか！
回避, かわせる！
ダメージ小, くっ！ かすり傷か
ダメージ中, うわっ！ この程度で！
ダメージ中, このっ！ やったな！
ダメージ中, なんの、まだまだ！
ダメージ中, クソッ！ こんなものでやられるか！
ダメージ中, さすがにやるじゃないか！
ダメージ中, うおっ！ やってくれる！
ダメージ中, くうっ！ やってくれたな！
ダメージ中, ちっ！ この程度ならまだ戦える！
ダメージ大, なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パワーが違いすぎる！
破壊, ぐあっ！ やられた！！ 転送を！！
破壊, うわあああっ！ 転送してくれ！！
破壊, しまった！ 転送頼む！！
射程外, くっ！ とどかない！！
射程外, あんな遠くから攻撃できるのか？
攻撃無効化(ハードバリヤー), ハードバリヤー展開！！
阻止, 迎撃だ！！
ビーム無効化, ビームなら効かないぞ！
攻撃, 当たれっ！！
攻撃, 行くぜっ！
攻撃, こいつっ！
攻撃, 沈めってんだよ！
攻撃, これでどうだ！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

NESSプレイヤー(ザコ)
回避, あ、あぶないっ！
回避, うわっ！ か、かわせたのか？
ダメージ小, うわっ！ あ、大丈夫なのか？
ダメージ中, うわっ！ ほ、ほんとにいけるのか！？
ダメージ中, わあっ！ こ、これくらいなら！
ダメージ中, ぐわっ！ こ、こいつ強いぞ！
ダメージ大, な、なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パ、パワーが違いすぎる！
ダメージ大, うわあっ！ や、やられちまう！
ダメージ大, ぐわぁ！ こ、これじゃあもたない！
ダメージ大, つ、強い！ 強すぎる！
破壊, ぐあっ！ や、やられた！！ 転送を！！
破壊, う、うわあああっ！ 転送してくれ！！
射程外, だ、だめだ！ とどかない！！
射程外, あ、あんな遠くから攻撃できるのか？
ビーム無効化, あわっ、ビ、ビームだったのか……！
阻止, 迎撃だ！！
攻撃, うおおおおっ！
攻撃, やってやる！！
攻撃, こいつっ！
攻撃, やってやる、やってやるぞ！
攻撃, こ、このおっ！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

NESSエースプレイヤー(ザコ)
回避, 甘い！
回避, そこか！
回避, かわせる！
ダメージ小, くっ！ かすり傷か
ダメージ中, うわっ！ この程度で！
ダメージ中, このっ！ やったな！
ダメージ中, なんの、まだまだ！
ダメージ中, クソッ！ こんなものでやられるか！
ダメージ中, さすがにやるじゃないか！
ダメージ中, うおっ！ やってくれる！
ダメージ中, くうっ！ やってくれたな！
ダメージ中, ちっ！ この程度ならまだ戦える！
ダメージ大, なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パワーが違いすぎる！
破壊, ぐあっ！ やられた！！ 転送を！！
破壊, うわあああっ！ 転送してくれ！！
破壊, しまった！ 転送頼む！！
射程外, くっ！ とどかない！！
射程外, あんな遠くから攻撃できるのか？
攻撃無効化(ハードバリヤー), ハードバリヤー展開！！
阻止, 迎撃だ！！
ビーム無効化, ビームなら効かないぞ！
攻撃, 当たれっ！！
攻撃, 行くぜっ！
攻撃, こいつっ！
攻撃, 沈めってんだよ！
攻撃, これでどうだ！
攻撃, 我が氏族の名誉にかけて！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

noyssプレイヤー(ザコ)
回避, あ、あぶないっ！
回避, うわっ！ か、かわせたのか？
ダメージ小, うわっ！ あ、大丈夫なのか？
ダメージ中, うわっ！ ほ、ほんとにいけるのか！？
ダメージ中, わあっ！ こ、これくらいなら！
ダメージ中, ぐわっ！ こ、こいつ強いぞ！
ダメージ大, な、なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パ、パワーが違いすぎる！
ダメージ大, うわあっ！ や、やられちまう！
ダメージ大, ぐわぁ！ こ、これじゃあもたない！
ダメージ大, つ、強い！ 強すぎる！
破壊, ぐあっ！ や、やられた！！ 転送を！！
破壊, う、うわあああっ！ 転送してくれ！！
射程外, だ、だめだ！ とどかない！！
射程外, あ、あんな遠くから攻撃できるのか？
ビーム無効化, あわっ、ビ、ビームだったのか……！
阻止, 迎撃だ！！
攻撃, うおおおおっ！
攻撃, やってやる！！
攻撃, こいつっ！
攻撃, やってやる、やってやるぞ！
攻撃, こ、このおっ！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

noyssエースプレイヤー(ザコ)
回避, 甘い！
回避, そこか！
回避, かわせる！
ダメージ小, くっ！ かすり傷か
ダメージ中, うわっ！ この程度で！
ダメージ中, このっ！ やったな！
ダメージ中, なんの、まだまだ！
ダメージ中, クソッ！ こんなものでやられるか！
ダメージ中, さすがにやるじゃないか！
ダメージ中, うおっ！ やってくれる！
ダメージ中, くうっ！ やってくれたな！
ダメージ中, ちっ！ この程度ならまだ戦える！
ダメージ大, なんだこいつのパワーは！？
ダメージ大, ぐあっ！ パワーが違いすぎる！
破壊, ぐあっ！ やられた！！ 転送を！！
破壊, うわあああっ！ 転送してくれ！！
破壊, しまった！ 転送頼む！！
射程外, くっ！ とどかない！！
射程外, あんな遠くから攻撃できるのか？
攻撃無効化(ハードバリヤー), ハードバリヤー展開！！
阻止, 迎撃だ！！
ビーム無効化, ビームなら効かないぞ！
攻撃, 当たれっ！！
攻撃, 行くぜっ！
攻撃, こいつっ！
攻撃, 沈めってんだよ！
攻撃, これでどうだ！
攻撃, 我が氏族の名誉にかけて！
ハイパーモード(シールド展開), ヴェイパーシールド展開！！

