#### 銀河連邦警察 ------------------------------------------------------

宇宙刑事シャリバン
赤射, -
攻撃(対イガ戦士), 宇宙戦士を生かしておいては後々面倒だ……抹殺！
攻撃(対軍師レイダー), 貴様の企みはとくと見た……
攻撃(対軍師レイダー), レイダー！ 宇宙の王者、魔王サイコを甘く見るでない！
サポートアタック, よし……仕上げにかかるのだ……
サポートアタック, ここで手を緩めるな…….おびき出して今度こそとどめを……
復活, わしは不死身だ……命を二分して持っておる……
復活, 我らは命を二つに分けて持つ…！ どちらかが倒れても命を注ぐことができるのだ！




戦士サイコラー
回避, 馬鹿め！！
回避, どうだ！！
回避, 無駄だ！！
回避, 愚か者め！！
回避(対宇宙刑事シャリバン), お前の負けだ、シャリバン！！
回避(対軍師レイダー), 予想通りだ！ 裏切り者め！
ダメージ小, 勝利は我がマドーにあり！！
ダメージ小, 心に愛と優しさを持った者は野獣には勝てぬ！
ダメージ小, 地球は我らが征服したも同然だ！
ダメージ小, マドーは不滅だ！！
ダメージ小(対宇宙刑事), 宇宙刑事とて、このサイコには及ばん！
ダメージ小(対宇宙刑事シャリバン), 降伏せよシャリバン！！
ダメージ中, うおっ！！
ダメージ中, このまま殺すには惜しい者だ…！
ダメージ中, なに…！？ またしてもあいつらが、マドーに楯突くのか！
ダメージ中, 早く始末して、マドー帝国を打ち立てねば…！
ダメージ中, 見事な腕前だ！
ダメージ中, 面白い！！
ダメージ中(対宇宙刑事), なに！？ 宇宙刑事めが！！
ダメージ中(対宇宙刑事), こしゃくな小僧め！ わしを何だと思っておる！！
ダメージ中(対宇宙刑事シャリバン), シャリバンめを食い止めねば！
ダメージ中(対軍師レイダー), 裏切り者め…！！
ダメージ大, ぬぅぅぅ……ああぁぁぁ！！！
ダメージ大, このサイコをここまで追い込んだ手並み、見事だ！
ダメージ大, とどめを刺すべきだったぞ…！
ダメージ大, このサイコが倒れぬ限り、マドーは永遠不滅…！
ダメージ大, 実に強力なパワー…！ だがそれも無駄なことだ！！
ダメージ大(対宇宙刑事), よくも我がマドーを…！ 宇宙刑事め！！
ダメージ大(対宇宙刑事シャリバン), シャリバンめ！ このままでは済まさんぞ！！
ダメージ大(対軍師レイダー), やめろレイダー！！
破壊, グガァァァァァ！！！！
射程外, 何者だ！？
攻撃, 待てい！！
攻撃, 魔王……サイコ！！
攻撃, イガ・クリスタルは我が幻夢城にあり！
攻撃, でぇぇぇぇああ！！
攻撃, 邪魔者は消すのみ！！
攻撃, その力を見せてみよ！！
攻撃, お前たちの負けだ！！
攻撃(対宇宙刑事), 来い、若造！！
攻撃(対宇宙刑事), 宇宙刑事を片付けることなど、訳はない！！
攻撃(対宇宙刑事), 長年の恨み晴らす時が来た！！
攻撃(対宇宙刑事), 来たか小僧ども！ 生きては帰れんぞ！
攻撃(対宇宙刑事シャリバン), お前さえ片付けば、我がマドーは万年王国として、悪の華を咲かせ続けるであろう！
攻撃(対宇宙刑事シャリバン), シャリバンめを抹殺せぬ限り、マドーの発展は無い！！
攻撃(対宇宙刑事シャリバン), シャリバン、敗れたり！
攻撃(対宇宙刑事ギャバン), ギャバン！！ シャリバンともども地獄に落ちろ！！
攻撃(対宇宙刑事シャイダー), シャイダーの末路は決まった！！
復活, 我らは不死身だ……命を二分して持っている……
復活, 我らは命を二つに分けて持つ…！ どちらかが倒れても命を注ぐことができるのだ！

## サイコラーとしての台詞が少ないので、サイコの改変で処理。




ドクターポルター
回避, ハハハハハハハ！！
回避, うっふふふふふ…！
回避, 慎重の上に慎重を期さねば！
回避, 図星のようだな！
回避, ハハハハハハハ！ これで我がマドーの勝利だ！
回避, 予想通りと言うべきか…！
回避, 引っかかったね！
回避, 私にはすべてわかっているのだ！
回避(対宇宙刑事シャリバン), ハハハハハハハ！！ シャリバン、死の罠に落ちたな！
回避(対宇宙刑事シャリバン), シャリバンのことだ。油断はならない！
回避(対軍師レイダー), 私を超えられると思っているのか！？
攻撃無効化, すでに手は打ってあるのだ！
ダメージ小, なんの障害も感じない！
ダメージ小, ザコに関わってる暇はない！
ダメージ小, たわけたことを！
ダメージ小, 汚らわしい！ やめろ！！
ダメージ小, 無礼者！！
ダメージ小(対宇宙刑事シャリバン), シャリバンの能力は、今が限度です！
ダメージ小(対宇宙刑事ギャバン), いくら抵抗しても無駄だギャバン
ダメージ中, どうしたんだ！？
ダメージ中, なんとかせねば！
ダメージ中, 作戦に誤りはないのだ！ まだやれる！
ダメージ中, 調子づきおって…！ それもここまでだ！
ダメージ中, 何をしている！？ 早く奴らを抹殺しろーっ！！
ダメージ中(対宇宙刑事シャリバン), おのれシャリバン！
ダメージ中(対ベル＝ヘレン), ヘレンめ！ 日一日とパワーをつけている…！
ダメージ大, このままでは、私は…！？
ダメージ大, えぇーいっ！？ なんだこれはっ！？
ダメージ大, おのれぇぇ！！ こんなところまでっ！
ダメージ大, おめおめと敗北はせんぞ！ 貴様らぁぁーっ！！
ダメージ大, 奴らの力が、我がマドーの戦力を上回っているというのか！？ 
ダメージ大(対宇宙刑事シャリバン), シャリバン…！ なんと恐ろしい奴だ！？
破壊, もう少しでうまくいったのに！
破壊, 不覚を取りました…！ でも！
破壊, 情けなく思います……なぜあのような奴に！
破壊(対宇宙刑事シャリバン), 心のエネルギー……そこまでの計算は…！
脱出, 失態をお見せしまして……申し訳ございません！
脱出, 恥ずかしい……私としたことが！
射程外, なあに！ 今に必ず姿を現す！
射程外, 何としても見つけ出して…！
射程外, なにぃ！？ 余計なことを誰が！？
射程外, 逃げられると思っているのか！ 追えーっ！！
射程外(対宇宙刑事シャリバン), 安心はできない。シャリバンの目が光っている
攻撃, 我々の計画を邪魔する者は、許さん！
攻撃, 生き残りたければ、この私を倒すことだ！
攻撃, お任せください！
攻撃, 大丈夫、きっとうまくいく！
攻撃, 私によい考えがある…！
攻撃, もうこっちのものだ！
攻撃, やれっ！！
攻撃, 私に、おまかせください！
攻撃, どけい！！
攻撃, お前の墓場はここと決まった！
攻撃, 処刑開始！
攻撃, ハハハハハハハ！！ わめくがいい！
攻撃, 抹殺ーっ！！
攻撃, 計画はこの私が！
攻撃(対宇宙刑事シャリバン), 今がシャリバンの最期だ！
攻撃(対宇宙刑事シャリバン), 心優しさは、シャリバンめの最大の弱点！
攻撃(対宇宙刑事シャリバン), いたぞ、シャリバンめ！
攻撃(対宇宙刑事シャリバン), シャリバンは我々の手で倒す！
攻撃(対宇宙刑事シャリバン), 今度こそ、今度こそ必ずシャリバンめを！
攻撃(対宇宙刑事シャリバン), シャリバンは我らの敵だ！
攻撃(対宇宙刑事シャリバン), シャリバン！ 最期の時が来た！
攻撃(対宇宙刑事シャリバン), シャリバン！ お前を処刑し、地獄に送り込んでやる！
攻撃(対宇宙刑事リリィ), シャリバンの仲間！
攻撃(対ベル＝ヘレン), ヘレンめ！！
攻撃(対イガ・クリスタル親衛隊), 草の根を分けても、必ずイガ・クリスタルを！
攻撃(対イガ・クリスタル親衛隊), イガ・クリスタルは、私が見つけ出します！
攻撃(対ミミー(ギャバン)), こやつがコム長官の娘か…！
攻撃(対ミミー(ギャバン)), コム長官を一生苦しめることができる……じわじわと惨く！
攻撃(対ガイラー将軍), まさかガイラーが！？
攻撃(対ガイラー将軍), 乱心したかガイラー将軍！！
攻撃(対軍師レイダー), レイダー！ お前の仕業であろう！
攻撃(対ロボット８ちゃん), ふざけたロボットめ……バラバラに解体してしまえーっ！！
マドー戦闘機, マドー戦闘機を出動させろーっ！！
サポートアタック, もう一息だ！
サポートアタック, えぇい、どけぇ！！
サポートアタック(軍師レイダー), 待てレイダー！ 余計な手出しは無用だ！
サポートアタック(軍師レイダー), 口出し無用だレイダー！
サポートガード(ガイラー将軍), ガイラー将軍、侵略計画は一刻を争うのだ
サポートガード(魔怪獣), 魔怪獣は、我がマドーにとって大事な戦力！
恐怖, やめろぉぉぉーーっ！！ ああぁぁぁーーっ！！
恐怖, やめろっ…！ やめろぉぉぉーーっ！！




ガイラー将軍
号令, 抹殺っ！！
号令, 抹殺ーーっ！！
号令, このまま逃がしはせん！ 抹殺！！
号令, 生きて帰すな！ 抹殺！！
号令, マドーへの反逆は許さん！ 抹殺だぁぁぁーーっ！！
号令, 全員抹殺しろぉぉぉーーっ！！
回避, 愚かなものだ！
回避, なあに、そう簡単には！
回避, うまくいくかな？
回避, 飛んで火に入る何とやら。.まんまと引っかかってきおった！
回避, これくらいのことは読めていた！
回避, たわけ！ 当たると思っているのか！
回避(対宇宙刑事シャリバン), 自分の墓を探し当てたなシャリバン！
回避(対宇宙刑事シャリバン), シャリバンめ、まんまと引っかかりおったな！
回避(対宇宙刑事シャリバン), さあ、どうするシャリバン！
回避(対軍師レイダー), 貴様ごときの陰謀に乗る、わしではないぞ！！
回避(対軍師レイダー), ハハハハハハ！！ レイダーとあろう者が！
ダメージ小, はははははは……
ダメージ小, なんだあいつは？
ダメージ小, 抵抗してみろ！！
ダメージ小, 大口ばかり叩きおって！
ダメージ小, まったく手応えなしです！
ダメージ小, まったく馬鹿げてる！
ダメージ小(対宇宙刑事シャリバン), 死ににきたか、シャリバン！
ダメージ小(対宇宙刑事シャリバン), シャリバンなど恐るるに足らん！
ダメージ中, どういうわけだこれは！？
ダメージ中, 黙れぇい！！
ダメージ中, どうしたんだ！？
ダメージ中, なにぃ！？ 許さぁん！！
ダメージ中, マドーに逆らう愚か者め、今に見ておれよ！！
ダメージ中(対宇宙刑事シャリバン), シャリバンめっ！！
ダメージ中(対宇宙刑事シャリバン), 安心するのはまだ早いぞ、シャリバン！
ダメージ中(対宇宙刑事シャリバン), ええいっ、シャリバン！！
ダメージ中(対宇宙刑事ギャバン), おのれ、ギャバンッ！！
ダメージ中(対宇宙刑事シャイダー), おのれぇ、シャイダー！！
ダメージ中(対超次元戦闘母艦グランドバース), くうっ！ グランドバースがこっちへ向かってくるぞ！
ダメージ中(対ベル＝ヘレン), 女子供と侮ったのが間違いのもと！
ダメージ中(対ベル＝ビリー), 女子供と侮ったのが間違いのもと！
ダメージ中(対ドクターポルター), ドクターポルター！ わしを抹殺するつもりだ！
ダメージ大, おのれぇぇぇーーっ！！
ダメージ大, わしはマドーの将軍だ！ 負け戦ができるか！！
ダメージ大, 魔王様より授かった命、こんなところで果てはせんぞ！！
ダメージ大, この失態…！ もはや貴様の抹殺をもって償うほかない！！
ダメージ大, ぐおっ！！ これでは、ドクターポルターのいい笑い者ではないか！
ダメージ大(対宇宙刑事シャリバン), えぇぇい…！ シャリバンめ！！
ダメージ大(対宇宙刑事シャリバン), シャリバンめを何とかせねば！！
破壊, ひけぇーっ！ ひき上げろーっ！！
破壊, とんだ失敗で……面目次第もございません！
破壊(獣魔ガイラー), うああぁぁぁーーーっ！！！
破壊(対宇宙刑事シャリバン), シャリバンめ！ 今度会ったら息の根を止めてやる！！
脱出, ちょっと探りを入れてみただけだ！.今度は、思い知らせてやる！
脱出, 面倒だ！ 退け退けぇ！
射程外, 卑怯者め！
射程外, 隠れても無駄だ！ わしと一騎打ちの勝負をしろ！
射程外(対宇宙刑事シャリバン), えぇぇい……シャリバンめ！ 下手な小細工を！
射程外(対宇宙刑事シャリバン), シャリバンめが姿を消しおった！
攻撃, 抹殺っ！！
攻撃, 抹殺ーーっ！！
攻撃, このまま逃がしはせん！ 抹殺！！
攻撃, 生きて帰すな！ 抹殺！！
攻撃, マドーへの反逆は許さん！ 抹殺だぁぁーーっ！！
攻撃, 全員抹殺しろぉぉーーっ！！
攻撃, かあっ！！
攻撃, 息の根を止めろ！！
攻撃, 一歩も踏み込ませるな！ やれ！
攻撃, とどめを刺してやる！！
攻撃, 今日こそお前を地獄へ叩き落としてやる！！
攻撃, 生かして帰すな！ やれい！！
攻撃, よし、俺に任せろ！
攻撃, お前たちももうすぐ楽になれるぞ！ はははは！！
攻撃, かかれぇぇーーっ！！
攻撃, えぇぇい、やれぇぇーっ！！
攻撃, ひねり潰すのだ！
攻撃, マドーに楯突けばどうなるか、たっぷりと思い知らせてやる！
攻撃, 今度こそ、奴を叩き潰すぞ！
攻撃, 今度こそ仕留めるのだ！
攻撃, 地獄へ叩き込めぇーっ！！
攻撃, もう逃げられはせんぞ！
攻撃, 覚悟ぉぉ！！
攻撃(獣魔ガイラー), 魔王様！ わたくしめにお力を！ シャリバンめを倒す力を！！
攻撃(獣魔ガイラー), うおおおおーーっ！！！
攻撃(獣魔ガイラー), うおおおお！！ いくぞぉぉーっ！！
攻撃(対宇宙刑事), わしはお前と勝負がしたかったのだ！
攻撃(対宇宙刑事シャリバン), 死ね！ シャリバン！！
攻撃(対宇宙刑事シャリバン), ほざくなシャリバン！ 抹殺！！
攻撃(対宇宙刑事シャリバン), ようこそシャリバン！ お前が来るのを待っていたのだ！
攻撃(対宇宙刑事シャリバン), シャリバン！！ これで貴様も終わりだ、地獄へ落ちろ！
攻撃(対宇宙刑事シャリバン), シャリバンを抹殺せよ！！
攻撃(対宇宙刑事シャリバン), 今度こそ必ずシャリバンめを！
攻撃(対宇宙刑事シャリバン), シャリバンはわし一人の手で討つ！
攻撃(対宇宙刑事シャリバン), シャリバン！ わしが相手だ！
攻撃(対宇宙刑事ギャバン), ギャバン！ これを見ろ！
攻撃(対宇宙刑事ギャバン), くたばるがいい、ギャバン！
攻撃(対宇宙刑事ギャバン), ギャバンをやれぇぇーーっ！！
攻撃(対宇宙刑事シャイダー), シャイダー！ 抹殺！！
攻撃(対宇宙刑事シャイダー), シャイダーだ！ かかれーっ！！
攻撃(対宇宙刑事シャイダー), おのれ、シャイダー！ 叩き潰せ！！
攻撃(対宇宙刑事リリィ), 女宇宙刑事だ！ 抹殺せよ！
攻撃(対女宇宙刑事アニー), 女宇宙刑事だ！ 抹殺せよ！
攻撃(対イガ・クリスタル親衛隊), イガ・クリスタルはマドーがもらった！
攻撃(対ドクターポルター), ドクターポルター！ わしの実力が怖いのだろう！
攻撃(対軍師レイダー), この化け物ぉぉぉーーっ！！
かけ声, 抹殺っ！！
かけ声, 抹殺ーーっ！！
かけ声, このまま逃がしはせん！ 抹殺！！
かけ声, 生きて帰すな！ 抹殺！！
かけ声, マドーへの反逆は許さん！ 抹殺だぁぁーーっ！！
かけ声, 全員抹殺しろぉぉーーっ！！
かけ声, かあっ！！
かけ声, 息の根を止めろ！！
かけ声, 一歩も踏み込ませるな！ やれ！
かけ声, とどめを刺してやる！！
かけ声, 今日こそお前を地獄へ叩き落としてやる！！
かけ声, 生かして帰すな！ やれい！！
かけ声, よし、俺に任せろ！
かけ声, お前たちももうすぐ楽になれるぞ！ はははは！！
かけ声, かかれーっ！！
かけ声, えぇぇい、やれぇぇーっ！！
かけ声, ひねり潰すのだ！
かけ声, マドーに楯突けばどうなるか、たっぷりと思い知らせてやる！
かけ声, 今度こそ、奴を叩き潰すぞ！
かけ声, 今度こそ仕留めるのだ！
かけ声, 地獄へ叩き込めぇーっ！！
かけ声, もう逃げられはせんぞ！
かけ声, わしはお前と勝負がしたかったのだ！
かけ声, 覚悟ぉぉ！！
かけ声(獣魔ガイラー), 魔王様！ わたくしめにお力を！ シャリバンめを倒す力を！！
かけ声(獣魔ガイラー), うおおおおーーっ！！！
かけ声(獣魔ガイラー), うおおおお！！ いくぞぉぉーっ！！
かけ声(対宇宙刑事シャリバン), 死ね！ シャリバン！！
かけ声(対宇宙刑事シャリバン), ほざくなシャリバン！ 抹殺！！
かけ声(対宇宙刑事シャリバン), ようこそシャリバン！ お前が来るのを待っていたのだ！
かけ声(対宇宙刑事シャリバン), シャリバン！！ これで貴様も終わりだ、地獄へ落ちろ！
かけ声(対宇宙刑事シャリバン), シャリバンを抹殺せよ！！
かけ声(対宇宙刑事シャリバン), 今度こそ必ずシャリバンめを！
かけ声(対宇宙刑事シャリバン), シャリバンはわし一人の手で討つ！
かけ声(対宇宙刑事シャリバン), シャリバン！ わしが相手だ！
かけ声(対宇宙刑事ギャバン), ギャバン！ これを見ろ！
かけ声(対宇宙刑事ギャバン), くたばるがいい、ギャバン！
かけ声(対宇宙刑事ギャバン), ギャバンをやれぇぇーーっ！！
かけ声(対宇宙刑事シャイダー), シャイダー！ 抹殺！！
かけ声(対宇宙刑事シャイダー), シャイダーだ！ かかれーっ！！
かけ声(対宇宙刑事シャイダー), おのれ、シャイダー！ 叩き潰せ！！
かけ声(対宇宙刑事リリィ), 女宇宙刑事だ！ 抹殺せよ！
かけ声(対女宇宙刑事アニー), 女宇宙刑事だ！ 抹殺せよ！
かけ声(対イガ・クリスタル親衛隊), イガ・クリスタルはマドーがもらった！
かけ声(対ドクターポルター), ドクターポルター！ わしの実力が怖いのだろう！
かけ声(対軍師レイダー), この化け物ぉぉぉーーっ！！
かけ声(対倉間鉄山), わしの電光剣と貴様の電光剣、どちらが上か思い知らせてくれる！
電光剣, いやぁぁぁーーーっ！！
電光剣, おぉぉぁぁーーーっ！！
電光剣, でゅあぁぁーーーっ！！
電光剣, おのれぇぇーーーっ！！
電光剣, 死ねぇぇぇーーーっ！！
電光剣, でやぁぁぁーーーっ！！
マドー戦闘機部隊, 戦闘機出動ーーっ！！
マドー戦闘機部隊, 戦闘円盤、出動！！
マドー戦闘機部隊, すぐ撃ち落とせぃ！！
マドー戦闘機部隊, 戦闘機部隊！ やれい！！
マドー戦闘機部隊, 戦闘円盤部隊！ 存分にやれい！！
マドー戦闘機部隊(対宇宙刑事シャリバン), シャリバンが来るぞ！ 戦闘円盤を出動させろ！！
サポートアタック, 逃げられると思うか！
サポートアタック, チャンスだ！
サポートアタック, えぇーい、どけぇ！！
サポートアタック, 今だ！ 攻めろ！
サポートアタック, 余計な手出しをしおって貴様ら！！
サポートアタック, 余計な手出しは無用だ！
サポートアタック(軍師レイダー), こやつはわしに任せろ、レイダー！

## ゴリビースト！ やれい！！
## ヤマガミビースト！ 存分にやれい！！
## 戦え！ 死ぬまで戦うのだ！
## さあ、カイキビースト！ とどめを刺せぇ！！
## ウラギリビースト！ やれぇい！！




軍師レイダー
回避, ふっふっふっふっふ…！
回避, ふっふっふっふっふ…！ もはや目眩ましは、通用せぬ……
回避, ふっふっふっふっふ…！ すべてが幻…！
回避, 私にはよく見える……
回避, ふっふっふっふっふ…！ 信じないのも無理はない…！
回避, 計算通り……
回避, ふっふっふ……出来てたまるか……
回避, 椅子はどうやら、私のものらしい……
回避, ふっふっふっふっふ…！ お前には無理だ……
回避, わしに打ちかかってみよ……
回避(対宇宙刑事シャリバン), シャリバンの怯え、焦り……わしにはよくわかる……
ダメージ小, へっぴり腰で、このレイダーが倒せるものか…！
ダメージ小, 浅知恵で私は倒せまい……
ダメージ小, また、しゃしゃり出おったか…！
ダメージ小, 小手先で反抗しても無駄だ……
ダメージ小, 騒がしくなってきた……
ダメージ小, わしに逆らえると思うのか…！
ダメージ小(対女性), 女だと思って侮ると、痛い目に遭う……
ダメージ小(対宇宙刑事シャリバン), シャリバンの力があの程度であるものか……
ダメージ中, ……！
ダメージ中, まともに立ち会えば相討ち……
ダメージ中, やりおったな……
ダメージ中, さすがと言おう……わしと干戈を交えようというだけはある…！
ダメージ中, 死を目前にすれば、誰しもこの程度の力は発揮するもの……
ダメージ中(対宇宙刑事シャリバン), 見事、シャリバン……そうでなければ椅子の価値もない……
ダメージ中(対ベル＝ヘレン), ベル＝ヘレンは日増しに腕を上げている……
ダメージ大, どうしたことだ…！？
ダメージ大, これは…！？ ……ぬうぁぁぁああ！！
ダメージ大, こうなる前に始末できなかったのが間違いの元…！
ダメージ大, おのれ…！ だが、死霊界の軍師レイダーは不滅…！
ダメージ大, わしはマドーを手中に収める…！ このような場所では終わらんぞ…！
ダメージ大(対宇宙刑事シャリバン), ふっふっふっふっふ…！.わしを黄泉路へ連れ行くか、シャリバン！！
破壊, であああぁぁぁぁぁぁっ！！！！
脱出, 今度ばかりは赤っ恥をかかされた…！.この決着はいずれ付けてやる！
射程外, 迂闊なことはするまい……
射程外, 戦略を、考えるか……
攻撃, ふっふっふっふっふ……ふっふっふっふっふ……！
攻撃, お前は間もなく死ぬ。ふっふっふっふっふ…！
攻撃, 自分の死に顔はどうだ…？ 気に入ったか…？
攻撃, これは挨拶代わりだ……
攻撃, 死神さ……貴様を地獄へ送るためにやって来た……
攻撃, 奴は死ぬ……もはや屍も同然……
攻撃, お前は死ぬ…！ 間もなく死ぬ…！
攻撃, 私に任せろ…！
攻撃, 私が片付けてくる…！
攻撃, 任しておけ…！
攻撃, では、お手並み拝見……ふっふっふっふっふ……
攻撃, ぬううううううううう…！！！
攻撃, 地獄へ案内してやるぞ……
攻撃(エクトプラズム), エェェェェェァッ！！
攻撃(対宇宙刑事シャリバン), シャリバンなど、赤子の手を捻るが如し。見ておれ…！
攻撃(対宇宙刑事シャリバン), これからシャリバンめに、とどめを刺してくる……
攻撃(対宇宙刑事シャリバン), 椅子はもらった……
攻撃(対宇宙刑事シャリバン), シャリバンを……討つ！
攻撃(対宇宙刑事シャリバン), わしを倒してみよ！ シャリバン！
攻撃(対宇宙刑事シャリバン), 死にに出てきたか…！ シャリバン！
攻撃(対宇宙刑事ギャバン), 椅子はもらった……
攻撃(対宇宙刑事ギャバン), ギャバンとて人の子。倒す手はある……
攻撃(対宇宙刑事シャイダー), 椅子はもらった……
攻撃(対宇宙刑事シャイダー), シャイダー……冥途の道案内つかまつろう！
攻撃(対超次元戦闘母艦グランドバース), 可能だ……グランドバースを封じ込めることは……
攻撃(対イガ・クリスタル親衛隊), イガ・クリスタルはわしが持ってくる……
攻撃(対イガ・クリスタル親衛隊), ふふ…！ イガ・クリスタルはもらった！
攻撃(対魔王サイコ), 魔王め…！ わしの企みに気付きおったか
攻撃(対魔王サイコ), 機は熟した……幻夢城はもらった！
攻撃(対魔王サイコ), 魔王は……力を失った！
攻撃(対ドクターポルター), わしはマドーに君臨したい…….そのためにはまず、ドクターポルターめを……
攻撃(対ガイラー将軍), ふっふっふっふっふ…！ お人好しのガイラー将軍……
攻撃(対秘密戦隊), イーグルの同志が、死霊界で貴様を待ちかねている……
攻撃(対人造人間), ふっふっふっふっふ……機械に死神はいらぬ……
攻撃(対イナズマン), ふっふっふっふっふ…….蝶を絡め捕る蜘蛛の糸を張るとしよう……
攻撃(対スパイダーマン(ＳＰＤＴ)), 死霊界よりの使者、レイダー…….お相手しよう…！
サポートアタック, 俺様抜きで事を運ぶと、どんな事になるか…！
サポートアタック, 大変お困りのようじゃが……お手伝い申そうか？
サポートアタック, チャンスだ……ふっふっふっふっふ…！
サポートアタック(ドクターポルター), お前の椅子と決まったわけではない…！
サポートアタック(ガイラー将軍), お前の椅子と決まったわけではない…！
サポートガード, 遊んでいる場合ではない筈……
サポートガード, こやつはまだまだ役に立つ……
サポートガード(宇宙犯罪組織マドー), こんな有象無象どもの指揮をするのは、骨が折れる……
サポートガード(ガイラー将軍), ガイラー将軍……上首尾とは言えないようだな…？
発進, 出かけよう……



ミスアクマ(汎用)
回避, うまくいったわ！
回避, とうっ！
回避, はあっ！
回避, そんなものにやられるか！
ダメージ小, 当たったか！
ダメージ小, それがどうした！
ダメージ小, 無駄な抵抗をするな！
ダメージ中, 思ったよりしぶとい奴…！
ダメージ中, うっ！ おのれ！
ダメージ中, こいつ、なかなかやるらしい！
ダメージ大, 深入りしすぎた！
ダメージ大, ああっ、しまった！？
ダメージ大, ものすごいパワーです！
破壊, 申し訳ありません！
射程外, 逃げられた！
射撃, 今だ、撃て！
攻撃, はあっ！
攻撃, えいっ！
攻撃, とうっ！
攻撃, やれっ！
攻撃(対宇宙刑事シャリバン), シャリバンを倒せ！
攻撃(対宇宙刑事シャリバン), シャリバンが出たぞ！
攻撃(対ガマゴン大王), この化け物！
サポートアタック(ドクターポルター), ポルター様！
サポートガード(ドクターポルター), ポルター様！



戦闘員ファイトロー(ザコ)
回避, ギコギコギコギコ…
回避, ギギギ…
回避, ギココ…
回避, ……
ダメージ小, ギギギッ！
ダメージ小, ギコギコギ…
ダメージ小, ギコ…
ダメージ小, ……
ダメージ中, ギコギコギコギコ…
ダメージ中, …ギココ…
ダメージ中, ギギギッ！ ギギッ！
ダメージ中, ……
ダメージ大, ……
ダメージ大, ギッ！ ギギギ…
破壊, …………
破壊, ギギギ…ギ…
射程外, ……
攻撃, ギコギコギコギコ…
攻撃, ギギッ！ ギッ！！
攻撃, ギギギギギギ…
攻撃, ギココッ！
攻撃, ……
攻撃, …コワッキッ…コワッ



魔怪獣(ザコ)
回避, ヒヒヒヒヒヒッ！！
回避, ウィヒッ！！
回避, ウォォォーーッ！！
回避, デェェェーーッ！！
回避, ギェェェーーッ！！
ダメージ小, ヒィヒヒヒィ…！
ダメージ小, ウィヒィィーーッ！
ダメージ小, ウォォォーーッ！！
ダメージ小, デェェェーーッ！！
ダメージ小, ギェェェーーッ！！
ダメージ中, シャァァァァ！！
ダメージ中, デェェェーーーッ！！
ダメージ中, ヒィィィーーーッ！！
ダメージ中, ウォォォォーーッ！！
ダメージ中, ギェェェーーーッ！！
ダメージ大, ガァァァァァッ！！！
ダメージ大, デェェェーーーッ！！
ダメージ大, ヒィィィーーーッ！？
ダメージ大, ウォォォォーーッ！？
ダメージ大, ギェェェーーーッ！？
破壊, グアァァァーーッ！！
破壊, ガアアアアーーッ！！
破壊, ヒエェェェェーーッ！？
破壊, ギェェェェェーーッ！？
射程外, ………！？
射程外, ムヒィィーーッ！？
攻撃, ビイイ！！ ビビビビイ！！
攻撃, ホワァッ！！
攻撃, ギャギャーーッ！！
攻撃, ウィヒィィーーッ！！
攻撃, デェェェーーーッ！！
攻撃, ヒェェェーーーッ！！
攻撃, ヒヒヒヒィーーッ！！
攻撃, ハァァァーーーッ！！
攻撃, ギェェェーーーッ！！



魔怪獣ドールビースト
回避, ホホホホホホホ…！
回避(対ベル＝ヘレン), 私の目を見て、ヘレン
ダメージ小, ヘェェレェェェェェン……
ダメージ中, イタイ！！ ヘレン助けて！！
ダメージ中(対ベル＝ヘレン), 忘れたの？ ヘレン……
ダメージ大, 助けてヘレン……イタイノヨ……
攻撃, シネ！！
攻撃, ホホホホホホホ…！
攻撃, アタシ、ローラ。遊びましょう……
攻撃(対ベル＝ヘレン), 捨てないで、ヘレン
攻撃(対ベル＝ヘレン), 私とっても寂しいのよヘレン……
攻撃(対ベル＝ヘレン), 私を撃てるか…？ 撃てるのなら撃ってみろ！！




女剣士レイサ
回避, ………！
回避, ふっ！！
回避, 馬鹿な奴！
回避, 当たるものか！
回避(対ベル＝ヘレン), この勝負、私の勝ちだなヘレンよ！
ダメージ小, 無駄だ！
ダメージ小, こんなものか…！
ダメージ小, つまらんことを！
ダメージ小(対ベル＝ヘレン), どうしたヘレン！
ダメージ中, おのれ！
ダメージ中, 調子に乗るな！
ダメージ中, 見事な腕だ…！
ダメージ中, おのれ……お前はなんとしても倒す！
ダメージ中(対ベル＝ヘレン), やはり手強い…！ ヘレンめ！
ダメージ大, レイダー様…！
ダメージ大, うあっ！？
ダメージ大, 馬鹿な…！？
ダメージ大, おのれ……ああっ！？
ダメージ大(対ベル＝ヘレン), おのれ……ヘレン！！
破壊, あああぁぁぁ……っ！？
射程外, 隙がない…！
格闘, 私の剣を受けよ！
攻撃, ふっ！！
攻撃, 死霊界から来た……レイサ！
攻撃, 最後だ！
攻撃, 死ぬがいい！
攻撃, 命はもらった！
攻撃, 死霊界がお前を呼んでいるぞ…！
攻撃(対宇宙刑事シャリバン), 邪魔をするなシャリバン！
攻撃(対電子戦隊), デンジマン、覚悟！
攻撃(対星雲仮面), 死ぬがいいマシンマン！
攻撃(対ベル＝ヘレン), お前の負けだ…！ ヘレン！
攻撃(対ベル＝ヘレン), ヘレン！ レイダー様の命により、死んでもらう！



#### その他 ----------------------------------------------------

ガマゴン大王
回避, …………
回避, ヴァゥゥゥゥゥ……
ダメージ小, ウゥゥゥゥ…！
