ＦＦＴ
####### 固有ジョブスキル #######
叫ぶ(使用), オーラ上昇 赤 Charge.wav
闇縛符(攻撃), @戦闘アニメ_オーラ上昇準備 黒 BeamSaber.wav
闇縛符(命中), -
不変不動(攻撃), @戦闘アニメ_オーラ上昇準備 赤 BeamSaber.wav
不変不動(命中), -
沈黙唱(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
沈黙唱(命中), -
腐生骸屍(攻撃), @戦闘アニメ_オーラ上昇準備 黒 BeamSaber.wav
腐生骸屍(命中), -
絶装魔脱(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
絶装魔脱(命中), -
碑封印(攻撃), @戦闘アニメ_オーラ上昇準備 黒 BeamSaber.wav
碑封印(命中), -
命吸唱(攻撃), @戦闘アニメ_オーラ上昇準備 赤 BeamSaber.wav
命吸唱(命中), 吸収 赤
勇猛狂符(攻撃), @戦闘アニメ_オーラ上昇準備 赤 BeamSaber.wav
勇猛狂符(命中), -
乱心唱(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
乱心唱(命中), -
夢邪睡符(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
夢邪睡符(命中), -
狐鶏鼠(攻撃), @戦闘アニメ_オーラ上昇準備 黄 BeamSaber.wav
狐鶏鼠(命中), -
魔吸唱(攻撃), @戦闘アニメ_オーラ上昇準備 青 BeamSaber.wav
魔吸唱(命中), 吸収 青
信祈仰祷(使用), @戦闘アニメ_オーラ上昇準備 桃 Whiz.wav
信祈仰祷(発動), @ＳＰアニメ_復活 相手ユニットＩＤ
信疑仰祷(使用), @戦闘アニメ_オーラ上昇準備 黒 Whiz.wav
信疑仰祷(発動), 決め画像 Anime\Common\EFFECT_GravityBall01.bmp BeamSaber.wav
彫塑(攻撃), 煙 黒 Chaff.wav
彫塑(命中), -
底なし沼(攻撃), 光噴出 黒 Fold.wav
底なし沼(命中), -
局地地震(攻撃), 振動 Gunpod.wav
局地地震(命中), -
落とし穴(攻撃), 決め画像 Anime\Common\EFFECT_GravityBall01.bmp Whiz.wav 背面 相手ユニットＩＤ;4;音再生 Bomb.wav
落とし穴(命中), ダメージ Punch.wav
砂嵐(攻撃), 粒子噴射 白 Wind.wav
砂嵐(命中), 粒子噴射 白 Search.wav
かまいたち(攻撃), 強風 Wind.wav
かまいたち(命中), 斬撃乱舞 Saber.wav
蔦地獄(攻撃), 光噴出 緑 Search.wav
蔦地獄(命中), 連打 BreakOff.wav
鬼火(攻撃), 炎投射 青 Whiz.wav
鬼火(命中), 炎 青 Fire.wav
吹雪, 吹雪
水塊(攻撃), 泡球 Whiz.wav
水塊(命中), 飛沫 青 Splash.wav
突風(攻撃), 実弾発射 Anime\Common\EFFECT_SonicBoom(White)01.bmp AntiAirMissile.wav
突風(命中), ダメージ Punch.wav
溶岩ボール(準備), -
溶岩ボール(攻撃), 火炎弾 赤
溶岩ボール(命中), オーラ上昇 赤 Fire.wav
竜の魂, 吸収 青
ジャンプ(準備), スピア 
ジャンプ(攻撃), スピア急降下
ジャンプ(命中), スピア急降下
ジャンプ４, スピア急降下
ジャンプ４(命中), スピア急降下;ダメージ -.wav
ジャンプ５, スピア急降下
ジャンプ５(命中), スピア急降下;超斬撃
阿修羅【武術幻刀】(準備), 日本刀
阿修羅【武術幻刀】(攻撃), @戦闘アニメ_オーラ上昇準備 青 Roar.wav
阿修羅【武術幻刀】(命中), 回転斬撃;斬撃
虎鉄【暗闇の呪縛】(準備), 日本刀
虎鉄【暗闇の呪縛】(攻撃), @戦闘アニメ_オーラ上昇準備 黒 Roar.wav
虎鉄【暗闇の呪縛】(命中), 飛沫 黒 Cannon.wav;飛沫 黒 Cannon.wav
備前長船【忘却の言霊】(準備), 日本刀
備前長船【忘却の言霊】(攻撃), @戦闘アニメ_オーラ上昇準備 黒 Roar.wav
備前長船【忘却の言霊】(命中), -
天のむら雲【森羅雲海】(準備), 日本刀
天のむら雲【森羅雲海】(攻撃), @戦闘アニメ_オーラ上昇準備 青 Roar.wav
天のむら雲【森羅雲海】(命中), 煙 Search.wav;オーラ上昇 青 -.wav
菊一文字【菊一文字】(準備), 日本刀
菊一文字【菊一文字】(攻撃), @戦闘アニメ_オーラ上昇準備 赤 Roar.wav
菊一文字【菊一文字】(命中), 中ビーム 赤 Roar.wav
村正【呪われし野望】(準備), 日本刀
村正【呪われし野望】(攻撃), @戦闘アニメ_オーラ上昇準備 黒 Roar.wav
村正【呪われし野望】(命中), 光噴出 黒 Roar.wav;炎 黒 Inori.wav
塵地螺鈿飾剣【乱の炎】(準備), 日本刀
塵地螺鈿飾剣【乱の炎】(攻撃), @戦闘アニメ_オーラ上昇準備 青 Roar.wav
塵地螺鈿飾剣【乱の炎】(命中), 炎斬撃 青 AntiShipMissile.wav;炎斬撃 青 二刀流 AntiShipMissile.wav;火炎放射 青 Breath.wav
村雨【恵の雨】(準備), 日本刀
村雨【恵の雨】(使用), @戦闘アニメ_オーラ上昇準備 青 FlyBy(High).wav
村雨【恵の雨】(発動), 回復魔法
清盛【祈祷神羅の風】(準備), 日本刀
清盛【祈祷神羅の風】(使用), @戦闘アニメ_オーラ上昇準備 緑 FlyBy(High).wav
清盛【祈祷神羅の風】(発動), エネルギーフィールド展開
正宗【精魂投入】(準備), 日本刀
正宗【精魂投入】(使用), @戦闘アニメ_オーラ上昇準備 青 FlyBy(High).wav
正宗【精魂投入】(発動), 光噴出 青 Charge.wav
肉斬骨断(攻撃), 振る武器突撃 -.bmp
肉斬骨断(命中), @戦闘アニメ_斬撃攻撃;大斬撃
手裏剣, 手裏剣
柳生の漆黒, 手裏剣
かとんの玉(攻撃), 投擲武器 Anime\Magic\EFFECT_MCircle(Red)01.bmp 16 Whiz.wav
かとんの玉(命中), 爆発
ひょうすいの玉(攻撃), 投擲武器 Anime\Magic\EFFECT_MCircle(Blue)01.bmp 16 Whiz.wav
ひょうすいの玉(命中), 飛沫 青 Splash.wav
らいじんの玉(攻撃), 投擲武器 Anime\Magic\EFFECT_MCircle(Yellow)01.bmp 16 Whiz.wav
らいじんの玉(命中), 放電 Thunder.wav
レベル３トード(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav
レベル３トード(命中), -
レベル３ブリザド(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
レベル３ブリザド(命中), つらら
レベル４ファイラ(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav
レベル４ファイラ(命中), 爆発;炎 赤 Fire.wav
レベル５サンダガ(攻撃), @戦闘アニメ_発光準備 黄 EvilEye.wav
レベル５サンダガ(命中), 粒子集中 黄 -.wav;大電撃
レベル４フレア(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav
レベル４フレア(命中), 連続大爆発 3 Breath.wav;超爆発
レベル４アレイズ(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
レベル４アレイズ(命中), -
レベル４アレイズ(クリティカル), @ＳＰアニメ_祈り 対象ユニットＩＤ 相手ユニットＩＤ
レベル５ホーリー(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
レベル５ホーリー(命中), 粒子集中 青 -.wav;光柱 Explode(Far).wav
レベル３スロウ(攻撃), @戦闘アニメ_発光準備 白 EvilEye.wav
レベル３スロウ(命中), -
レベル３ドンムブ(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
レベル３ドンムブ(命中), -
レベル４ストップ(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav
レベル４ストップ(命中), -
レベル５グラビガ(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
レベル５グラビガ(命中), -
レベル５グラビガ(クリティカル), 粒子集中 黒 Whiz.wav;@戦闘アニメ_重力圧縮命中 BeamSaber.wav
レベル５碑封印(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
レベル５碑封印(命中), -
天使の詩(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
天使の詩(発動), 炎 白 Charge.wav
命の詩(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
命の詩(発動), 回復魔法
応援歌(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
応援歌(発動), @ＳＰアニメ_加速 相手ユニットＩＤ
戦いの詩(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
戦いの詩(発動), オーラ上昇 赤 Charge.wav
魔力の詩(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
魔力の詩(発動), オーラ上昇 青 Charge.wav
名もなき詩(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
名もなき詩(発動), 炎 緑 Fire.wav
ラストソング(使用), @戦闘アニメ_音符 Sharara.wav 対象ユニットＩＤ
ラストソング(発動), 魔法放射 大 Charge(High).wav;オーラ上昇 白 -.wav
ウイッチハント(攻撃), タックル Sharara.wav;タックル -.wav
ウイッチハント(命中), -
ウイズナイブス(攻撃), タックル Sharara.wav;タックル -.wav
ウイズナイブス(命中), -
スローダンス(攻撃), タックル Sharara.wav;タックル -.wav
スローダンス(命中), -
ポルカポルカ(攻撃), タックル Sharara.wav;タックル -.wav
ポルカポルカ(命中), -
アンフェイス(攻撃), タックル Sharara.wav;タックル -.wav
アンフェイス(命中), -
ネイムレスダンス(攻撃), タックル Sharara.wav;タックル -.wav
ネイムレスダンス(命中), -
ラストダンス(攻撃), タックル Sharara.wav;タックル -.wav
ラストダンス(命中), -
ものまね(攻撃), 発光 白 EvilEye.wav
ものまね(命中), -
なんでもものまね(攻撃), 発光 白 EvilEye.wav
なんでもものまね(命中), -
###### モンスター用武装 ######
チョコアタック(攻撃), タックル
チョコアタック(命中), 打撃 Punch.wav
チョコボール(攻撃), 火炎弾 赤 Whiz.wav
チョコボール(命中), 大爆発
チョコメテオ(攻撃), 打ち下ろし Anime\Fire\EFFECT_FlameThrowerHit(Red)06.bmp 32 Bomb.wav
チョコメテオ(命中), 連続爆発 2;大爆発
チョコケアル, 回復魔法
チョコエスナ, 回復魔法泡
目潰し(攻撃), 刺突
目潰し(命中), 刺突 Punch.wav;ダメージ -.wav
回転パンチ(攻撃), なぎ払い
回転パンチ(命中), 強打 Punch.wav
ミュウチレイト(攻撃), 振る武器突撃 -.bmp
ミュウチレイト(命中), 噛み付き;オーラ上昇 赤 -.wav
かみつく, 噛み付き
自爆(準備), 粒子集中 赤
自爆, 自爆
コボム(攻撃), 実弾発射 Anime\Common\EFFECT_Particle(Red)01.bmp 32 Bomb.wav
コボム(命中), 連続爆発 3
フレイムアタック(攻撃), 火炎弾
フレイムアタック(命中), 炎
スパーク(攻撃), @戦闘アニメ_大放電準備 赤 Explode.wav
スパーク(命中), 大爆発
ネコキック(攻撃), サマーソルト
ネコキック(命中), 連打 Punch.wav
ブラスター(攻撃), 魔法放射 黒 BeamSaber.wav
ブラスター(命中), -
すみ(攻撃), 火炎弾 黒 Chaff.wav
すみ(命中), 飛沫 黒 Splash.wav
触手(攻撃), 斬撃;なぎ払い
触手(命中), 打突 Whip.wav
怪音波, 音波
怪音波(命中), -
マインドブラスト(攻撃), @戦闘アニメ_発光準備 白 BeamCoat.wav
マインドブラスト(命中), 魔法放射 白 BeamCoat.wav
レベルブラスト(攻撃), @戦闘アニメ_発光準備 赤 BeamCoat.wav
レベルブラスト(命中), 魔法放射 赤 BeamCoat.wav
手刀(攻撃), 刺突
手刀(命中), ダメージ Punch.wav
サンダーソウル(攻撃), 球電 Whiz.wav
サンダーソウル(命中), 放電 Thunderbolt.wav
アクアソウル(攻撃), 実弾発射 Anime\Common\EFFECT_BubbleSphere01.bmp 24 Whiz.wav
アクアソウル(命中), 飛沫 青 Splash.wav
アイスソウル(攻撃), 火炎弾 白 Whiz.wav
アイスソウル(命中), 凍結 Ice.wav
ウインドソウル(攻撃), 実弾発射 Anime\Common\EFFECT_SonicBoom(White)01.bmp 32 Whiz.wav
ウインドソウル(命中), 強風
霊気(攻撃), 気弾 遅 BeamSaber.wav
霊気(命中), オーラ上昇 青 Inori.wav
スリープタッチ(攻撃), 打突 Whiz.wav
スリープタッチ(命中), 打撃 -.wav;オーラ上昇 白 Wind.wav
グリースタッチ(攻撃), 打突 Whiz.wav
グリースタッチ(命中), 打撃 -.wav;オーラ上昇 黒 Fold.wav
ドレインタッチ(攻撃), 打突 Whiz.wav
ドレインタッチ(命中), 打撃 -.wav;吸収 赤
ゾンビタッチ(攻撃), 打突 Whiz.wav
ゾンビタッチ(命中), 打撃 -.wav;炎 黒 Inori.wav
翼撃(攻撃), 飛びかかり
翼撃(命中), 連打 Punch.wav
恐怖の視線(攻撃), @戦闘アニメ_発光準備 黄 EvilEye.wav
恐怖の視線(命中), -
悪魔の視線(準備), 魔法集中 黒
悪魔の視線(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
悪魔の視線(命中), -
死の宣告(攻撃), オーラ上昇 黒 FlyBy(High).wav
死の宣告(命中), 炎 黒 Search.wav
サークル(攻撃), @戦闘アニメ_発光準備 黄 EvilEye.wav;2;決め画像 Anime\Common\EFFECT_Circle(Yellow)01.bmp BeamCoat.wav
サークル(命中), -
かきむしる(攻撃), タックル
かきむしる(命中), 爪撃;爪撃;爪撃
フェザーボム(攻撃), 急降下
フェザーボム(命中), オーラ上昇 赤 Explode.wav
くちばし(攻撃), タックル
くちばし(命中), 打撃 Punch.wav
光ものが好き(攻撃), タックル
光ものが好き(命中), ダメージ Punch.wav
ビーキング, 急降下
ちょとつもうしん, タックル
ぷ～っ(攻撃), 煙噴射 黄 Chaff.wav
ぷ～っ(命中), -
はないき(攻撃), 煙噴射 桃 Wind.wav
はないき(命中), -
ブヒー(使用), @戦闘アニメ_音符 SteamWhistle.wav 対象ユニットＩＤ
ブヒー(発動), 回復魔法
食べてもらう(使用), @ＳＰアニメ_復活 対象ユニットＩＤ
食べてもらう(発動), 光噴出 桃 Sharara.wav;オーラ上昇 桃
枝撃, 白兵武器
木の葉乱舞(攻撃), @戦闘アニメ_木の葉乱舞準備 Whiz.wav
木の葉乱舞(命中), オーラ上昇 緑 Inori.wav
命の精(使用), @戦闘アニメ_ＭＡＰ発光 白 EvilEye.wav
命の精(発動), 回復魔法
魔法の精(使用), @戦闘アニメ_ＭＡＰ発光 青 EvilEye.wav
魔法の精(発動), 回復魔法
ツルハシ, ピック
ツルハシ<MAP>(準備), ピック
ツルハシ<MAP>(攻撃), 回転斬撃
ツルハシ<MAP>(準備), 打撃 Punch.wav
火を吹く, 火炎放射
タイタンのまね(攻撃), ジャンプ;2;ＭＡＰ地震
タイタンのまね(命中), ダメージ Crash.wav;ダメージ Crash.wav;ダメージ Crash.wav
力をためる(使用), 粒子集中 赤 Charge.wav
力をためる(発動), オーラ上昇 赤 Charge.wav
臭い息, ＭＡＰ煙 黒 AntiAirMissile.wav
ねとねと液, 泡
自動反撃(モルボル菌), オーラ上昇 黒 Search.wav 相手ユニットＩＤ
モルボル菌, -
モルボル菌(命中), -
突きあげる(攻撃), ２連中ビーム 白 Swing.wav
突きあげる(命中), ２連中ビーム 白 Stab.wav;ダメージ -.wav;ダメージ -.wav
しゃくりあげる(攻撃), 振る武器突撃 -.bmp;振り上げ
しゃくりあげる(命中), アッパー Crash.wav;ダメージ -.wav
ギガフレア(準備), オーラ上昇 黒 Charge.wav
ギガフレア(攻撃), ＭＡＰオーラ 橙 Explode(Far).wav
ギガフレア(命中), 連続大爆発 3 Breath.wav;大爆発 Explode(Far).wav
ハリケーン(攻撃), ＭＡＰ竜巻
ハリケーン(命中), 竜巻 Storm.wav;落下 -.wav;ダメージ Crash.wav
アルマゲスト(攻撃), ＭＡＰブラックホール 白 Thunderbolt.wav
アルマゲスト(命中), 粒子集中 白 Thunderbolt.wav;放電 -.wav
突進(攻撃), 振る武器突撃 -.bmp Gunpod.wav
突進(命中), 超打 Crash.wav
尻尾振り回し(攻撃), 連続なぎ払い
尻尾振り回し(命中), 乱打 Punch.wav
アイスブレス(攻撃), 火炎放射 白 Storm.wav
アイスブレス(命中), 火炎放射 白 Storm.wav;凍結
サンダーブレス, 大電撃 Thunderbolt.wav
ファイアブレス(攻撃), 火炎放射 赤 Breath.wav
ファイアブレス(命中), 火炎放射 赤 Breath.wav;光噴出 赤 Fire.wav
トリプルアタック(攻撃), タックル
トリプルアタック(命中), 噛み付き;噛み付き;超打 Crash.wav
トリプルブレス(攻撃), 火炎弾 白 Bazooka.wav;火炎弾 白 Bazooka.wav;火炎弾 白 Bazooka.wav
トリプルブレス(命中), 連続大爆発 3
トリプルサンダー, 大電撃 Thunderbolt.wav;大電撃 Thunderbolt.wav;大電撃 Thunderbolt.wav
トリプルフレイム, 火炎放射 赤 Breath.wav;火炎放射 赤 Breath.wav;火炎放射 赤 Breath.wav
暗黒の囁き(準備), 光噴出 黒 -.wav
暗黒の囁き(攻撃), 拡散ビーム 黒 Roar.wav
暗黒の囁き(命中), 拡散ビーム 黒 Roar.wav;オーラ上昇 黒 Earthquake.wav
###### 汎用武器 ######
ミスリルソード二刀流, ソード
忍び刀二刀流, 脇差
忍者ロング二刀流, 脇差
呪縛刀二刀流, 脇差
清盛二刀流, 日本刀
モーニングスター二刀流, モーニングスター

汎用
###### 汎用武器 ######
メイジマッシャー, ナイフ
ゾーリンシェイプ, ナイフ
ミスリルソード, ソード
ルーンブレイド, サーベル
ブラッドソード, 黒剣
ナグラロク, 炎剣
ナグラロク(命中), ダメージ Punch.wav
忍び刀, 脇差
忍者ロング, 脇差
呪縛刀, 脇差
備前長船, 日本刀
清盛, 日本刀
正宗, 日本刀
塵地螺鈿飾剣, 日本刀
塵地螺鈿飾剣【乱の炎】(準備), 日本刀
塵地螺鈿飾剣【乱の炎】(攻撃), @戦闘アニメ_オーラ上昇準備 青 Roar.wav
塵地螺鈿飾剣【乱の炎】(命中), 炎斬撃 青 AntiShipMissile.wav;炎斬撃 青 二刀流 AntiShipMissile.wav;火炎放射 青 Breath.wav
正宗【精魂投入】(準備), 日本刀
正宗【精魂投入】(使用), @戦闘アニメ_オーラ上昇準備 青 FlyBy(High).wav
正宗【精魂投入】(発動), 光噴出 青 Charge.wav
ディフェンダー, カトラス
セイブザクィーン, ソード
エクスカリバー, 神剣
エクスカリバー(命中), 斬撃
ラグナロク, 炎剣
ラグナロク(命中), 斬撃
カオスブレイド, 大剣
カオスブレイド(命中), 大斬撃
巨人の斧, バイキングアクス
巨人の斧(命中), 大斬撃
スラッシャー, 巨大斧
スラッシャー(命中), 唐竹割り
フレイムウィップ(準備), 分銅
フレイムウィップ(攻撃), 白兵武器
フレイムウィップ(命中), 打撃 Punch.wav;オーラ上昇 赤 Fire.wav
サソリのしっぽ(準備), フックロープ
サソリのしっぽ(攻撃), 白兵武器
サソリのしっぽ(命中), 強打 Punch.wav
ジャベリン, スピア
竜の髭, 蛇矛
竜の髭(命中), 大刺突
ナイトキラー, クロスボウ
ポイズンボウ, クロスボウ
ハンティングボウ, クロスボウ
ガストラフェテス(準備), 射撃武器 Anime\Weapon\EFFECT_CrossBow01.bmp 40 Reload.wav
ガストラフェテス(攻撃), 手持ち発射 Anime\Weapon\EFFECT_CrossBow01.bmp 40 対象ユニットＩＤ Anime\Bullet\EFFECT_Arrow01.bmp 36 Bazooka.wav
ガストラフェテス(命中), 大刺突 Crash.wav
氷の弓, 弓矢
氷の弓, 刺突;飛沫 白 Glass.wav
ライトニングボウ, 弓矢
ライトニングボウ, 刺突;放電 Thunder.wav
風斬りの弓, 弓矢
風斬りの弓, 刺突;強風
ロマンダ銃, リボルバー
ミスリル銃, リボルバー
ブレイズガン, リボルバー
ブレイズガン(命中), 飛沫 白 Glass.wav
グレイシャルガン, リボルバー
グレイシャルガン(命中), 爆発
ブラストガン, リボルバー
ブラストガン(命中), 放電 Thunder.wav
じゃこうしゃく(準備), ロッド
じゃこうしゃく(攻撃), 刺突
じゃこうしゃく(命中), ダメージ Punch.wav
ゴクウの棒(準備), ロッド
ゴクウの棒(攻撃), 刺突
ゴクウの棒(命中), ダメージ Punch.wav
八角棒(準備), ロッド
八角棒(攻撃), 刺突
八角棒(命中), ダメージ Punch.wav
鯨の髭(準備), ロッド
鯨の髭(攻撃), 刺突
鯨の髭(命中), ダメージ Punch.wav
サイプレスパイル(準備), ロッド
サイプレスパイル(攻撃), 刺突
サイプレスパイル(命中), ダメージ Punch.wav
ロッド, 杖
メイスオブゼウス, 杖
バトルディクト, 本
怪物事典, 本
パピルスプレイト, 本
マダレムジエン, 本
ラミアの竪琴, ハープ
血の十二弦, ハープ
妖精のハープ, ハープ
カシミール, 白兵武器
Ｃのバッグ, 白兵武器
Ｐのバッグ, 白兵武器
Ｈのバッグ, 白兵武器
ＦＳのバッグ, 白兵武器

ラムザ＝ベオルブ
ジャンプ(攻撃), 急降下
ジャンプ(命中), 突く武器急降下 Anime\Weapon\EFFECT_Sword02.bmp
ジャンプ４(攻撃), 急降下
ジャンプ４(命中), 突く武器急降下 Anime\Weapon\EFFECT_Sword02.bmp;ダメージ -.wav
ジャンプ５(攻撃), 急降下
ジャンプ５(命中), 突く武器急降下 Anime\Weapon\EFFECT_Sword02.bmp;超斬撃

イズルード＝ティンジェル
ジャンプ４(攻撃), 急降下
ジャンプ４(命中), 突く武器急降下 Anime\Weapon\EFFECT_Sword02.bmp;ダメージ -.wav
ジャンプ５(攻撃), 急降下
ジャンプ５(命中), 突く武器急降下 Anime\Weapon\EFFECT_Sword02.bmp;超斬撃

ベイオウーフ＝カドモス
ゾンビー(攻撃), 斬撃;魔法放射 黒 BeamSaber.wav
ゾンビー(命中), -
ゾンビー(クリティカル), オーラ上昇 黒 Fold.wav
ドンアク(攻撃), 斬撃;魔法放射 赤 BeamSaber.wav
ドンアク(命中), -
チキン(攻撃), 斬撃;魔法放射 黄 BeamSaber.wav
チキン(命中), -
アスピル(攻撃), 斬撃;魔法放射 青 BeamSaber.wav
アスピル(命中), 吸収 青
ドレイン(攻撃), 斬撃;魔法放射 赤 BeamSaber.wav
ドレイン(命中), 吸収 赤
ショック！(攻撃), 斬撃;魔法放射 橙 BeamSaber.wav
ショック！(命中), 大放電 橙
フェイス(使用), @戦闘アニメ_斬撃攻撃;魔法放射 桃 BeamSaber.wav
フェイス(発動), @ＳＰアニメ_復活 相手ユニットＩＤ
イノセン(使用), @戦闘アニメ_斬撃攻撃;魔法放射 黒 BeamSaber.wav
イノセン(発動), 決め画像 Anime\Common\EFFECT_GravityBall01.bmp BeamSaber.wav

クラウド＝ストライフ(ＦＦＴ)
マテリアブレイド, 斬撃武器 Anime\Weapon\EFFECT_Hatchet01.bmp 40
画龍点睛(攻撃), 斬撃
画龍点睛(命中), オーラ上昇 青 Whiz.wav;光柱
破晄撃(攻撃), 斬撃;実弾発射 Anime\Bullet\EFFECT_AuraBall01.bmp Whiz.wav
破晄撃(命中), 飛沫 青 Punch.wav
ブレイバー(攻撃), 斬撃
ブレイバー(命中), 魔法放射 赤 Inori.wav
凶斬り(攻撃), 斬撃
凶斬り(命中), 大斬撃 二刀流 Saber.wav
メテオレイン(攻撃), 斬撃
メテオレイン(命中), @戦闘アニメ_隕石攻撃;連続大爆発 4
クライムハザード(攻撃), 斬撃
クライムハザード(命中), 粒子集中 赤;光噴出 赤 Search.wav
裏超究武神覇斬(準備), 光噴出 橙 Storm.wav
裏超究武神覇斬(攻撃), 斬撃
裏超究武神覇斬(命中), 粒子集中 青 Charge(High).wav;2;超斬撃 青 -.wav
桜華狂咲(準備), 光噴出 橙 Storm.wav
桜華狂咲(攻撃), 斬撃
桜華狂咲(命中), 大放電 橙;発光 白 Sword.wav;5;連続大爆発 3 Breath.wav;超爆発

