#武器アイコンの添付が不要なanimationです。
#05/04/29の段階で更新停止しています。
#以後、基本的に更新しません。


ファイアーエムブレム
##############  剣系エフェクト  #############
アーマーキラー, 剣
アイボール, 大キャノン砲
触手, 多触手 赤
ビグルの召喚(攻撃), キャノン砲 20 速 Storm.wav
ビグルの召喚(命中), 噛み付き Stab.wav;噛み付き Stab.wav
ビグルの群れ(攻撃), キャノン砲 20 速 Storm.wav
ビグルの群れ(命中), 噛み付き Stab.wav;噛み付き Stab.wav
邪神の呪い(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ
邪神の呪い(命中), 粒子集中 黒 Inori.wav
ハーピィロッド(準備), 弓
ハーピィロッド(攻撃), 弓矢 Bow.wav
ハーピィロッド(命中), 矢 Stab.wav
絡みつき, タックル;タックル
巻き込み, 旋風 緑 Storm.wav
埋め尽くし, ＭＡＰ大キャノン砲 Storm.wav
オープスの群れ, ＭＡＰ連気弾 速 残像 Storm.wav
火竜石(攻撃), 火炎放射 Breath.wav
火竜石(命中), 火炎放射 Fire.wav


汎用
グラディウス・投擲(準備), パイク
グラディウス・投擲(攻撃), 投擲武器 Weapon\EFFECT_Pike01.bmp Beam.wav 速 残像
グラディウス・投擲(命中), ロケットパンチ Weapon\EFFECT_Pike01.bmp Stab.wav
グラディウス・投擲(クリティカル), Combo.wav;デフォルト
グラディウス, パイク
グラディウス(クリティカル), Combo.wav;デフォルト
メリクルソード(準備), 剣
メリクルソード(攻撃), 白兵武器
メリクルソード(命中), 超斬撃 Slash(2).wav
メリクルソード(クリティカル), Combo.wav;デフォルト
パルティア(準備), オーラ上昇 赤 Fire.wav
パルティア, 中ビーム 赤
パルティア(命中), 大刺突
パルティア(クリティカル), @戦闘アニメ_超爆発命中
マルテ(準備), Glass.wav;1;White.bmp 480 480;Clear;パイク
マルテ, パイク突撃
マルテ(命中), パイク突撃
ミュルグレ(準備), Glass.wav;1;White.bmp 480 480;Clear;弓
ミュルグレ, 中ビーム 青
ミュルグレ(命中), 大刺突
デュランダル(準備), Glass.wav;1;White.bmp 480 480;Clear;巨大剣
デュランダル(攻撃), 白兵武器
デュランダル(命中), 大斬撃
アルマーズ(準備), Glass.wav;1;White.bmp 480 480;Clear;巨大斧
アルマーズ(攻撃), 白兵武器
アルマーズ(命中), 大斬撃
フォルブレイズ(準備)(対瀕死), EvilEye.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ(準備), Glass.wav;1;White.bmp 480 480;Clear;AntiShipMissile.wav
フォルブレイズ(攻撃), @戦闘アニメ_連続爆発命中 MultipleRocketLauncher(Light).wav
フォルブレイズ(命中), @戦闘アニメ_オーラ上昇準備 赤 MicroMissile.wav 相手ユニットＩＤ
アーリアル(準備), Glass.wav;1;White.bmp 480 480;Clear;
アーリアル(攻撃), 光打ち下ろし 橙 Hittyuu.wav
アーリアル(命中), Flair.wav;光噴出 橙 MicroMissile.wav
アポカリプス(準備), Glass.wav;1;White.bmp 480 480;Clear
アポカリプス(攻撃), 旋風 黒 MicroMissile.wav
アポカリプス(命中), シュートカッター 黒 MicroMissile.wav;シュートカッター 赤 -.wav;シュートカッター 黄 -.wav;シュートカッター 黒 -.wav
ティルフィング(準備), 発光 黄 Glass.wav;神剣
ティルフィング(攻撃), 白兵武器
ティルフィング(命中), 斬撃
ティルフィング(クリティカル), Combo.wav;デフォルト
ミストルティン(準備), 発光 黄 Glass.wav;巨大剣
ミストルティン(攻撃), 白兵武器
ミストルティン(命中), 黒斬撃
ミストルティン(クリティカル), Combo.wav;デフォルト
バルムンク(準備), 発光 黄 Glass.wav;剣
バルムンク, 分身斬撃
バルムンク(命中), 分身斬撃
バルムンク(クリティカル), Combo.wav;デフォルト
ゲイボルグ(準備), 発光 黄 Glass.wav;パイク
ゲイボルグ, パイク突撃
ゲイボルグ(命中), パイク突撃
ゲイボルグ(クリティカル), Combo.wav;デフォルト
グングニル(準備), 発光 黄 Glass.wav;パイク
グングニル, パイク急降下
グングニル(命中), パイク急降下
グングニル(クリティカル), Combo.wav;デフォルト
スワンチカ(準備), 発光 黄 Glass.wav;金の斧
スワンチカ, 金の斧投擲
スワンチカ(命中), 横大斬撃
スワンチカ(クリティカル), Combo.wav;デフォルト
イチイバル(準備), 発光 黄 Glass.wav;弓
イチイバル, 中ビーム イエロー
イチイバル(命中), 大刺突
イチイバル(クリティカル), Combo.wav;デフォルト
フォルセティ(準備), 発光 黄 Glass.wav
フォルセティ, FE_フォルセティ
フォルセティ(命中), FE_フォルセティ
ファラフレイム(準備), 発光 黄 Glass.wav
ファラフレイム(攻撃), 飛来アップ Explode\EFFECT_BigExplode02.bmp 赤 Fire.wav
ファラフレイム(命中), 超爆発 MicroMissile.wav
トールハンマー(準備), 発光 黄 Glass.wav
トールハンマー(攻撃), 魔法陣 黒 BeamSaber.wav 相手ユニットＩＤ 背面
トールハンマー(命中), 重力圧縮;大放電
ナーガ(準備), 発光 黄 Glass.wav
ナーガ, 浮上アップ MapBeam\EFFECT_360Beam(Yellow)03.bmp 黄 Charge(high).wav 残像;1;White.bmp 480 480
ナーガ(命中), @戦闘アニメ_ＭＡＰオーラ攻撃 黄 MicroMissile.wav;ダメージ Crash.wav
ロプトウス(準備), 発光 黄 Glass.wav
ロプトウス, 降下アップ MapBeam\EFFECT_360Beam(Black)03.bmp 黒 Explode(Long).wav 残像;1;Black.bmp 480 480
ロプトウス(命中), @戦闘アニメ_ＭＡＰオーラ攻撃 黒 MicroMissile.wav;ダメージ Crash.wav
