
リョウ＝サカザキ
巴投げ, ブレーンバスター
蒙古天武人乱舞(準備), フェイスアップ AOF_Temjin.bmp Charge.wav 衝撃
蒙古天武人乱舞(攻撃), 打撃突撃
蒙古天武人乱舞(命中), 乱打;強打 Crash.wav


ギース＝ハワード(龍虎の拳)
スライディング, キック
エクスプロージョンボール(攻撃), 振る武器突撃 Common\EFFECT_LightningBall03.bmp BeamSaber.wav
エクスプロージョンボール(命中), 立ち固め 1 遅 BeamCoat.wav;強打 Crash.wav
烈風拳(攻撃), 振り上げ;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp 32 Whiz.wav
烈風拳(命中), 飛沫 青
飛翔日輪斬(攻撃), なぎ払い
飛翔日輪斬(命中), 大斬撃
デッドリーレイブ(準備), オーラ上昇 ホワイト
デッドリーレイブ(攻撃), 打撃突撃
デッドリーレイブ(命中), 連打 FightHit(1).wav;連打 FightHit(2).wav;超打 Glass.wav


カーマン＝コール
ダッジ・ハイキック(攻撃), 音再生 Flair.wav
ダッジ・ハイキック(命中), @戦闘アニメ_デフォルト攻撃 対象ユニットＩＤ Whiz.wav
ハイポイントヒール(攻撃), 斬撃突撃
ハイポイントヒール(命中), 唐竹割り Punch.wav
Ｑ・バックナックル(攻撃), 打撃突撃 Saber.wav
Ｑ・バックナックル(命中), 強打
Ｑ・アンダーストレート(攻撃), 打撃突撃 Bow.wav
Ｑ・アンダーストレート(命中), 強打
Ｈ・Ｓ・Ａ(攻撃), 格闘
Ｈ・Ｓ・Ａ(命中), 連打
Ｇ・Ｆ・Ｖ・Ｏ(攻撃), アッパー Saber.wav
Ｇ・Ｆ・Ｖ・Ｏ(命中), 振り上げ Punch.wav
Ａ・Ｆ・Ｗ(攻撃), 打撃突撃
Ａ・Ｆ・Ｗ(命中), 投げ飛ばし Shock(low).wav;投げ飛ばし Shock(low).wav;投げ飛ばし Shock(low).wav;投げ飛ばし


ロディ＝バーツ
スラントローキック(攻撃), スピンキック
スラントローキック(命中), なぎ払い Punch.wav
ラピッドロッド(攻撃), トンファー突撃 二刀流
ラピッドロッド(命中), 連打
リボルビングロッド(攻撃), 回転投擲武器 Weapon\EFFECT_Tonfer01.bmp
リボルビングロッド(命中), ダメージ Punch.wav
ミドルインパクトＴ・Ｔ(攻撃), 打撃突撃
ミドルインパクトＴ・Ｔ(命中), 連続なぎ払い FightHit(1).wav
ディスティーヴインパクト(準備), @戦闘アニメ_画像投射使用 Weapon\EFFECT_Tonfer01.bmp Swing(2).wav
ディスティーヴインパクト(攻撃), 決め文字 ？ ホワイト UnitOn.wav;ディレイ -.wav 5;トンファー突撃
ディスティーヴインパクト(命中), 強打 Crash.wav
ハイパートンファー(準備), 粒子集中 ブルー Charge.wav
ハイパートンファー(攻撃), 振る武器突撃 Weapon\EFFECT_Tonfer01.bmp Beam.wav
ハイパートンファー(命中), ハイパービームサーベル ブルー Crash.wav


レニィ＝クレストン
トワインスロー(準備), 鞭
トワインスロー(攻撃), なぎ払い
トワインスロー(命中), 刺突 Bow.wav;なぎ払い Reload.wav;落下 FallDown.wav
ショートウィップ(攻撃), 鞭突撃
ショートウィップ(命中), 連突 Punch.wav
フリックショット(準備), 鞭
フリックショット(攻撃), 鞭;実弾発射 Common\EFFECT_SonicBoom(Red)02.bmp
フリックショット(命中), ダメージ Whip.wav
フォースイッシュレイブ(準備), 鞭
フォースイッシュレイブ(攻撃), 振り下ろし;振り上げ;振り下ろし;振り上げ
フォースイッシュレイブ(命中), 乱打 Whip.wav
ウィップラッシュ(準備), 鞭
ウィップラッシュ(攻撃), なぎ払い;振り下ろし;なぎ払い;振り下ろし
ウィップラッシュ(命中), 連打 Whip.wav;刺突 Whip.wav
フリッツブレイク(攻撃), 鞭突撃
フリッツブレイク(命中), 乱打 Whip.wav;ダメージ Whip.wav


王覚山
地滑突, 打撃突撃
白蛇吐信, 打突
右端脚(攻撃), なぎ払い
右端脚(命中), ダメージ;落下
強襲地雷尻君(攻撃), ジャンプ;振動
強襲地雷尻君(命中), 落下
飛翔石頭君, ヘッドバット
無敵嵐武君(攻撃), タックル
無敵嵐武君(命中), 打突;@戦闘アニメ_回転斬撃攻撃;乱打
究極奥義乱打君(準備), 粒子集中 レッド
究極奥義乱打君(攻撃), タックル
究極奥義乱打君(命中), ダメージ;@戦闘アニメ_回転斬撃攻撃;乱打;強打


藤堂香澄
露払い(攻撃), 音再生 Slap.wav;打撃突撃 Saber.wav
露払い(命中), 強打 Whip.wav
白波(攻撃), タックル
白波(命中), 打突 Punch.wav
双掌槍突脚(攻撃), タックル
双掌槍突脚(命中), ダメージ Punch.wav;強打 Punch.wav
雷咆吼(攻撃), タックル
雷咆吼(命中), ダメージ Shock(low).wav
重ね当て(攻撃), 振り下ろし;実弾発射 Laser\EFFECT_EnergyBlade(Blue)03.bmp AntiAirMissile.wav 残像
重ね当て(命中), ダメージ Shock(low).wav
殺掌陰蹴(攻撃), タックル
殺掌陰蹴(命中), 強打 Glass.wav
秘伝・超重ね当て(準備), 粒子集中 ブルー Charge(High).wav
秘伝・超重ね当て(攻撃), 振り下ろし;実弾発射 Bullet\EFFECT_GroundCutter(Blue)01.bmp MultipleRocketLauncher(Light).wav 残像
秘伝・超重ね当て(命中), ダメージ Explode.wav
白山桃, アッパー
殺拳陰打(攻撃), 打突
殺拳陰打(命中), 強打 Glass.wav
滅身無投, 投げ飛ばし
半身・諸手返し, 投げ飛ばし
不知火(攻撃), 打突
不知火(命中), 電撃 Inori.wav;飛沫 ホワイト Glass.wav
心眼・葛落とし(準備), フェイスアップ AOF_TodohKasumi.bmp Saber.wav 衝撃
心眼・葛落とし(攻撃), 投げ飛ばし
心眼・葛落とし(命中), ビームサーベル ホワイト Saber.wav 対象ユニットＩＤ;投げ飛ばし;@戦闘アニメ_打突攻撃;ダメージ レッド Bazooka.wav


不破刃
反射(流影陣), 反射 BeamCoat.wav 流影陣
流影陣(攻撃), 射撃武器突撃 Shield\EFFECT_BeamShield(Blue)01.bmp BeamSaber.wav
流影陣(命中), ダメージ Shock(low).wav
猛牛流投陣(攻撃), デフォルト
猛牛流投陣(命中), 落下
頭突き(攻撃), ヘッドバット
頭突き(命中), ヘッドバット Punch.wav
頭突き(クリティカル), @戦闘アニメ_落下命中 Punch.wav;@戦闘アニメ_乱打命中;@戦闘アニメ_踏み潰し命中
真空斬首刀(攻撃), 強風 Storm.wav 対象ユニットＩＤ
真空斬首刀(命中), 横大斬撃 Slash.wav;横大斬撃 Slash.wav;横大斬撃 Slash.wav;横大斬撃 Slash.wav
闘神翔(準備), 光噴出 Hide.wav
闘神翔(攻撃), @戦闘アニメ_光柱発動 Inori.wav 対象ユニットＩＤ
闘神翔(命中), 大爆発 Crash.wav


シンクレア(龍虎の拳)
ターニングエッジ(攻撃), 振り上げ Bow.wav
ターニングエッジ(命中), 振り上げ;@戦闘アニメ_振り上げ攻撃;振り上げ
スイッチバックソード(攻撃), なぎ払い Bow.wav
スイッチバックソード(命中), なぎ払い;@戦闘アニメ_バック転攻撃 Saber.wav;刺突
ターニングスタップ(攻撃), なぎ払い;振り下ろし;刺突
ターニングスタップ(命中), クリティカル斬撃
ビジョンカッター(準備), オーラ上昇 グリーン
ビジョンカッター(攻撃), 周囲回転 Weapon\EFFECT_WindSword01.bmp BeamSaber.wav 5
ビジョンカッター(命中), クリティカル斬撃
ダイブソード(攻撃), スーパーダイブ Bow.wav
ダイブソード(命中), スーパーダイブ Stab.wav;斬撃
回転剣攻撃(攻撃), 連続なぎ払い
回転剣攻撃(命中), 回転斬撃
ハイパーオーラ斬り(準備), 粒子集中 ブルー Charge.wav;ハイパービームサーベル ブルー
ハイパーオーラ斬り(攻撃), ハイパービームサーベル突撃 ブルー
ハイパーオーラ斬り(命中), 唐竹割り Inori.wav


ワイラー(龍虎の拳)
反射(跳ね返し), @戦闘アニメ_切り払い発動 Crash.wav 跳ね返し
アコーズキック(攻撃), タックル
アコーズキック(命中), 強打 Shock(low).wav
バスタースルー(攻撃), 格闘
バスタースルー(命中), ダメージ BreakOff.wav;@戦闘アニメ_なぎ払い攻撃 Swing.wav;投げ飛ばし Crash.wav
バスターパンチ, 乱打
レッドショルダー(攻撃), スーパータックル レッド
レッドショルダー(命中), 超打 Crash.wav
ブラックアウト(攻撃), なぎ払い Bazooka.wav;竜巻 レッド
ブラックアウト(命中), 竜巻 Crash.wav レッド
