
大神勇吾
クリティカルアッパー(攻撃), タックル
金剛絶招連環飛腿(命中), 噛み付き;瞬間変身 BLRO_ShenlongU.bmp;@BLRO_Shenlong.bmp;「行くぜ！」;@戦闘アニメ_急降下攻撃;「はーっはっはっはっは！」;乱打;落下

深龍(超獣化)
暗剄(攻撃), 打突
暗剄(命中), 打突;魔法集中 ブラック;@戦闘アニメ_打突攻撃;魔法放射 ブラック Slash.wav
金剛絶招連環飛腿(準備), 魔法放射 ブラック Shock(Low).wav
金剛絶招連環飛腿(攻撃), タックル
金剛絶招連環飛腿(命中), 噛み付き;@戦闘アニメ_急降下攻撃;乱打;落下

シオン(ブラッディロア)
エンゲージ・クラウン, 打突
流れるような連撃, 連打;キック;キック;キック;キック
流れるような連撃, 打突;連打
流れるような連撃, キック;キック;キック;キック
流れるような連撃, 打突;キック;キック;キック
イノーマス・マーダー, 斬撃突撃
手足のブレード, 連斬撃
手足のブレード, 斬撃乱舞
手足のブレード, 打突;斬撃;連斬撃
手足のブレード, 打突;斬撃乱舞
手足のブレード, 連打;斬撃;斬撃;斬撃;斬撃
手足のブレード, 斬撃;連打
ストラトバリウス(攻撃), スーパーキック
ストラトバリウス(命中), スーパーキック;@戦闘アニメ_急降下攻撃;強打
カノン(攻撃), 振り上げ
カノン(命中), 振り上げ
十字架光(攻撃), なぎ払い
十字架光(命中), なぎ払い;連斬撃:@戦闘アニメ_発光攻撃;乱打
虚無へ捧げる１３篇(攻撃), 振り上げ
虚無へ捧げる１３篇(命中), 振り上げ;落下;乱突;@戦闘アニメ_スピンアタック攻撃;スピンアタック

シオン(ブラッディロア)(獣化)
流れるような連撃, 連打;キック;キック;キック;キック
流れるような連撃, 打突;連打
流れるような連撃, キック;キック;キック;キック
流れるような連撃, 打突;キック;キック;キック
アウトブレイク(攻撃), 斬撃乱舞
アウトブレイク(命中), 斬撃乱舞;振り上げ;瞬間変身 BLRO_XionU.bmp;@BLRO_Xion.bmp;@戦闘アニメ_ジャンプ攻撃;超打;「はっはっはっはっはっは……！」

シオン(ブラッディロア)(超獣化)
アウトブレイク(攻撃), 斬撃乱舞
アウトブレイク(命中), 斬撃乱舞;振り上げ;@戦闘アニメ_ジャンプ攻撃;超打

ウラヌス
“ＡＳＣＥＮＳＩＯＮ”(攻撃), 魔法放射 ホワイト
“ＡＳＣＥＮＳＩＯＮ”(命中), ダメージ
“ＳＡＣＲＩＦＩＣＥ”(攻撃), 放電
“ＳＡＣＲＩＦＩＣＥ”(命中), 放電;落下
“ＰＥＮＩＴＥＮＣＥ”(攻撃), オーラ上昇 パープル Thunder.wav
“ＰＥＮＩＴＥＮＣＥ”(攻撃), 大放電
“ＣＯＮＦＥＳＳＩＯＮ”(攻撃), オーラ上昇 パープル Thunder.wav
“ＣＯＮＦＥＳＳＩＯＮ”(攻撃), 大放電
神速の連撃, キック;キック;キック;キック;キック
神速の連撃, 連打;打突
神速の連撃, 打突;打突
神速の連撃, 打突;キック
神速の連撃, 放電;投げ飛ばし
神速の連撃, 透明化;打撃突撃;透明化 解除
“ＡＴＯＮＥＭＥＮＴ”, 格闘;放電
力強い両腕(攻撃), 打突;打突
力強い両腕(攻撃), タックル
力強い両腕(命中), 強打;強打
“ＴＥＭＰＥＳＴ”(攻撃), 回転 10 速
“ＴＥＭＰＥＳＴ”(命中), 乱打
“ＭＥＴＥＯＲ”, 投げ飛ばし
“ＡＰＯＣＡＬＹＰＳＥ”(攻撃), タックル
“ＡＰＯＣＡＬＹＰＳＥ”(命中), 大放電;立ち固め 6;投げ飛ばし

ウラヌス(獣化)
電撃付き固め技(攻撃), スピンアタック
電撃付き固め技(命中), スピンアタック;瞬間変形 BLRO_UranusU.bmp;@BLRO_Uranus.bmp;@戦闘アニメ_放電攻撃;落下;踏み潰し;フォール 5
“ＢＡＰＴＩＳＭ“(攻撃), タックル
“ＢＡＰＴＩＳＭ“(命中), タックル;瞬間変形 BLRO_UranusU.bmp;@BLRO_Uranus.bmp;@戦闘アニメ_エネルギーフィールド展開発動 相手ユニットＩＤ;「もっと壊させて……」;@戦闘アニメ_分身打撃攻撃;「もっと……」;分身打撃;「もっとよ！」;超打

ウラヌス(超獣化)
電撃付き固め技(攻撃), スピンアタック
電撃付き固め技(命中), スピンアタック;@戦闘アニメ_放電攻撃;落下;踏み潰し;フォール 5
“ＢＡＰＴＩＳＭ“(攻撃), タックル
“ＢＡＰＴＩＳＭ“(命中), タックル;@戦闘アニメ_エネルギーフィールド展開発動 相手ユニットＩＤ;「もっと壊させて……」;@戦闘アニメ_分身打撃攻撃;「もっと……」;分身打撃;「もっとよ！」;超打

滝川澪爾
還, 打突
殺意に満ちた技, 格闘
殺意に満ちた技, キック;キック;キック
殺意に満ちた技, 投げ飛ばし
殺意に満ちた技, 打突;キック;キック
抜(攻撃), キック;打突
抜(命中), キック;強打
砕, スーパーパンチ イエロー
襲, スピンアタック
空中連撃, 回転斬撃
空中連撃, 乱打
零, スピンアタック

滝川澪爾(獣化)
餞(攻撃), スピンジャンプアタック
餞(命中), スピンジャンプアタック;瞬間変身 BLRO_TakigawaReijiU.bmp;@BLRO_TakigawaReiji.bmp;「おとなしく死んどけ、くそったれぇぇぇっ！」;投げ飛ばし
空中捕縛連続踏み付け(攻撃), タックル
空中捕縛連続踏み付け(命中), 投げ飛ばし;瞬間変身 BLRO_TakigawaReijiU.bmp;@BLRO_TakigawaReiji.bmp;踏み付け;投げ飛ばし

滝川澪爾(獣化)
餞(攻撃), スピンジャンプアタック
餞(命中), スピンジャンプアタック;投げ飛ばし
空中捕縛連続踏み付け(攻撃), タックル
空中捕縛連続踏み付け(命中), 投げ飛ばし;踏み付け;投げ飛ばし

