
#このアニメでは、ＳＲＣ汎用データコーナーで配布されているもの以外に、
#以下のアイコンを使用しています。
#
# RMZ_PantheonHunterU.bmp
# RMZ_SpikimgU.bmp
# RMZ_PantheonZombieU.bmp
# RMZ4_BonsectU.bmp
# RMZ4_BeamWalkerU.bmp
# RMZ_FenriiLunaedgeU.bmp
# Unit\RMZ_Hanumachine.bmp
# Unit\RMZ2_BurbleHekelot.bmp
# Unit\RMZ3_ChilldreInarabitta.bmp
# Unit\RMZ3_GlacierLeCactank.bmp
# Unit\RMZ3_TretestaKerberian.bmp
#
#以下は登録式画像パックに収録されています。
# RMZ_BlazingFlizardU.bmp
# RMZ_HellbatSiltU.bmp
# RMZ_DeathtantsMantiskU.bmp
# RMZ_KyubitFoxtarU.bmp
# RMZ_VolteelBiblioU.bmp

ゼロ(ＲＭＺ)
バスターショット, 光弾銃 黄 速
フレイムタング, 火炎放射 橙
バーニングミーティア(攻撃), 光球 橙;全拡散ビーム 橙 Acid.wav 相手ユニットＩＤ チャージなし
バーニングミーティア(命中), 爆発;炎
バーニングミーティアネオ(攻撃), 光噴出 橙 Charge(high).wav 対象ユニットＩＤ;光球 橙;全拡散ビーム 橙 Acid.wav 相手ユニットＩＤ チャージなし
バーニングミーティアネオ(命中), 大爆発;炎
ダッシュ斬り, 突く武器突撃 Common\EFFECT_IceBurg01.bmp 32 斬撃
ブラッディムーン, スピンアタック 青
郡狼拳(攻撃), ユニット変色 水色;@戦闘アニメ_しもべ準備 RMZ_FenriiLunaedgeU.bmp 32;実弾発射 RMZ_FenriiLunaedgeU.bmp 32 Whiz.wav 遅 残像
郡狼拳(命中), 爪撃 二刀流
天狼疾駆(攻撃), 斬撃;実弾発射 Common\EFFECT_SonicBoom(Blue)02.bmp 32 Whiz.wav 速
天狼疾駆(命中), 気斬 青
ホワイトファング(攻撃), 粒子集中 青 対象ユニットＩＤ;シュートカッター 青;シュートカッター 青
ホワイトファング(命中), 光連斬撃 青 大
Ｖギャロップ, キック
ライトニング・アサルト, スーパーパンチ 黄
サンダーギロチン, ショックビーム 黄
サンダーセプター, 大電撃
サンダーブラスト, スーパータックル乱舞 黄
種を撒く(攻撃), 石
種を撒く(命中), 花びら 緑;ダメージ
蜜を撒く(攻撃), 液体噴射 橙;@戦闘アニメ_蜂準備;蜂
蜜を撒く(命中), ダメージ 連続
スピニング, スピンアタック 緑
スピニングルート, スピンジャンプアタック 緑
シールド防御(甲羅), シールド防御 BodyParts\EFFECT_CellWall(Green)01.bmp 32
炎竜波, 炎投射
捲火独楽, スーパータックル 橙
亀虹砲, 持続ビーム 橙
爆熱拳(攻撃), アッパー
爆熱拳(命中), アッパー;炎
亀揚拳(攻撃), 超アッパー
亀揚拳(命中), 超アッパー;炎
シールド防御(ミラーシールド), シールド防御 Common\EFFECT_Freeze03.bmp 40 別名=ミラーシールド
アビストレイサー, 回転発射 Effect\EFFECT_TelePort(Purple)02.bmp 32 遅 残像
リフレクトショット(攻撃), 実弾発射 Effect\EFFECT_TelePort(Blue)01.bmp 24 Beam.wav 発光 残像
リフレクトショット(命中), ダメージ 青
暗闇より伸びる魔の手, 触手 白
アイスジャベリン(攻撃), 粒子集中 青 対象ユニットＩＤ;実弾発射 LightWeapon\EFFECT_LightAttack(Blue)01.bmp 32 残像
アイスジャベリン(命中), 飛沫 青
マグネティックトラクター(攻撃), 魔法放射 赤
マグネティックトラクター(命中), 魔法集中 赤
マグネティックタックル(攻撃), 魔法放射 青;タックル
マグネティックタックル(命中), 魔法集中 青;強打
マグネティックビーム(準備), 大放電 BeamSaber.wav 緑
マグネティックビーム(攻撃), ベアリング Slash(4).wav
マグネティックビーム(命中), ベアリング
セパレーション(攻撃), 透明化;４ＷＡＹ射出 Transform.wav
セパレーション(命中), 包囲ビーム 青 Crash.wav;3;変形 対象ユニットＩＤ
落砕斧, 両刃斧
マグネティックスラッガー(準備), 大放電 BeamSaber.wav 緑
マグネティックスラッガー(攻撃), 斬撃;実弾発射 DGoods\EFFECT_Brick01.bmp 32 Slash(4).wav
マグネティックスラッガー(命中), 強打
イビルアイ(攻撃), 邪眼瞬き 黒 白
チキンラン, 格闘
チキンウィング(攻撃), @戦闘アニメ_羽攻撃
チキンウィング(命中), 連続爆発
コカプーレ(準備), しもべ Animal\EFFECT_Hiyoko01.bmp 32
コカプーレ(攻撃), 実弾発射 Animal\EFFECT_Hiyoko01.bmp 32 遅
コカプーレ(命中), ダメージ
ベノムテイル, 泡球 緑
デビルアイ, ＭＡＰフラッシュ;ＭＡＰ泡 緑
#-----パンテオン-----
バスター, 光弾 黄 速
エレキアーム(攻撃), 打突
エレキアーム(命中), 打撃 黄;放電
組み付き, 立ち固め
突進, 格闘
パンチ, 打突
ハンマー, 棘鉄球
クロー, 爪撃
ハープーン(攻撃), 実弾発射 Weapon\EFFECT_JapaneseSpear01.bmp 32 速
ハープーン(命中), 刺突
ビームランチャー, ＭＡＰ気弾 白
バーストボム, グレネード 1 遅;ＭＡＰ炎
ハンガーストライク, ロケットパンチ Hand\EFFECT_Punch(White)09.bmp 32
アクアクェイク(攻撃), 振動
アクアクェイク(命中), @戦闘アニメ_落盤攻撃
スィープレーザー, 持続ビーム 紫
エメラルドハープーン(攻撃), 実弾発射 LightWeapon\EFFECT_LightSpear(Green)01.bmp 48 速
エメラルドハープーン(命中), 刺突
#-----バリアント-----
ブレイズバスター(攻撃), 実弾発射 Bullet\EFFECT_STG_Bullet(White)01.bmp 8
ブレイズバスター(命中), 爆発;炎
ワイドバスター, 小型ミサイル 5
スティールクロウ, 爪
ヒートサーベル(準備), 突く武器連続描画 BeamWeapon\EFFECT_BeamSaberT(Orange)[00-02].bmp 48 3 BeamSaber.wav 発光
ヒートサーベル, 刺突
#-----メカニロイド-----
糸, ネット
体当たり, 格闘
ミサイル, ミサイル 1
ドリル, ドリル
噛み付き, 噛み付き
スパイキング投下(攻撃), 実弾投下 RMZ_SpikimgU.bmp 32
スパイキング投下(命中), ダメージ
カウンターショット, 光弾 黄
スプレッドショット, 拡散ビーム 黄
２ＷＡＹショット, ２連光弾 黄
キャノン, キャノン砲
ビームキャノン, 光弾 黄
ビームショット(攻撃), 実弾発射 Effect\EFFECT_Boost(Pink)02.bmp 32 Beam.wav
ビームショット(命中), ダメージ
ベンドレーザー, 小ビーム 緑
トライショット, 光投射 黄
爆撃, 投下爆弾
自爆(命中), 超爆発
強風, ＭＡＰ強風
流砂(攻撃), 光圧縮 黄
流砂(命中), ダメージ
ミキサー, 回転斬撃
レーザー, 持続ビーム 緑
３ＷＡＹレーザー, ビームショットキャノン 緑
ナパームショット, 炎投射
フレイムリング(準備), 周囲回転 Fire\EFFECT_Fire(Red)04.bmp Fire.wav 2
フレイムリング(攻撃), 周囲回転 Fire\EFFECT_Fire(Red)04.bmp Fire.wav 2
フレイムリング(命中), 炎
スノーボール(攻撃), 回転発射 Common\EFFECT_LightBall01.bmp 32 遅
スノーボール(命中), 飛沫 白
アイススラッシュ, 氷弾;氷弾
ワイドレーザー, ＭＡＰビーム 青
ビームウォーカー召集(攻撃), @戦闘アニメ_しもべ準備 RMZ4_BeamWalkerU.bmp 32;実弾発射 Effect\EFFECT_Boost(Pink)02.bmp 32 Beam(4Shot).wav 残像
ビームウォーカー召集(命中), ダメージ
リフレクトビーム, 光長距離 赤
バウンド, 急降下
ヘキサマシンガン(攻撃), @戦闘アニメ_テレポート発動 -.wav " ";透明化;８ＷＡＹ射出
ヘキサマシンガン(命中), オールレンジ;@戦闘アニメ_テレポート発動 -.wav " "
ヘキサレーザー(攻撃), @戦闘アニメ_テレポート発動 -.wav " ";透明化;３ＷＡＹ射出
ヘキサレーザー(命中), 小ビーム 赤 ランダム方向;小ビーム 赤 ランダム方向;小ビーム 赤 ランダム方向;@戦闘アニメ_テレポート発動 -.wav " "
レディオシャイン, 拡散ビーム 橙
バーティクルショット(攻撃), 交差ビーム 桃 紫
バーティクルショット(命中), 飛沫
#-----その他-----
バスターショット(Ｒ), マシンガン Weapon\EFFECT_LightBulletGun01.bmp 32


汎用
ライフエネルギー<小>(ＲＭＺ), 修理装置
ライフエネルギー<大>(ＲＭＺ), 修理装置
ライフエネルギー<全>(ＲＭＺ), 修理装置
エネルゲン水晶<小>(ＲＭＺ), 補給装置
エネルゲン水晶<大>(ＲＭＺ), 補給装置
サブタンク(ＲＭＺ),  修理装置
エスケープユニット(ＲＭＺ), ユニット変色 白
援護射撃<電>(ＲＭＺ), 球電
援護射撃<氷>(ＲＭＺ), 氷弾
援護射撃<炎>(ＲＭＺ), 火炎弾

